name	term	lev	seq	value
"cell-cell junction"	GO:0005911	2	ORTHOMCL11367	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12283	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL6208	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL16906	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21922	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL1008	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22035	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10997	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4029	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12452	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19548	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8530	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6695	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4228	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6073	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21901	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8853	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10176	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10712	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2022	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12439	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3613	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19528	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19529	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17469	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7262	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL10158	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10487	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL13822	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL6815	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11462	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14105	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21063	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11170	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10831	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8030	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12993	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7242	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4293	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17631	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL18529	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3510	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22420	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11896	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11893	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12206	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22219	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7730	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19546	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21744	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL1772	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL5672	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL16219	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15545	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL2647	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2645	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4129	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22405	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL13653	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3276	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5990	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2312	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10798	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10796	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL16234	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17547	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11911	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL12075	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14894	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL14898	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22172	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10631	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10639	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15391	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL15669	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15667	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8494	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL8277	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3067	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6050	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4146	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12585	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2937	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15589	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL16613	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12723	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5150	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL9659	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14041	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4424	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3435	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL10423	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17345	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21586	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL16430	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5179	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21110	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8188	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17711	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8459	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15892	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22657	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14499	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12549	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6528	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10922	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12956	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL8431	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19863	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19868	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7862	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL11732	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL19247	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5709	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL9134	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15299	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22317	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7675	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL6604	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL19656	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21665	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5137	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL9634	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL3499	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4448	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2262	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12979	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL13757	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8356	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL16425	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21426	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL22730	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7642	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5517	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8168	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL16527	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL3117	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14560	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12905	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL21621	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL20577	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL20717	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL1231	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4482	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15156	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5538	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4882	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL20968	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17750	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL12106	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL13210	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4973	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL8125	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10532	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17211	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL5783	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL5965	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL15475	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14981	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL14984	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10982	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5579	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL10596	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4196	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL17646	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL5490	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL22100	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL7362	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL2019	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL5598	1
"cell-cell junction"	GO:0005911	2	ORTHOMCL7530	0
"cell-cell junction"	GO:0005911	2	ORTHOMCL4295	0
