name	term	lev	seq	value
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL5715	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL8448	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL21114	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL3128	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL17698	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL3662	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL19231	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL12288	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL19734	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL8364	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL16463	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL2620	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL4524	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL7588	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL14336	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL7109	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL7261	0
"mitochondrial intermembrane space"	GO:0005758	4	ORTHOMCL4512	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13333	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13310	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL14626	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL17244	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL6595	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL7955	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13056	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13157	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL15776	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL19638	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL20827	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL22175	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL22253	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL20684	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16826	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL1933	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL1894	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL14790	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL5396	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13586	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL22520	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13021	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16623	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL17938	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL11418	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL11806	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL14984	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL21709	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13470	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL3564	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL10003	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL15271	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL17228	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16083	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL14928	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL9296	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL7988	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13735	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL11015	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL12232	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL17185	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL19681	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL21906	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL22494	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL10940	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL9474	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL17606	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL14500	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL10344	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL18808	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16469	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL15890	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL11196	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL5060	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL15614	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13090	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL6436	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL1814	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13104	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13206	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL9144	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13794	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL11318	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL11384	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL6047	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL5383	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL3560	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL22548	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL3128	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL19540	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL2493	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13154	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL8335	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL11703	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL10454	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL15309	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL12104	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL22044	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL5024	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL10277	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL14818	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL10758	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13081	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16681	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL12947	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL22568	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL20955	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL17167	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL19737	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL8521	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL10232	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL3726	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13025	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16005	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16304	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL21714	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL6697	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL11881	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL12864	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16706	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL17102	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL2741	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13893	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL9659	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13976	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL21887	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13464	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL21605	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL15196	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL9657	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL15637	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16182	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL2016	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL4489	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL13562	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16326	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL6192	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL8661	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL16396	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL14946	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL8624	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL5868	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL22653	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL14956	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL10600	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL15997	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL9608	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL6174	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL18159	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL14280	0
"endoplasmic reticulum lumen"	GO:0005788	3	ORTHOMCL8859	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL18242	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL6191	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL3135	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL15399	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL6628	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL7253	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL11574	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL8417	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL11727	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL18809	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL13178	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL18484	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL15972	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL15849	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL20167	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL19605	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL21121	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL21097	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL10660	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL15482	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL15321	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL18622	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL16874	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL22585	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL16145	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL5471	0
"plastid"	GO:0009507;GO:0009536	2	ORTHOMCL19662	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL17690	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL3135	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL13756	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL15425	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL22695	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL14988	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL17979	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL3173	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL7266	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL13532	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL16676	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL16912	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL15954	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL7162	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL2669	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL13896	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL18523	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL14325	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL18215	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL21197	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL18304	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL12075	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL12146	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL21242	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL15254	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL17036	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL15567	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL12021	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL15499	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL8542	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL15453	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL17755	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL16272	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL18022	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL6365	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL7620	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL21123	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL9659	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL19853	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL14301	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL14182	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL3187	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL13480	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL14135	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL16307	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL5127	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL19684	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL18330	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL5662	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL5679	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL2441	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL5738	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL8372	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL9374	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL22216	0
"neuromuscular junction"	GO:0031594	2	ORTHOMCL21658	0
"pore complex"	GO:0005643;GO:0046930	2	ORTHOMCL2952	0
"pore complex"	GO:0005643;GO:0046930	2	ORTHOMCL11838	0
