name	term	lev	seq	value
"microtubule"	GO:0005874	3	ORTHOMCL4546	-1
"microtubule"	GO:0005874	3	ORTHOMCL10384	1
"microtubule"	GO:0005874	3	ORTHOMCL12562	0
"microtubule"	GO:0005874	3	ORTHOMCL6475	1
"microtubule"	GO:0005874	3	ORTHOMCL3509	0
"microtubule"	GO:0005874	3	ORTHOMCL22142	0
"microtubule"	GO:0005874	3	ORTHOMCL4693	0
"microtubule"	GO:0005874	3	ORTHOMCL11236	-1
"microtubule"	GO:0005874	3	ORTHOMCL8944	0
"microtubule"	GO:0005874	3	ORTHOMCL20632	-17
"microtubule"	GO:0005874	3	ORTHOMCL5755	0
"microtubule"	GO:0005874	3	ORTHOMCL10248	3
"microtubule"	GO:0005874	3	ORTHOMCL7938	0
"microtubule"	GO:0005874	3	ORTHOMCL8962	1
"microtubule"	GO:0005874	3	ORTHOMCL13741	-1
"microtubule"	GO:0005874	3	ORTHOMCL6378	1
"microtubule"	GO:0005874	3	ORTHOMCL15773	1
"microtubule"	GO:0005874	3	ORTHOMCL13210	0
"microtubule"	GO:0005874	3	ORTHOMCL6401	-2
"microtubule"	GO:0005874	3	ORTHOMCL4865	1
"microtubule"	GO:0005874	3	ORTHOMCL5321	0
"microtubule"	GO:0005874	3	ORTHOMCL16546	0
"microtubule"	GO:0005874	3	ORTHOMCL17080	0
"microtubule"	GO:0005874	3	ORTHOMCL6511	1
"microtubule"	GO:0005874	3	ORTHOMCL18570	0
"microtubule"	GO:0005874	3	ORTHOMCL12618	2
"microtubule"	GO:0005874	3	ORTHOMCL11468	-5
"microtubule"	GO:0005874	3	ORTHOMCL16234	0
"microtubule"	GO:0005874	3	ORTHOMCL11751	3
"microtubule"	GO:0005874	3	ORTHOMCL16184	-1
"microtubule"	GO:0005874	3	ORTHOMCL11583	2
"synaptic membrane"	GO:0097060	2	ORTHOMCL15828	-1
"synaptic membrane"	GO:0097060	2	ORTHOMCL2827	-4
"synaptic membrane"	GO:0097060	2	ORTHOMCL2986	-1
"synaptic membrane"	GO:0097060	2	ORTHOMCL10199	12
"synaptic membrane"	GO:0097060	2	ORTHOMCL12452	-2
"synaptic membrane"	GO:0097060	2	ORTHOMCL13626	-2
"synaptic membrane"	GO:0097060	2	ORTHOMCL6793	-1
"synaptic membrane"	GO:0097060	2	ORTHOMCL9288	-4
"synaptic membrane"	GO:0097060	2	ORTHOMCL6604	2
"synaptic membrane"	GO:0097060	2	ORTHOMCL12111	2
"synaptic membrane"	GO:0097060	2	ORTHOMCL13806	0
"synaptic membrane"	GO:0097060	2	ORTHOMCL15070	-1
"synaptic membrane"	GO:0097060	2	ORTHOMCL7322	1
"synaptic membrane"	GO:0097060	2	ORTHOMCL10783	0
"synaptic membrane"	GO:0097060	2	ORTHOMCL9547	3
"synaptic membrane"	GO:0097060	2	ORTHOMCL8354	0
"synaptic membrane"	GO:0097060	2	ORTHOMCL13515	3
"synaptic membrane"	GO:0097060	2	ORTHOMCL11999	-2
"synaptic membrane"	GO:0097060	2	ORTHOMCL7242	4
"synaptic membrane"	GO:0097060	2	ORTHOMCL11480	0
"synaptic membrane"	GO:0097060	2	ORTHOMCL18473	0
"synaptic membrane"	GO:0097060	2	ORTHOMCL9241	3
"synaptic membrane"	GO:0097060	2	ORTHOMCL14364	0
"synaptic membrane"	GO:0097060	2	ORTHOMCL17102	-3
"synaptic membrane"	GO:0097060	2	ORTHOMCL10867	4
"synaptic membrane"	GO:0097060	2	ORTHOMCL11860	0
"synaptic membrane"	GO:0097060	2	ORTHOMCL13133	6
"synaptic membrane"	GO:0097060	2	ORTHOMCL7524	-3
"synaptic membrane"	GO:0097060	2	ORTHOMCL14536	4
"synaptic membrane"	GO:0097060	2	ORTHOMCL14301	0
"synaptic membrane"	GO:0097060	2	ORTHOMCL8168	-1
"synaptic membrane"	GO:0097060	2	ORTHOMCL6394	-3
"synaptic membrane"	GO:0097060	2	ORTHOMCL12070	-3
"synaptic membrane"	GO:0097060	2	ORTHOMCL20509	-12
"synaptic membrane"	GO:0097060	2	ORTHOMCL2151	-2
"synaptic membrane"	GO:0097060	2	ORTHOMCL9701	3
"synaptic membrane"	GO:0097060	2	ORTHOMCL7515	1
"endocytic vesicle"	GO:0030139	5	ORTHOMCL12156	4
"endocytic vesicle"	GO:0030139	5	ORTHOMCL13806	0
"endocytic vesicle"	GO:0030139	5	ORTHOMCL15070	-1
"endocytic vesicle"	GO:0030139	5	ORTHOMCL9258	6
"endocytic vesicle"	GO:0030139	5	ORTHOMCL16347	2
"endocytic vesicle"	GO:0030139	5	ORTHOMCL3870	0
"endocytic vesicle"	GO:0030139	5	ORTHOMCL10384	1
"endocytic vesicle"	GO:0030139	5	ORTHOMCL8714	0
"endocytic vesicle"	GO:0030139	5	ORTHOMCL8130	-1
"endocytic vesicle"	GO:0030139	5	ORTHOMCL8721	2
"endocytic vesicle"	GO:0030139	5	ORTHOMCL13168	-2
"endocytic vesicle"	GO:0030139	5	ORTHOMCL15636	-2
"endocytic vesicle"	GO:0030139	5	ORTHOMCL10370	0
"endocytic vesicle"	GO:0030139	5	ORTHOMCL13154	-1
"endocytic vesicle"	GO:0030139	5	ORTHOMCL14296	1
"endocytic vesicle"	GO:0030139	5	ORTHOMCL10277	-6
"endocytic vesicle"	GO:0030139	5	ORTHOMCL13081	0
"endocytic vesicle"	GO:0030139	5	ORTHOMCL10982	1
"endocytic vesicle"	GO:0030139	5	ORTHOMCL11074	-2
"endocytic vesicle"	GO:0030139	5	ORTHOMCL10844	-3
"endocytic vesicle"	GO:0030139	5	ORTHOMCL15773	1
"endocytic vesicle"	GO:0030139	5	ORTHOMCL8345	5
"endocytic vesicle"	GO:0030139	5	ORTHOMCL12129	0
"endocytic vesicle"	GO:0030139	5	ORTHOMCL4066	0
"endocytic vesicle"	GO:0030139	5	ORTHOMCL2642	1
"endocytic vesicle"	GO:0030139	5	ORTHOMCL5721	0
"endocytic vesicle"	GO:0030139	5	ORTHOMCL10572	-2
"endocytic vesicle"	GO:0030139	5	ORTHOMCL5725	-9
