name	term	lev	seq	value
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL19034	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL13358	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL7357	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL14905	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL16725	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL9110	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL9672	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL18282	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL18566	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL18881	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL14850	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL2555	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL10390	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL11842	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL18240	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL15097	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL10240	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL8650	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL12849	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL12974	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL11872	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL20392	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL14939	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL15863	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL22161	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL19392	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL14712	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL18556	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL19132	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL6536	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL19553	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL8863	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL9135	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL9671	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL16559	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL18793	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL6379	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL4751	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL15091	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL8013	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL3122	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL10671	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL9460	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL17420	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL19123	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL20124	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL14314	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL16852	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL9393	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL21307	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL10389	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL14581	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL11489	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL14024	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL4943	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL2702	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL4969	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL16107	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL4418	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL5687	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL5607	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL8245	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL8421	0
"protein methyltransferase activity"	GO:0008276;GO:0008170	2	ORTHOMCL11827	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL15295	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL17119	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL20360	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL3691	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL14274	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL5961	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL18437	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL18831	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL22731	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL7038	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL15265	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL5068	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL8445	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL13523	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL5444	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL16558	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL3543	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL11310	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL11361	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL3019	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL19913	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL9407	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL11828	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL11704	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL9101	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL18778	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL17530	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL8999	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL15828	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL13158	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL2827	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL7698	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL3723	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL16102	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL7919	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL20418	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL10515	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL16667	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL20283	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL16561	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL9924	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL15195	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL10561	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL13747	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL14887	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL17217	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL18614	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL11861	0
"receptor activity"	GO:0004888;GO:0038023;GO:0004872	2	ORTHOMCL13365	0
