"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-9 0.567702992502062 1 17 "GO:0000003" "reproduction" 0.751984519467584
-9 0.576894454910503 2 22 "GO:0000018" "regulation of DNA recombination" 0.751984519467584
-9 0.598027650044884 2 36 "GO:0000041" "transition metal ion transport" 0.751984519467584
-9 0.57336000366097 4 20 "GO:0000045" "autophagic vacuole assembly" 0.751984519467584
-9 0.571525364329022 3 19 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.751984519467584
-49 0.954988684819413 4 58 "GO:0000075" "cell cycle checkpoint" 0.995837914723071
-77 0.979243408033286 5 34 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.999987991802288
-9 0.617429480980338 2 52 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.751984519467584
-9 0.616317686495958 5 51 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.751984519467584
75 0.00560040375231491 5 55 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.28979530321958
-9 0.571525364329022 2 19 "GO:0000096" "sulfur amino acid metabolic process" 0.751984519467584
8 0.277883710233869 3 278 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.751984519467584
-9 0.583502460406585 2 26 "GO:0000132;GO:0040001;GO:0051294;GO:0051293" "establishment of spindle localization" 0.751984519467584
-9 0.679665233352367 2 127 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.758088144893025
-9 0.575148630177261 2 21 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.751984519467584
-9 0.591067890632029 3 31 "GO:0000186" "activation of MAPKK activity" 0.751984519467584
-9 0.659868578983382 2 100 "GO:0000187" "activation of MAPK activity" 0.751984519467584
7 0.348619419079141 2 144 "GO:0000209" "protein polyubiquitination" 0.751984519467584
-9 0.692129103377903 3 144 "GO:0000226" "microtubule cytoskeleton organization" 0.764225142598663
27 0.161673851793488 2 64 "GO:0000278" "mitotic cell cycle" 0.751984519467584
-9 0.640413604729124 3 75 "GO:0000281;GO:0000910" "cytokinesis" 0.751984519467584
7 0.359067880313938 4 150 "GO:0000302" "response to reactive oxygen species" 0.751984519467584
-9 0.571525364329022 2 19 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.751984519467584
-9 0.575148630177261 4 21 "GO:0000387" "spliceosomal snRNP assembly" 0.751984519467584
-9 0.655839983517199 3 93 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.751984519467584
-9 0.565706354752331 2 16 "GO:0000422" "mitochondrion degradation" 0.751984519467584
-9 0.569641075718437 2 18 "GO:0000578" "embryonic axis specification" 0.751984519467584
-9 0.608191844055261 5 44 "GO:0000723;GO:0032200" "telomere organization" 0.751984519467584
-9 0.608191844055261 2 44 "GO:0000724;GO:0000725" "recombinational repair" 0.751984519467584
-9 0.569641075718437 2 18 "GO:0000731" "DNA synthesis involved in DNA repair" 0.751984519467584
12 0.207945945388918 2 222 "GO:0000904;GO:0000902" "cell morphogenesis" 0.751984519467584
-9 0.623875247265864 2 58 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.751984519467584
-9 0.71836962363147 3 191 "GO:0001101" "response to acid" 0.784454150495566
11 0.295774154424738 3 116 "GO:0001501" "skeletal system development" 0.751984519467584
-9 0.567702992502062 3 17 "GO:0001502" "cartilage condensation" 0.751984519467584
12 0.287196437733716 3 112 "GO:0001503" "ossification" 0.751984519467584
-9 0.635779027278097 2 70 "GO:0001505" "regulation of neurotransmitter levels" 0.751984519467584
-55 0.962253246332491 3 50 "GO:0001508" "action potential" 0.999330093992628
-9 0.576894454910503 2 22 "GO:0001510" "RNA methylation" 0.751984519467584
-9 0.59667770833162 7 35 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 0.751984519467584
18 0.143074062587274 2 174 "GO:0001525" "angiogenesis" 0.749143192299672
-9 0.569641075718437 3 18 "GO:0001541" "ovarian follicle development" 0.751984519467584
12 0.211051418567595 2 225 "GO:0001558" "regulation of cell growth" 0.751984519467584
9 0.318203423173062 2 127 "GO:0001568" "blood vessel development" 0.751984519467584
-9 0.581902159392202 4 25 "GO:0001569" "patterning of blood vessels" 0.751984519467584
-9 0.604502841834728 2 41 "GO:0001570" "vasculogenesis" 0.751984519467584
-9 0.591067890632029 2 31 "GO:0001578" "microtubule bundle formation" 0.751984519467584
-9 0.606977177763723 2 43 "GO:0001649" "osteoblast differentiation" 0.751984519467584
-9 0.671880699656841 2 114 "GO:0001654" "eye development" 0.75466449003653
-9 0.563645652151431 3 15 "GO:0001655" "urogenital system development" 0.751984519467584
33 0.132526578483807 3 55 "GO:0001656;GO:0001657" "metanephros development" 0.728101657809117
-9 0.600670480762639 2 38 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.751984519467584
-9 0.610578645960704 2 46 "GO:0001659;GO:0048871" "multicellular organismal homeostasis" 0.751984519467584
68 0.0451923107874445 3 30 "GO:0001662;GO:0002209;GO:0042596" "behavioral defense response" 0.426072362197676
44 0.00408438501048501 3 178 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.28979530321958
37 0.0193363927970393 4 153 "GO:0001667" "ameboidal cell migration" 0.323355298525672
-9 0.593916670937814 6 33 "GO:0001676" "long-chain fatty acid metabolic process" 0.751984519467584
-9 0.593916670937814 3 33 "GO:0001696;GO:0001698;GO:0001697" "gastric acid secretion" 0.751984519467584
16 0.163715917099589 2 189 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "embryo development" 0.751984519467584
39 0.108619116242887 2 48 "GO:0001707;GO:0001704" "formation of primary germ layer" 0.661825519448016
-9 0.626965672805013 2 61 "GO:0001708" "cell fate specification" 0.751984519467584
-9 0.621767609957851 2 56 "GO:0001709" "cell fate determination" 0.751984519467584
-9 0.612911729440661 2 48 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.751984519467584
-9 0.567702992502062 3 17 "GO:0001738" "morphogenesis of a polarized epithelium" 0.751984519467584
-9 0.57336000366097 2 20 "GO:0001745;GO:0007455" "compound eye morphogenesis" 0.751984519467584
-9 0.575148630177261 5 21 "GO:0001751;GO:0016360;GO:0060582" "compound eye photoreceptor cell differentiation" 0.751984519467584
-9 0.575148630177261 3 21 "GO:0001752;GO:0042067;GO:0007464" "establishment of ommatidial planar polarity" 0.751984519467584
40 0.105128558036822 3 47 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.652708743800431
-9 0.615194359913088 2 50 "GO:0001755" "neural crest cell migration" 0.751984519467584
56 0.0154809991306065 3 71 "GO:0001756;GO:0035282" "segmentation" 0.307792192778574
10 0.314245513960752 2 125 "GO:0001763;GO:0061138;GO:0048754" "morphogenesis of a branching structure" 0.751984519467584
31 0.0665499072449423 2 118 "GO:0001764" "neuron migration" 0.516833347451399
28 0.0121022331845975 2 324 "GO:0001775;GO:0045321" "cell activation" 0.307792192778574
-9 0.580268802911298 3 24 "GO:0001782;GO:0002260;GO:0001776" "leukocyte homeostasis" 0.751984519467584
-9 0.603242093248308 3 40 "GO:0001816" "cytokine production" 0.751984519467584
11 0.22990607715973 2 239 "GO:0001817" "regulation of cytokine production" 0.751984519467584
38 0.0431023820100138 3 99 "GO:0001818" "negative regulation of cytokine production" 0.42380925830447
31 0.0652567825474931 3 117 "GO:0001819" "positive regulation of cytokine production" 0.51503176186951
33 0.0588755168026698 2 112 "GO:0001822" "kidney development" 0.488181692718363
101 0.0177339892827463 3 21 "GO:0001824" "blastocyst development" 0.307792192778574
101 0.0177339892827463 2 21 "GO:0001833" "inner cell mass cell proliferation" 0.307792192778574
32 0.139166491903586 4 57 "GO:0001837" "epithelial to mesenchymal transition" 0.739745784109317
-9 0.595307675118336 4 34 "GO:0001838;GO:0072175" "epithelial tube formation" 0.751984519467584
116 0.000667072967911598 5 37 "GO:0001885" "endothelial cell development" 0.138933106316861
