"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.801075650529896 3 447 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.949388033222476
0 0.764907932988565 2 260 "GO:0000226" "microtubule cytoskeleton organization" 0.949388033222476
0 0.733038872206241 2 281 "GO:0000904;GO:0000902" "cell morphogenesis" 0.949388033222476
0 0.356512091259861 2 217 "GO:0001101" "response to acid" 0.918207913426789
0 0.299098856892873 3 224 "GO:0001525" "angiogenesis" 0.910540045874058
0 0.729123106357795 2 268 "GO:0001558" "regulation of cell growth" 0.949388033222476
0 0.511078371900243 3 384 "GO:0001775;GO:0045321" "cell activation" 0.939770998283034
0 0.402642279877046 3 281 "GO:0001817" "regulation of cytokine production" 0.918207913426789
0 0.305666955261688 2 717 "GO:0001932" "regulation of protein phosphorylation" 0.910540045874058
0 0.640596988914008 4 220 "GO:0001933" "negative regulation of protein phosphorylation" 0.946540130782977
0 0.611148845678571 2 468 "GO:0001934" "positive regulation of protein phosphorylation" 0.939770998283034
0 0.46794213971761 2 374 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.939709471199518
0 0.415984331934848 2 304 "GO:0002252" "immune effector process" 0.918207913426789
0 0.452202048346715 1 764 "GO:0002376" "immune system process" 0.926376274337237
0 0.367347450252757 2 633 "GO:0002682" "regulation of immune system process" 0.918207913426789
0 0.331587705744764 2 324 "GO:0002684" "positive regulation of immune system process" 0.910540045874058
0 0.76634585635053 2 237 "GO:0002694;GO:0050865" "regulation of cell activation" 0.949388033222476
0 0.888253007006024 4 283 "GO:0003002" "regionalization" 0.97069996915642
0 0.455269746765552 2 433 "GO:0003006" "developmental process involved in reproduction" 0.926376274337237
0 0.896042317568285 2 794 "GO:0003008" "system process" 0.97069996915642
0 0.930739495633286 3 375 "GO:0005975;GO:0044723" "carbohydrate metabolic process" 0.975387515719015
0 0.40867505272298 4 316 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.918207913426789
0 0.999540743305301 4 595 "GO:0006259" "DNA metabolic process" 0.999540743305301
0 0.999453511781807 5 359 "GO:0006281" "DNA repair" 0.999540743305301
0 0.970303694193141 2 469 "GO:0006325;GO:0016568" "chromatin organization" 0.998428438952362
0 0.446591841192215 2 328 "GO:0006366" "transcription from RNA polymerase II promoter" 0.926376274337237
0 0.586111417202962 5 642 "GO:0006396" "RNA processing" 0.939770998283034
0 0.322128937179282 3 208 "GO:0006417" "regulation of translation" 0.910540045874058
0 0.611954498358799 5 757 "GO:0006461" "protein complex assembly" 0.939770998283034
0 0.0737248140600743 2 490 "GO:0006468" "protein phosphorylation" 0.910540045874058
0 0.482253215410678 4 734 "GO:0006508" "proteolysis" 0.939770998283034
0 0.729068412803312 5 408 "GO:0006511;GO:0019941;GO:0051603;GO:0043632" "proteolysis involved in cellular protein catabolic process" 0.949388033222476
0 0.282168356872787 4 250 "GO:0006520" "cellular amino acid metabolic process" 0.910540045874058
0 0.324384111040257 2 637 "GO:0006629;GO:0044255" "lipid metabolic process" 0.910540045874058
0 0.65078640191717 2 299 "GO:0006753;GO:0055086;GO:0009117" "nucleobase-containing small molecule metabolic process" 0.946540130782977
0 0.761344799150039 2 596 "GO:0006811" "ion transport" 0.949388033222476
0 0.568174513968132 2 420 "GO:0006812;GO:0030001" "cation transport" 0.939770998283034
0 0.92921723023864 3 225 "GO:0006820" "anion transport" 0.975387515719015
0 0.683034465665746 2 245 "GO:0006874;GO:0055074;GO:0072503;GO:0072507" "divalent inorganic cation homeostasis" 0.949388033222476
0 0.899516222199452 2 326 "GO:0006875;GO:0055065" "metal ion homeostasis" 0.97069996915642
0 0.108533384177578 2 435 "GO:0006886" "intracellular protein transport" 0.910540045874058
0 0.118733553992457 2 282 "GO:0006887" "exocytosis" 0.910540045874058
0 0.310279372850568 4 367 "GO:0006897" "endocytosis" 0.910540045874058
0 0.135809704253924 5 516 "GO:0006915;GO:0012501;GO:0008219;GO:0016265" "cell death" 0.910540045874058
0 0.028243049872601 2 457 "GO:0006952" "defense response" 0.849107851632203
0 0.332843988763981 2 329 "GO:0006955" "immune response" 0.910540045874058
0 0.967181772085592 2 528 "GO:0006974" "cellular response to DNA damage stimulus" 0.998428438952362
0 0.187412942428719 2 266 "GO:0006979" "response to oxidative stress" 0.910540045874058
0 0.486943265074252 3 208 "GO:0007005" "mitochondrion organization" 0.939770998283034
0 0.505527697156555 3 576 "GO:0007010" "cytoskeleton organization" 0.939770998283034
0 0.416722947265691 3 443 "GO:0007017" "microtubule-based process" 0.918207913426789
0 0.998912088856147 3 681 "GO:0007049" "cell cycle" 0.999540743305301
0 0.80787460948954 3 565 "GO:0007154" "cell communication" 0.949388033222476
0 0.107223459967905 2 505 "GO:0007155;GO:0022610" "biological adhesion" 0.910540045874058
0 0.0216645984151703 6 388 "GO:0007169;GO:0007167" "enzyme linked receptor protein signaling pathway" 0.849107851632203
0 0.9946245022984 5 350 "GO:0007186" "G-protein coupled receptor signaling pathway" 0.999540743305301
0 0.937319130006702 2 371 "GO:0007267;GO:0044700;GO:0023052" "signaling" 0.978671444565821
0 0.912362565735102 4 207 "GO:0007268" "synaptic transmission" 0.97069996915642
0 0.339511286142149 4 322 "GO:0007283;GO:0048232;GO:0007276" "gamete generation" 0.910540045874058
0 0.697421369581641 4 426 "GO:0007346" "regulation of mitotic cell cycle" 0.949388033222476
0 0.592264444472527 2 419 "GO:0007389" "pattern specification process" 0.939770998283034
0 0.334554457509202 2 408 "GO:0007399" "nervous system development" 0.910540045874058
0 0.904988233883132 2 222 "GO:0007411;GO:0097485" "neuron projection guidance" 0.97069996915642
0 0.57170967067298 3 257 "GO:0007420" "brain development" 0.939770998283034
0 0.166667359299949 3 250 "GO:0007507" "heart development" 0.910540045874058
0 0.981986023335065 2 374 "GO:0007600" "sensory perception" 0.999540743305301
0 0.327917535142184 2 489 "GO:0007610;GO:0044708" "behavior" 0.910540045874058
0 0.446334692504245 2 241 "GO:0007611;GO:0050890" "cognition" 0.926376274337237
0 0.215294703204567 2 615 "GO:0008104;GO:0033036;GO:0051179;GO:0051641" "localization" 0.910540045874058
0 0.49610721670229 2 463 "GO:0008283" "cell proliferation" 0.939770998283034
0 0.146015356374542 2 488 "GO:0008284" "positive regulation of cell proliferation" 0.910540045874058
0 0.332530749795722 2 398 "GO:0008285" "negative regulation of cell proliferation" 0.910540045874058
0 0.403567374422344 6 286 "GO:0008380" "RNA splicing" 0.918207913426789
0 0.556316116771506 4 329 "GO:0008610" "lipid biosynthetic process" 0.939770998283034
0 0.619510004580733 5 388 "GO:0009118;GO:0033121;GO:0030811;GO:1900542;GO:0006140" "regulation of nucleotide metabolic process" 0.939770998283034
0 0.863149299133056 3 371 "GO:0009314" "response to radiation" 0.961311376289364
0 0.800707053099628 4 265 "GO:0009416" "response to light stimulus" 0.949388033222476
0 0.105484804763552 3 331 "GO:0009611" "response to wounding" 0.910540045874058
0 0.264085595994436 2 844 "GO:0009628" "response to abiotic stimulus" 0.910540045874058
0 0.117808071723194 3 538 "GO:0009725" "response to hormone" 0.910540045874058
0 0.951789594660644 2 234 "GO:0009792;GO:0009790" "embryo development" 0.986526441181105
0 0.899489370431568 2 422 "GO:0009887" "organ morphogenesis" 0.97069996915642
0 0.879742527851901 3 440 "GO:0009888" "tissue development" 0.968398751588914
0 0.799570992072582 2 203 "GO:0009896" "positive regulation of catabolic process" 0.949388033222476
0 0.503047476783627 3 868 "GO:0009967" "positive regulation of signal transduction" 0.939770998283034
0 0.389626518183186 3 816 "GO:0009968;GO:0010648;GO:0023057" "negative regulation of cell communication" 0.918207913426789
0 0.199674066621818 2 386 "GO:0010035" "response to inorganic substance" 0.910540045874058
0 0.4016936476483 4 276 "GO:0010038" "response to metal ion" 0.918207913426789
0 0.608444369263704 3 596 "GO:0010243;GO:1901698" "response to nitrogen compound" 0.939770998283034
0 0.913397388946063 4 494 "GO:0010564" "regulation of cell cycle process" 0.97069996915642
0 0.349814715961897 2 451 "GO:0010608" "posttranscriptional regulation of gene expression" 0.918207913426789
0 0.244458956762964 2 343 "GO:0010638" "positive regulation of organelle organization" 0.910540045874058
0 0.318879080417096 2 225 "GO:0010639" "negative regulation of organelle organization" 0.910540045874058
0 0.399553019009769 2 219 "GO:0010720" "positive regulation of cell development" 0.918207913426789
0 0.234283858796152 2 274 "GO:0010769" "regulation of cell morphogenesis involved in differentiation" 0.910540045874058
0 0.770997205831398 2 209 "GO:0010948" "negative regulation of cell cycle process" 0.949388033222476
0 0.406302899677794 4 559 "GO:0014070" "response to organic cyclic compound" 0.918207913426789
0 0.218026722646439 2 844 "GO:0015031" "protein transport" 0.910540045874058
0 0.0811384285535939 2 209 "GO:0016050" "vesicle organization" 0.910540045874058
0 0.791685379267035 3 218 "GO:0016055" "Wnt signaling pathway" 0.949388033222476
0 0.544493520809938 2 401 "GO:0016071;GO:0006397" "mRNA metabolic process" 0.939770998283034
0 0.298557492881264 2 246 "GO:0016197" "endosomal transport" 0.910540045874058
0 0.138487477001643 3 687 "GO:0016310" "phosphorylation" 0.910540045874058
0 0.233441151135587 4 602 "GO:0016482" "cytoplasmic transport" 0.910540045874058
0 0.709595636776478 2 647 "GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.949388033222476
0 0.806251458542827 4 304 "GO:0016570;GO:0016569" "covalent chromatin modification" 0.949388033222476
0 0.0791291897227476 5 561 "GO:0018193" "peptidyl-amino acid modification" 0.910540045874058
0 0.622101928440882 4 209 "GO:0019216" "regulation of lipid metabolic process" 0.939770998283034
0 0.844544346637817 3 271 "GO:0019439;GO:1901361;GO:0044270;GO:0046700" "organic cyclic compound catabolic process" 0.955580057550359
0 0.584833735152521 2 529 "GO:0019637" "organophosphate metabolic process" 0.939770998283034
0 0.830878507168283 2 455 "GO:0019725" "cellular homeostasis" 0.951489903370131
0 0.069179401160016 2 547 "GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 0.910540045874058
0 0.487558094650397 3 692 "GO:0022402" "cell cycle process" 0.939770998283034
0 0.192568426508975 3 247 "GO:0022412" "cellular process involved in reproduction in multicellular organism" 0.910540045874058
0 0.262534633171018 1 792 "GO:0022414;GO:0044702" "reproductive process" 0.910540045874058
0 0.023265887727232 2 689 "GO:0022603" "regulation of anatomical structure morphogenesis" 0.849107851632203
0 0.0699350291314356 3 398 "GO:0022604" "regulation of cell morphogenesis" 0.910540045874058
0 0.793837189478904 3 454 "GO:0030003;GO:0006873;GO:0055080;GO:0050801;GO:0055082" "ion homeostasis" 0.949388033222476
0 0.133745570060631 2 701 "GO:0030030" "cell projection organization" 0.910540045874058
0 0.301122895774007 2 278 "GO:0030036;GO:0030029" "actin filament-based process" 0.910540045874058
0 0.795012608348119 3 244 "GO:0030111" "regulation of Wnt signaling pathway" 0.949388033222476
