"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.388226842830149 2 454 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.65602026962845
0 0.299905217788633 3 265 "GO:0000226" "microtubule cytoskeleton organization" 0.585625729330506
0 0.0346706744372581 2 284 "GO:0000904;GO:0000902" "cell morphogenesis" 0.256918587496605
0 0.351153153055984 3 222 "GO:0001101" "response to acid" 0.622596694682082
0 0.0467873703549805 3 226 "GO:0001525" "angiogenesis" 0.258013204190799
0 0.0443750062096562 4 270 "GO:0001558" "regulation of cell growth" 0.258013204190799
0 0.127750814979486 2 393 "GO:0001775;GO:0045321" "cell activation" 0.418895750503945
0 0.179718708147257 2 285 "GO:0001817" "regulation of cytokine production" 0.456047241102006
0 0.521591832147893 2 726 "GO:0001932" "regulation of protein phosphorylation" 0.769081834136434
0 0.785941116390999 2 224 "GO:0001933" "negative regulation of protein phosphorylation" 0.934010174305191
0 0.756879919268168 3 474 "GO:0001934" "positive regulation of protein phosphorylation" 0.934010174305191
0 0.54796089835795 2 381 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.780101968598264
0 0.378410463807892 2 311 "GO:0002252" "immune effector process" 0.650956095479052
0 0.115191819514682 1 778 "GO:0002376" "immune system process" 0.407893369024978
0 0.0531225312265401 2 646 "GO:0002682" "regulation of immune system process" 0.274150205794109
0 0.161242522196035 3 330 "GO:0002684" "positive regulation of immune system process" 0.435495766327931
0 0.321879713250005 4 243 "GO:0002694;GO:0050865" "regulation of cell activation" 0.59422324473109
0 0.283922126969693 2 288 "GO:0003002" "regionalization" 0.565886170305112
0 0.547410915091567 2 440 "GO:0003006" "developmental process involved in reproduction" 0.780101968598264
0 0.0256863231015123 2 806 "GO:0003008" "system process" 0.219561999382493
0 0.848725764538514 2 381 "GO:0005975;GO:0044723" "carbohydrate metabolic process" 0.962697852790574
0 0.988308716159001 2 324 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.992668961669796
0 0.774351930197954 2 607 "GO:0006259" "DNA metabolic process" 0.934010174305191
0 0.716805403821391 5 366 "GO:0006281" "DNA repair" 0.925426550907399
0 0.764945663468922 2 477 "GO:0006325;GO:0016568" "chromatin organization" 0.934010174305191
0 0.34251304406589 2 330 "GO:0006366" "transcription from RNA polymerase II promoter" 0.61482155114933
0 0.9451015683702 5 654 "GO:0006396" "RNA processing" 0.986946529751047
0 0.195340553865454 2 213 "GO:0006417" "regulation of translation" 0.458970894854603
0 0.786292411998322 3 769 "GO:0006461" "protein complex assembly" 0.934010174305191
0 0.252501353027987 3 495 "GO:0006468" "protein phosphorylation" 0.521234935893487
0 0.567709277161297 2 742 "GO:0006508" "proteolysis" 0.802049381338152
0 0.908973384081458 5 414 "GO:0006511;GO:0019941;GO:0051603;GO:0043632" "proteolysis involved in cellular protein catabolic process" 0.976555048325433
0 0.784215256883018 3 257 "GO:0006520" "cellular amino acid metabolic process" 0.934010174305191
0 0.90328794811255 2 647 "GO:0006629;GO:0044255" "lipid metabolic process" 0.974067973897489
0 0.980528549317038 4 303 "GO:0006753;GO:0009117;GO:0055086" "nucleobase-containing small molecule metabolic process" 0.992668961669796
0 0.833531919798609 2 603 "GO:0006811" "ion transport" 0.962697852790574
0 0.788576064119262 3 422 "GO:0006812;GO:0030001" "cation transport" 0.934010174305191
0 0.679565268279692 3 230 "GO:0006820" "anion transport" 0.909233159874218
0 0.0444071848571028 4 247 "GO:0006874;GO:0055074;GO:0072503;GO:0072507" "divalent inorganic cation homeostasis" 0.258013204190799
0 0.155855687324948 2 328 "GO:0006875;GO:0055065" "metal ion homeostasis" 0.43303391836861
0 0.121087743262194 2 441 "GO:0006886" "intracellular protein transport" 0.41169832709146
0 0.868175819592146 2 287 "GO:0006887" "exocytosis" 0.972491518845466
0 0.017080118540409 2 373 "GO:0006897" "endocytosis" 0.189852086853008
0 0.187366638379169 5 524 "GO:0006915;GO:0012501;GO:0008219;GO:0016265" "cell death" 0.456047241102006
0 0.00500007437139641 2 466 "GO:0006952" "defense response" 0.111155499487197
0 0.0116609866156542 2 337 "GO:0006955" "immune response" 0.163974253028991
0 0.756835998328165 3 537 "GO:0006974" "cellular response to DNA damage stimulus" 0.934010174305191
0 0.0223870639789638 2 269 "GO:0006979" "response to oxidative stress" 0.215662049664018
0 0.447166209409856 2 213 "GO:0007005" "mitochondrion organization" 0.702294383632589
0 0.0265905535584334 2 583 "GO:0007010" "cytoskeleton organization" 0.219561999382493
0 0.484260786472474 2 452 "GO:0007017" "microtubule-based process" 0.728913371304922
0 0.701372304323707 4 203 "GO:0007018" "microtubule-based movement" 0.925426550907399
0 0.26323850730907 3 691 "GO:0007049" "cell cycle" 0.535745976143107
0 0.130451963824758 3 576 "GO:0007154" "cell communication" 0.418895750503945
0 0.00016447737236985 2 516 "GO:0007155;GO:0022610" "biological adhesion" 0.0262402154853436
0 0.1299016508377 2 394 "GO:0007169;GO:0007167" "enzyme linked receptor protein signaling pathway" 0.418895750503945
0 0.332441946511575 5 355 "GO:0007186" "G-protein coupled receptor signaling pathway" 0.604249827307202
0 0.532264284223292 2 377 "GO:0007267;GO:0044700;GO:0023052" "signaling" 0.780101968598264
0 0.436686157044346 4 211 "GO:0007268" "synaptic transmission" 0.696944141489925
0 0.463192938864116 2 331 "GO:0007283;GO:0048232;GO:0007276" "gamete generation" 0.708268567892749
0 0.308685241338429 5 431 "GO:0007346" "regulation of mitotic cell cycle" 0.590794932098053
0 0.206718443937716 3 425 "GO:0007389" "pattern specification process" 0.47460472201172
0 0.0141124615139455 4 412 "GO:0007399" "nervous system development" 0.173404473924561
0 0.360930918853151 3 224 "GO:0007411;GO:0097485" "neuron projection guidance" 0.636030704564394
0 0.948767210626 2 261 "GO:0007420" "brain development" 0.986946529751047
0 0.15925137637615 3 253 "GO:0007507" "heart development" 0.434185356346296
0 0.536204147044068 2 378 "GO:0007600" "sensory perception" 0.780101968598264
0 0.184112284975336 2 496 "GO:0007610;GO:0044708" "behavior" 0.456047241102006
0 0.212005761345569 2 243 "GO:0007611;GO:0050890" "cognition" 0.478669258038042
0 0.669165700627799 2 628 "GO:0008104;GO:0033036;GO:0051179;GO:0051641" "localization" 0.903686390100158
0 0.0882807651569578 2 473 "GO:0008283" "cell proliferation" 0.344772177437308
0 0.435706943563211 2 496 "GO:0008284" "positive regulation of cell proliferation" 0.696944141489925
0 0.150208523076725 2 403 "GO:0008285" "negative regulation of cell proliferation" 0.43303391836861
0 0.783755253933055 2 290 "GO:0008380" "RNA splicing" 0.934010174305191
0 0.945794606824464 3 335 "GO:0008610" "lipid biosynthetic process" 0.986946529751047
0 0.601358074900044 2 395 "GO:0009118;GO:0033121;GO:0030811;GO:1900542;GO:0006140" "regulation of nucleotide metabolic process" 0.835540786760157
0 0.417720619172488 3 377 "GO:0009314" "response to radiation" 0.682041010965249
0 0.321191589528186 2 270 "GO:0009416" "response to light stimulus" 0.59422324473109
0 0.0217985175142144 2 336 "GO:0009611" "response to wounding" 0.215662049664018
0 0.0388594434467958 2 857 "GO:0009628" "response to abiotic stimulus" 0.258013204190799
0 0.0124824690887121 2 548 "GO:0009725" "response to hormone" 0.163974253028991
0 0.713528277247784 4 238 "GO:0009792;GO:0009790" "embryo development" 0.925426550907399
0 0.720646464499879 3 430 "GO:0009887" "organ morphogenesis" 0.9256303477354
0 0.0558222074123364 3 448 "GO:0009888" "tissue development" 0.279380378179404
0 0.84652414663482 2 208 "GO:0009896" "positive regulation of catabolic process" 0.962697852790574
0 0.316362644578526 3 880 "GO:0009967" "positive regulation of signal transduction" 0.59422324473109
0 0.706230777946829 3 825 "GO:0009968;GO:0010648;GO:0023057" "negative regulation of cell communication" 0.925426550907399
0 0.0482100796757895 3 392 "GO:0010035" "response to inorganic substance" 0.258013204190799
0 0.0560694184581503 4 279 "GO:0010038" "response to metal ion" 0.279380378179404
0 0.0262599933486115 2 607 "GO:0010243;GO:1901698" "response to nitrogen compound" 0.219561999382493
0 0.446101146222777 5 499 "GO:0010564" "regulation of cell cycle process" 0.702294383632589
0 0.0424757813929217 6 459 "GO:0010608" "posttranscriptional regulation of gene expression" 0.258013204190799
0 0.151600393235452 2 352 "GO:0010638" "positive regulation of organelle organization" 0.43303391836861
0 0.0495798747190829 2 228 "GO:0010639" "negative regulation of organelle organization" 0.26051970534209
0 0.00377131881914129 2 221 "GO:0010720" "positive regulation of cell development" 0.0913278034063804
0 0.00019996470705869 2 277 "GO:0010769" "regulation of cell morphogenesis involved in differentiation" 0.0262402154853436
0 0.740076966158536 2 212 "GO:0010948" "negative regulation of cell cycle process" 0.934010174305191
0 0.1182492545041 2 569 "GO:0014070" "response to organic cyclic compound" 0.407893369024978
0 0.037674188736985 3 855 "GO:0015031" "protein transport" 0.258013204190799
