"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.970240692413011 2 453 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.990811166457103
0 0.364773261699495 4 265 "GO:0000226" "microtubule cytoskeleton organization" 0.7865327582584
0 0.229050825478804 2 284 "GO:0000904;GO:0000902" "cell morphogenesis" 0.672606421466403
0 0.926309570459725 2 222 "GO:0001101" "response to acid" 0.989696888009442
0 0.119093519098019 2 226 "GO:0001525" "angiogenesis" 0.579744130620649
0 0.377959994633189 2 270 "GO:0001558" "regulation of cell growth" 0.788778400904452
0 0.836618816308607 2 392 "GO:0001775;GO:0045321" "cell activation" 0.978877886288208
0 0.231172653188248 4 285 "GO:0001817" "regulation of cytokine production" 0.672606421466403
0 0.128442755404307 3 726 "GO:0001932" "regulation of protein phosphorylation" 0.589205655743567
0 0.257875072712968 4 224 "GO:0001933" "negative regulation of protein phosphorylation" 0.69379419912081
0 0.0454680567594728 4 474 "GO:0001934" "positive regulation of protein phosphorylation" 0.510020397601451
0 0.821949707290496 4 381 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.978877886288208
0 0.285887709431487 2 310 "GO:0002252" "immune effector process" 0.718448243701737
0 0.0604450464881172 1 777 "GO:0002376" "immune system process" 0.510020397601451
0 0.20840478006053 3 646 "GO:0002682" "regulation of immune system process" 0.672606421466403
0 0.179879006609472 2 330 "GO:0002684" "positive regulation of immune system process" 0.672606421466403
0 0.534333679480345 2 243 "GO:0002694;GO:0050865" "regulation of cell activation" 0.860727181871749
0 0.85008787655673 2 288 "GO:0003002" "regionalization" 0.986648178011626
0 0.753901379876531 2 440 "GO:0003006" "developmental process involved in reproduction" 0.959812769974967
0 0.452087802996385 2 806 "GO:0003008" "system process" 0.821719340037455
0 0.446580553649231 2 380 "GO:0005975;GO:0044723" "carbohydrate metabolic process" 0.816846708890049
0 0.317592054429342 3 324 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.733945894255004
0 0.708134441230654 2 606 "GO:0006259" "DNA metabolic process" 0.959812769974967
0 0.800184057045048 3 366 "GO:0006281" "DNA repair" 0.978877886288208
0 0.805157642619373 4 475 "GO:0006325;GO:0016568" "chromatin organization" 0.978877886288208
0 0.897959705146642 2 329 "GO:0006366" "transcription from RNA polymerase II promoter" 0.989696888009442
0 0.216455839535716 2 652 "GO:0006396" "RNA processing" 0.672606421466403
0 0.446449528641684 3 213 "GO:0006417" "regulation of translation" 0.816846708890049
0 0.795016750541816 3 769 "GO:0006461" "protein complex assembly" 0.978877886288208
0 0.114568866186293 4 494 "GO:0006468" "protein phosphorylation" 0.579744130620649
0 0.485699275728783 4 741 "GO:0006508" "proteolysis" 0.835518396938204
0 0.861786351572679 2 413 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in cellular protein catabolic process" 0.989696888009442
0 0.572644689088468 2 257 "GO:0006520" "cellular amino acid metabolic process" 0.882368317139155
0 0.0670615055669728 2 647 "GO:0006629;GO:0044255" "lipid metabolic process" 0.510020397601451
0 0.869565478683014 4 303 "GO:0006753;GO:0055086;GO:0009117" "nucleobase-containing small molecule metabolic process" 0.989696888009442
0 0.923866701529144 3 602 "GO:0006811" "ion transport" 0.989696888009442
0 0.871504237248698 2 422 "GO:0006812;GO:0030001" "cation transport" 0.989696888009442
0 0.933010823050279 2 230 "GO:0006820" "anion transport" 0.989696888009442
0 0.782948283264663 8 247 "GO:0006874;GO:0055074;GO:0072503;GO:0072507" "divalent inorganic cation homeostasis" 0.978877886288208
0 0.735205833331745 6 328 "GO:0006875;GO:0055065" "metal ion homeostasis" 0.959812769974967
