"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.581632214671447 2 447 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.972981698179003
0 0.909422499147248 4 260 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.249130691181141 3 281 "GO:0000904;GO:0000902" "cell morphogenesis" 0.889090045945376
0 0.313059875332879 3 217 "GO:0001101" "response to acid" 0.889090045945376
0 0.0516626319612856 2 224 "GO:0001525" "angiogenesis" 0.889090045945376
0 0.43895180503293 2 268 "GO:0001558" "regulation of cell growth" 0.936975896485368
0 0.682195582640047 2 384 "GO:0001775;GO:0045321" "cell activation" 0.993556643434735
0 0.109992926948969 2 281 "GO:0001817" "regulation of cytokine production" 0.889090045945376
0 0.475086370048919 3 717 "GO:0001932" "regulation of protein phosphorylation" 0.936975896485368
0 0.868256536609978 2 220 "GO:0001933" "negative regulation of protein phosphorylation" 1
0 0.247835032612522 4 468 "GO:0001934" "positive regulation of protein phosphorylation" 0.889090045945376
0 0.858865939296184 4 374 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 0.295545522881104 2 304 "GO:0002252" "immune effector process" 0.889090045945376
0 0.70138757798547 1 764 "GO:0002376" "immune system process" 1
0 0.116030311655471 2 633 "GO:0002682" "regulation of immune system process" 0.889090045945376
0 0.0721211826019578 4 324 "GO:0002684" "positive regulation of immune system process" 0.889090045945376
0 0.166454360005944 2 237 "GO:0002694;GO:0050865" "regulation of cell activation" 0.889090045945376
0 0.474621738455082 2 283 "GO:0003002" "regionalization" 0.936975896485368
0 0.354293025488289 2 433 "GO:0003006" "developmental process involved in reproduction" 0.934675056329627
0 0.288476365962834 2 794 "GO:0003008" "system process" 0.889090045945376
0 1 3 375 "GO:0005975;GO:0044723" "carbohydrate metabolic process" 1
0 0.946566206559883 2 316 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 1
0 0.633379037582432 2 595 "GO:0006259" "DNA metabolic process" 0.985144178844693
0 0.842544062025529 2 359 "GO:0006281" "DNA repair" 1
0 0.931277284846334 2 469 "GO:0006325;GO:0016568" "chromatin organization" 1
0 0.952303725160472 2 328 "GO:0006366" "transcription from RNA polymerase II promoter" 1
0 0.529039599439896 5 642 "GO:0006396" "RNA processing" 0.972981698179003
0 0.0396536632670426 2 208 "GO:0006417" "regulation of translation" 0.889090045945376
0 0.827366837670073 5 757 "GO:0006461" "protein complex assembly" 1
0 0.281959306859502 3 490 "GO:0006468" "protein phosphorylation" 0.889090045945376
0 0.123602700699207 2 734 "GO:0006508" "proteolysis" 0.889090045945376
0 0.309047160919009 2 408 "GO:0006511;GO:0019941;GO:0051603;GO:0043632" "proteolysis involved in cellular protein catabolic process" 0.889090045945376
0 0.666169355706823 5 250 "GO:0006520" "cellular amino acid metabolic process" 0.985375505316342
0 0.935166444707217 3 637 "GO:0006629;GO:0044255" "lipid metabolic process" 1
