"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 4 6 "GO:0000109" "nucleotide-excision repair complex" 1
0 0.15029636037936 2 24 "GO:0000118" "histone deacetylase complex" 1
0 1 3 5 "GO:0000120" "RNA polymerase I transcription factor complex" 1
0 1 2 54 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 1 6 17 "GO:0000124;GO:0070461" "SAGA-type complex" 1
0 1 2 6 "GO:0000138" "Golgi trans cisterna" 1
0 0.0654896921665994 2 10 "GO:0000145" "exocyst" 1
0 0.331790408511911 2 175 "GO:0000151" "ubiquitin ligase complex" 1
0 0.114896911707841 3 18 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 3 12 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 1
0 1 3 6 "GO:0000164" "protein phosphatase type 1 complex" 1
0 1 3 6 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 1 2 7 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 2 11 "GO:0000178" "exosome (RNase complex)" 1
0 0.326608484210144 3 58 "GO:0000228" "nuclear chromosome" 1
0 1 3 13 "GO:0000242" "pericentriolar material" 1
0 1 2 6 "GO:0000243" "commitment complex" 1
0 1 2 18 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 4 10 "GO:0000322" "storage vacuole" 1
0 1 6 7 "GO:0000324" "fungal-type vacuole" 1
0 1 3 7 "GO:0000329" "fungal-type vacuole membrane" 1
0 1 2 7 "GO:0000346" "transcription export complex" 1
0 1 4 14 "GO:0000407" "pre-autophagosomal structure" 1
0 1 2 10 "GO:0000421" "autophagic vacuole membrane" 1
0 1 3 16 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 1
0 0.227687554749368 3 38 "GO:0000502" "proteasome complex" 1
0 1 2 30 "GO:0000775" "chromosome, centromeric region" 1
0 1 3 59 "GO:0000776" "kinetochore" 1
0 1 5 35 "GO:0000777" "condensed chromosome kinetochore" 1
0 1 5 11 "GO:0000779" "condensed chromosome, centromeric region" 1
0 1 2 7 "GO:0000780" "condensed nuclear chromosome, centromeric region" 1
0 1 3 57 "GO:0000781" "chromosome, telomeric region" 1
0 1 3 42 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.608303873729841 3 136 "GO:0000785" "chromatin" 1
0 1 3 7 "GO:0000786;GO:1990104" "nucleosome" 1
0 1 2 84 "GO:0000790" "nuclear chromatin" 1
0 0.0966704781629859 4 15 "GO:0000791" "euchromatin" 1
0 0.14449237376993 5 23 "GO:0000792" "heterochromatin" 1
0 0.312587728769191 2 55 "GO:0000793" "condensed chromosome" 1
0 0.238175109036527 4 40 "GO:0000794" "condensed nuclear chromosome" 1
0 1 2 9 "GO:0000795" "synaptonemal complex" 1
0 1 3 7 "GO:0000796" "condensin complex" 1
0 1 2 13 "GO:0000803" "sex chromosome" 1
0 1 3 5 "GO:0000805" "X chromosome" 1
0 1 2 8 "GO:0000836;GO:0000835" "ER ubiquitin ligase complex" 1
0 1 2 70 "GO:0000922" "spindle pole" 1
0 1 2 42 "GO:0000932" "cytoplasmic mRNA processing body" 1
0 1 4 5 "GO:0000938" "GARP complex" 1
0 1 3 7 "GO:0000940" "condensed chromosome outer kinetochore" 1
0 1 3 9 "GO:0000974;GO:0071006;GO:0071012" "Prp19 complex" 1
0 1 2 13 "GO:0001527;GO:0043205" "microfibril" 1
0 1 2 49 "GO:0001650" "fibrillar center" 1
0 1 5 30 "GO:0001669" "acrosomal vesicle" 1
0 1 3 28 "GO:0001725;GO:0032432" "actin filament bundle" 1
0 0.340354480728206 2 61 "GO:0001726" "ruffle" 1
0 1 6 6 "GO:0001741" "XY body" 1
0 1 2 40 "GO:0001750" "photoreceptor outer segment" 1
0 1 3 10 "GO:0001772" "immunological synapse" 1
0 1 3 14 "GO:0001891" "phagocytic cup" 1
0 1 3 34 "GO:0001917" "photoreceptor inner segment" 1
0 1 3 11 "GO:0002080" "acrosomal membrane" 1
0 0.0251647792671067 2 37 "GO:0002102" "podosome" 1
0 1 3 16 "GO:0002116" "semaphorin receptor complex" 1
0 1 3 6 "GO:0002133" "polycystin complex" 1
0 1 2 10 "GO:0002141;GO:0002139;GO:0002142" "stereocilia ankle link" 1
0 1 4 6 "GO:0002177" "manchette" 1
0 0.14449237376993 2 23 "GO:0005577" "fibrinogen complex" 1
0 0.108360325466212 2 173 "GO:0005578" "proteinaceous extracellular matrix" 1
0 1 3 57 "GO:0005581" "collagen trimer" 1
0 1 2 14 "GO:0005583" "fibrillar collagen trimer" 1
0 1 4 10 "GO:0005584" "collagen type I trimer" 1
0 1 3 11 "GO:0005587;GO:0098642" "collagen type IV trimer" 1
0 1 2 5 "GO:0005594" "collagen type IX trimer" 1
0 0.316637675306045 2 169 "GO:0005604;GO:0044420" "extracellular matrix part" 1
0 1 2 21 "GO:0005605" "basal lamina" 1
0 1 3 5 "GO:0005606;GO:0005607;GO:0043257" "laminin-2 complex" 1
0 1 2 24 "GO:0005614;GO:0005595;GO:0005596" "interstitial matrix" 1
0 0.132770015980415 2 21 "GO:0005618;GO:0030312" "cell wall" 1
0 0.268823838702238 1 46 "GO:0005623" "cell" 1
0 1 2 127 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 1 2 15 "GO:0005637" "nuclear inner membrane" 1
0 1 2 6 "GO:0005640" "nuclear outer membrane" 1
0 1 2 9 "GO:0005641" "nuclear envelope lumen" 1
0 1 2 5 "GO:0005642" "annulate lamellae" 1
0 1 2 44 "GO:0005643;GO:0046930" "pore complex" 1
0 1 3 22 "GO:0005657" "replication fork" 1
