"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.235029081184047 2 587 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.477639745632095
0 0.474385661574801 2 259 "GO:0000151" "ubiquitin ligase complex" 0.714982970383618
0 0.536400403389632 2 244 "GO:0000785" "chromatin" 0.734635335077105
0 0.00233211079528725 1 833 "GO:0005576" "extracellular region" 0.0476347065308243
0 0.0757287375744673 2 508 "GO:0005615" "extracellular space" 0.268906732643243
0 0.772691925451664 2 598 "GO:0005622" "intracellular" 0.916512798660401
0 0.901600505037612 3 216 "GO:0005667" "transcription factor complex" 0.962725963006264
0 0.146391724063307 4 353 "GO:0005694" "chromosome" 0.355248187959478
0 0.621109529576868 3 630 "GO:0005730" "nucleolus" 0.798569395170259
0 0.977214517156401 4 316 "GO:0005743;GO:0019866" "organelle inner membrane" 0.981679258803863
0 0.860161579605456 4 233 "GO:0005765" "lysosomal membrane" 0.950704903774451
0 0.0854287202777458 2 661 "GO:0005768" "endosome" 0.269100468874899
0 0.0223160046997021 5 253 "GO:0005769" "early endosome" 0.140590829608123
0 0.424173999512147 2 409 "GO:0005773;GO:0005764;GO:0000323" "vacuole" 0.668074049231631
0 0.892752254885909 2 346 "GO:0005774;GO:0044437" "vacuolar part" 0.962725963006264
0 0.836649110411682 3 597 "GO:0005789" "endoplasmic reticulum membrane" 0.950704903774451
0 0.851921518207427 2 390 "GO:0005813" "centrosome" 0.950704903774451
0 0.509712684645974 2 568 "GO:0005815" "microtubule organizing center" 0.729815889379463
0 0.355825033996242 4 287 "GO:0005874" "microtubule" 0.62930658207559
0 0.139728871696322 3 596 "GO:0005887" "integral component of plasma membrane" 0.355248187959478
0 0.00949633607806534 2 311 "GO:0005911" "cell-cell junction" 0.0854670247025881
0 0.00541208467409302 2 275 "GO:0005912;GO:0070161" "anchoring junction" 0.0568268890779767
0 0.930077297106884 2 403 "GO:0005929" "cilium" 0.976581161962228
0 0.0777119506395625 4 208 "GO:0005938" "cell cortex" 0.268906732643243
0 0.146737337990037 2 305 "GO:0009986" "cell surface" 0.355248187959478
0 0.18464055969102 2 367 "GO:0010008;GO:0044440" "endosomal part" 0.401115698639112
0 0.0495478528109122 2 236 "GO:0014069" "postsynaptic density" 0.222965337649105
0 0.0131154164312747 2 518 "GO:0016023" "cytoplasmic membrane-bounded vesicle" 0.0918079150189229
0 0.29023635349945 2 272 "GO:0016324" "apical plasma membrane" 0.554087583953495
0 0.389570741284889 2 533 "GO:0016604" "nuclear body" 0.62930658207559
0 0.488004249626914 3 289 "GO:0016607" "nuclear speck" 0.714982970383618
0 0.000221975939925731 1 835 "GO:0030054" "cell junction" 0.0139844842153211
0 0.123019148037347 2 226 "GO:0030135" "coated vesicle" 0.355248187959478
0 0.138492728331806 3 374 "GO:0030424" "axon" 0.355248187959478
0 0.0434236770344813 3 387 "GO:0030425" "dendrite" 0.210437819474794
0 0.731670893178866 2 524 "GO:0030529" "ribonucleoprotein complex" 0.916512798660401
0 0.177991753606728 3 564 "GO:0030659;GO:0012506;GO:0044433" "cytoplasmic vesicle part" 0.400481445615138
0 0.0595622277554494 3 287 "GO:0031253" "cell projection membrane" 0.234526271787082
0 0.785582398851772 2 210 "GO:0031301" "integral component of organelle membrane" 0.916512798660401
0 0.0305899648480142 3 841 "GO:0031410" "cytoplasmic vesicle" 0.167879683504493
0 0.773097328509809 2 238 "GO:0031965" "nuclear membrane" 0.916512798660401
0 0.972619708510406 2 417 "GO:0031966" "mitochondrial membrane" 0.981679258803863
0 0.140890233960869 2 232 "GO:0033267" "axon part" 0.355248187959478
0 0.00302442581148091 2 798 "GO:0043005" "neuron projection" 0.0476347065308243
0 0.152249223411205 2 404 "GO:0044297;GO:0043025" "cell body" 0.355248187959478
0 0.269948193513836 2 548 "GO:0044427" "chromosomal part" 0.531460505980365
0 0.981679258803863 2 610 "GO:0044429" "mitochondrial part" 0.981679258803863
0 0.484279120460787 2 806 "GO:0044432" "endoplasmic reticulum part" 0.714982970383618
0 0.578768573809888 2 337 "GO:0044441" "ciliary part" 0.759633753125478
0 0.372634784076335 4 821 "GO:0044451" "nucleoplasm part" 0.62930658207559
0 0.369268128777752 2 290 "GO:0044454" "nuclear chromosome part" 0.62930658207559
0 0.0534887461153729 1 513 "GO:0044456" "synapse part" 0.224652733684566
0 0.00401722634044921 2 903 "GO:0044463" "cell projection part" 0.05061705188966
0 0.385401227505833 2 215 "GO:0045121" "membrane raft" 0.62930658207559
0 0.00157642432491541 1 530 "GO:0045202" "synapse" 0.0476347065308243
0 0.0319770825722843 3 201 "GO:0045211" "postsynaptic membrane" 0.167879683504493
0 0.381279704056745 4 504 "GO:0048471" "perinuclear region of cytoplasm" 0.62930658207559
0 0.772416570664491 2 539 "GO:0070013;GO:0043233;GO:0031974" "membrane-enclosed lumen" 0.916512798660401
0 0.0114895353837648 2 626 "GO:0070062;GO:0065010;GO:0043230" "extracellular membrane-bounded organelle" 0.0904800911471478
0 0.0810988558765337 2 277 "GO:0097060" "synaptic membrane" 0.268906732643243
0 0.233157264452765 2 408 "GO:0098590" "plasma membrane region" 0.477639745632095
0 0.529380260052625 3 739 "GO:1902494" "catalytic complex" 0.734635335077105
0 0.575260977252608 2 280 "GO:1990234" "transferase complex" 0.759633753125478
