"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.466458068515732 3 587 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.988624616721151
0 0.961963240581583 3 259 "GO:0000151" "ubiquitin ligase complex" 0.996867391065412
0 0.170668598681549 2 243 "GO:0000785" "chromatin" 0.716808114462506
0 2.76084824755161e-08 1 833 "GO:0005576" "extracellular region" 1.73933439595751e-06
0 0.000146270813976187 2 508 "GO:0005615" "extracellular space" 0.00460753064024989
0 0.761368799232015 2 598 "GO:0005622" "intracellular" 0.996867391065412
0 0.986158608477875 2 215 "GO:0005667" "transcription factor complex" 0.996867391065412
0 0.13957558111971 2 353 "GO:0005694" "chromosome" 0.651454220322873
0 0.268409666896024 2 630 "GO:0005730" "nucleolus" 0.84350291483662
0 0.358225827229105 2 316 "GO:0005743;GO:0019866" "organelle inner membrane" 0.902729084617345
0 0.470773627010072 2 233 "GO:0005765" "lysosomal membrane" 0.988624616721151
0 0.696953768321548 3 661 "GO:0005768" "endosome" 0.996867391065412
0 0.128329036695647 4 253 "GO:0005769" "early endosome" 0.651454220322873
0 0.728843736795936 3 409 "GO:0005773;GO:0005764;GO:0000323" "vacuole" 0.996867391065412
0 0.716881152381496 3 346 "GO:0005774;GO:0044437" "vacuolar part" 0.996867391065412
0 0.923883077189611 4 596 "GO:0005789" "endoplasmic reticulum membrane" 0.996867391065412
0 0.949847759804813 4 390 "GO:0005813" "centrosome" 0.996867391065412
0 0.760162989230163 2 568 "GO:0005815" "microtubule organizing center" 0.996867391065412
0 0.824125209594906 2 287 "GO:0005874" "microtubule" 0.996867391065412
0 0.319046657967587 2 595 "GO:0005887" "integral component of plasma membrane" 0.873910410954695
0 0.577577412317695 2 311 "GO:0005911" "cell-cell junction" 0.996867391065412
0 0.411851819626179 3 275 "GO:0005912;GO:0070161" "anchoring junction" 0.926666594158903
0 0.872966974836539 3 403 "GO:0005929" "cilium" 0.996867391065412
0 0.0082951678999377 2 208 "GO:0005938" "cell cortex" 0.104519115539215
0 0.00711586874823698 2 305 "GO:0009986" "cell surface" 0.104519115539215
0 0.784889251855836 4 367 "GO:0010008;GO:0044440" "endosomal part" 0.996867391065412
0 0.0469962865837812 4 236 "GO:0014069" "postsynaptic density" 0.361817292984722
0 0.70236033206031 3 518 "GO:0016023" "cytoplasmic membrane-bounded vesicle" 0.996867391065412
0 0.397726444650606 3 272 "GO:0016324" "apical plasma membrane" 0.926666594158903
0 0.817791911399084 3 532 "GO:0016604" "nuclear body" 0.996867391065412
0 0.953975112733352 4 288 "GO:0016607" "nuclear speck" 0.996867391065412
0 0.0372689643546499 1 835 "GO:0030054" "cell junction" 0.335420679191849
0 0.967145472673953 2 226 "GO:0030135" "coated vesicle" 0.996867391065412
0 0.280035657038974 3 374 "GO:0030424" "axon" 0.84350291483662
0 0.753668920203042 4 387 "GO:0030425" "dendrite" 0.996867391065412
0 0.342444168483185 2 523 "GO:0030529" "ribonucleoprotein complex" 0.898915942268361
0 0.663217618546368 3 563 "GO:0030659;GO:0012506;GO:0044433" "cytoplasmic vesicle part" 0.996867391065412
0 0.0970394364727937 2 287 "GO:0031253" "cell projection membrane" 0.555771317980546
0 0.950446467160195 2 210 "GO:0031301" "integral component of organelle membrane" 0.996867391065412
0 0.566644799392773 2 841 "GO:0031410" "cytoplasmic vesicle" 0.996867391065412
0 0.632655686755338 2 237 "GO:0031965" "nuclear membrane" 0.996867391065412
0 0.550732152099418 4 417 "GO:0031966" "mitochondrial membrane" 0.996867391065412
0 0.219771832075465 3 232 "GO:0033267" "axon part" 0.84350291483662
0 0.29455657343501 2 798 "GO:0043005" "neuron projection" 0.84350291483662
0 0.144767604516194 2 404 "GO:0044297;GO:0043025" "cell body" 0.651454220322873
0 0.702070273710233 3 547 "GO:0044427" "chromosomal part" 0.996867391065412
0 0.790335616691129 2 610 "GO:0044429" "mitochondrial part" 0.996867391065412
0 0.697518992855008 2 805 "GO:0044432" "endoplasmic reticulum part" 0.996867391065412
0 0.965157669306149 2 337 "GO:0044441" "ciliary part" 0.996867391065412
0 0.927595923286945 2 819 "GO:0044451" "nucleoplasm part" 0.996867391065412
0 0.829825457387796 2 289 "GO:0044454" "nuclear chromosome part" 0.996867391065412
0 0.49518670444671 1 513 "GO:0044456" "synapse part" 0.996867391065412
0 0.583457522141897 2 903 "GO:0044463" "cell projection part" 0.996867391065412
0 0.252269701259147 2 215 "GO:0045121" "membrane raft" 0.84350291483662
0 0.281363253366295 1 530 "GO:0045202" "synapse" 0.84350291483662
0 0.0303059532277591 2 201 "GO:0045211" "postsynaptic membrane" 0.318212508891471
0 0.281579654319328 2 504 "GO:0048471" "perinuclear region of cytoplasm" 0.84350291483662
0 0.0516881847121031 2 539 "GO:0070013;GO:0043233;GO:0031974" "membrane-enclosed lumen" 0.361817292984722
0 0.00323528128509147 4 625 "GO:0070062;GO:0065010;GO:0043230" "extracellular membrane-bounded organelle" 0.0679409069869209
0 0.0770933803938722 2 277 "GO:0097060" "synaptic membrane" 0.485688296481395
0 0.408037989859384 2 408 "GO:0098590" "plasma membrane region" 0.926666594158903
0 0.996867391065412 2 738 "GO:1902494" "catalytic complex" 0.996867391065412
0 0.88605673770671 2 279 "GO:1990234" "transferase complex" 0.996867391065412
