"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.551714437965937 3 578 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.977322718682517
0 0.373963424911144 2 257 "GO:0000151" "ubiquitin ligase complex" 0.899469319877038
0 1 2 240 "GO:0000785" "chromatin" 1
0 0.392970123918546 1 818 "GO:0005576" "extracellular region" 0.899469319877038
0 0.132091433116944 2 503 "GO:0005615" "extracellular space" 0.682472404437544
0 0.237211952327874 2 594 "GO:0005622" "intracellular" 0.779597362327157
0 0.842267304301053 2 213 "GO:0005667" "transcription factor complex" 1
0 0.951740259429708 4 346 "GO:0005694" "chromosome" 1
0 0.0351677318138394 3 623 "GO:0005730" "nucleolus" 0.439805461829148
0 0.276631322116088 3 314 "GO:0005743;GO:0019866" "organelle inner membrane" 0.779597362327157
0 0.865434300939864 2 231 "GO:0005765" "lysosomal membrane" 1
0 0.482852930547763 2 652 "GO:0005768" "endosome" 0.907178233150343
0 0.633136208147075 2 250 "GO:0005769" "early endosome" 0.986151122321008
0 0.674411841541365 2 403 "GO:0005773;GO:0005764;GO:0000323" "vacuole" 0.986151122321008
0 0.949520444934934 3 341 "GO:0005774;GO:0044437" "vacuolar part" 1
0 1 3 592 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.84828300311332 4 386 "GO:0005813" "centrosome" 1
0 0.340921997982865 2 561 "GO:0005815" "microtubule organizing center" 0.880715161455735
0 0.0891033340650464 2 281 "GO:0005874" "microtubule" 0.651282232012995
0 0.752034253605636 3 591 "GO:0005887" "integral component of plasma membrane" 1
0 0.253893687243955 2 302 "GO:0005911" "cell-cell junction" 0.779597362327157
0 0.19575879580782 3 270 "GO:0005912;GO:0070161" "anchoring junction" 0.779597362327157
0 0.856471626129234 3 394 "GO:0005929" "cilium" 1
0 0.0304669377498195 2 207 "GO:0005938" "cell cortex" 0.439805461829148
0 0.10994956920514 2 300 "GO:0009986" "cell surface" 0.681687329071868
0 0.818738720055769 3 360 "GO:0010008;GO:0044440" "endosomal part" 1
0 0.594294895387621 2 233 "GO:0014069" "postsynaptic density" 0.977604329914261
0 0.0276749544385744 3 513 "GO:0016023" "cytoplasmic membrane-bounded vesicle" 0.439805461829148
0 0.401913367467317 4 269 "GO:0016324" "apical plasma membrane" 0.899469319877038
0 0.464242229613955 3 525 "GO:0016604" "nuclear body" 0.899469319877038
0 0.438665833886085 2 285 "GO:0016607" "nuclear speck" 0.899469319877038
0 0.0395918618769646 1 819 "GO:0030054" "cell junction" 0.439805461829148
0 0.12177490314573 2 224 "GO:0030135" "coated vesicle" 0.682472404437544
0 0.205853087442651 4 371 "GO:0030424" "axon" 0.779597362327157
0 0.0416792673165616 3 382 "GO:0030425" "dendrite" 0.439805461829148
0 0.452328539162205 2 518 "GO:0030529" "ribonucleoprotein complex" 0.899469319877038
0 0.0945409691631767 2 554 "GO:0030659;GO:0012506;GO:0044433" "cytoplasmic vesicle part" 0.651282232012995
0 1 3 284 "GO:0031253" "cell projection membrane" 1
0 1 2 209 "GO:0031301" "integral component of organelle membrane" 1
0 0.0425618188866917 2 828 "GO:0031410" "cytoplasmic vesicle" 0.439805461829148
0 0.596659911831291 2 234 "GO:0031965" "nuclear membrane" 0.977604329914261
0 0.690781011525065 3 413 "GO:0031966" "mitochondrial membrane" 0.986151122321008
0 0.310557176819572 2 230 "GO:0033267" "axon part" 0.837154128817977
0 0.0648225228693683 2 788 "GO:0043005" "neuron projection" 0.574142345414405
0 0.249815124642611 2 399 "GO:0044297;GO:0043025" "cell body" 0.779597362327157
0 0.94977281575897 3 538 "GO:0044427" "chromosomal part" 1
0 0.768614734831139 2 605 "GO:0044429" "mitochondrial part" 1
0 0.973151228481659 2 800 "GO:0044432" "endoplasmic reticulum part" 1
0 0.532867158217786 2 328 "GO:0044441" "ciliary part" 0.97169893557361
0 0.699849183582651 2 809 "GO:0044451" "nucleoplasm part" 0.986151122321008
0 1 2 283 "GO:0044454" "nuclear chromosome part" 1
0 0.428339499076542 1 504 "GO:0044456" "synapse part" 0.899469319877038
0 0.214386764078247 2 887 "GO:0044463" "cell projection part" 0.779597362327157
0 0.266218313775957 2 211 "GO:0045121" "membrane raft" 0.779597362327157
0 0.452328539162205 1 518 "GO:0045202" "synapse" 0.899469319877038
0 0.240552538690026 2 494 "GO:0048471" "perinuclear region of cytoplasm" 0.779597362327157
0 0.843103153491243 3 534 "GO:0070013;GO:0043233;GO:0031974" "membrane-enclosed lumen" 1
0 0.148057303316558 4 616 "GO:0070062;GO:0065010;GO:0043230" "extracellular membrane-bounded organelle" 0.706119446586661
0 0.679127209883792 2 272 "GO:0097060" "synaptic membrane" 0.986151122321008
0 0.674411841541365 2 403 "GO:0098590" "plasma membrane region" 0.986151122321008
0 0.599176847366805 3 731 "GO:1902494" "catalytic complex" 0.977604329914261
0 1 4 278 "GO:1990234" "transferase complex" 1
