"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-61 0.0273404844629037 4 73 "GO:0000139" "Golgi membrane" 0.43355354783837
-18 0.662445249868561 3 31 "GO:0000151" "ubiquitin ligase complex" 0.919525403148451
71 0.0703621676075737 2 34 "GO:0005578" "proteinaceous extracellular matrix" 0.43355354783837
-3 0.937737898899629 2 31 "GO:0005604;GO:0044420" "extracellular matrix part" 0.978691518358004
-13 0.593132390131381 2 96 "GO:0005615" "extracellular space" 0.919525403148451
-18 0.502658290870211 2 81 "GO:0005622" "intracellular" 0.919525403148451
-74 0.0741604752881422 3 31 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.43355354783837
53 0.0443898330304665 3 82 "GO:0005730" "nucleolus" 0.43355354783837
-15 0.681123461893556 3 41 "GO:0005743;GO:0019866" "organelle inner membrane" 0.919525403148451
24 0.563686445882765 2 30 "GO:0005759" "mitochondrial matrix" 0.919525403148451
-75 0.0616026081949166 2 33 "GO:0005764;GO:0000323" "lytic vacuole" 0.43355354783837
-30 0.25033665703174 2 85 "GO:0005768" "endosome" 0.792732747267177
-69 0.0656822185424355 2 38 "GO:0005769" "early endosome" 0.43355354783837
-81 0.0193579552220952 3 45 "GO:0005773" "vacuole" 0.43355354783837
-34 0.342206123626536 3 43 "GO:0005774;GO:0005765" "vacuolar membrane" 0.830495931888453
24 0.539575286014402 2 35 "GO:0005788" "endoplasmic reticulum lumen" 0.919525403148451
-22 0.445770836809205 2 65 "GO:0005789" "endoplasmic reticulum membrane" 0.89154167361841
-26 0.514738952855066 2 33 "GO:0005802" "trans-Golgi network" 0.919525403148451
-34 0.316308087406687 4 47 "GO:0005813" "centrosome" 0.830495931888453
-26 0.342257859805805 3 77 "GO:0005815" "microtubule organizing center" 0.830495931888453
-40 0.365787536193182 4 27 "GO:0005819" "spindle" 0.830495931888453
10 0.701743070823818 2 76 "GO:0005856" "cytoskeleton" 0.919525403148451
20 0.63465193784423 3 31 "GO:0005874" "microtubule" 0.919525403148451
5 0.838043055245029 2 95 "GO:0005887" "integral component of plasma membrane" 0.95061600296451
7 0.829399885994862 2 49 "GO:0005911" "cell-cell junction" 0.95061600296451
9 0.798477343970247 2 41 "GO:0005912;GO:0070161" "adherens junction" 0.95061600296451
14 0.742480457747135 3 30 "GO:0005925;GO:0005924;GO:0030055" "cell-substrate junction" 0.950352787551494
-50 0.151130560638966 2 44 "GO:0005929" "cilium" 0.604522242555864
-41 0.332264264712273 3 29 "GO:0005938" "cell cortex" 0.830495931888453
-83 0.0658579474507339 2 26 "GO:0009897" "external side of plasma membrane" 0.43355354783837
-22 0.470354081433721 2 58 "GO:0009986" "cell surface" 0.916587440742636
-19 0.573560422820123 2 50 "GO:0010008;GO:0044440" "endosomal part" 0.919525403148451
-61 0.108251138144752 4 37 "GO:0014069" "postsynaptic density" 0.548472433266743
-19 0.647532946096341 2 32 "GO:0015629" "actin cytoskeleton" 0.919525403148451
-61 0.0150566690884405 2 92 "GO:0016023" "cytoplasmic membrane-bounded vesicle" 0.43355354783837
-80 0.0501134661406543 4 32 "GO:0016323" "basolateral plasma membrane" 0.43355354783837
-6 0.851161328254245 4 49 "GO:0016324" "apical plasma membrane" 0.951297955107686
23 0.424368527368777 2 64 "GO:0016604" "nuclear body" 0.871675894054785
17 0.67729638045356 2 33 "GO:0016607" "nuclear speck" 0.919525403148451
-11 0.775287800370956 2 33 "GO:0019897;GO:0019898" "extrinsic component of membrane" 0.950352787551494
-3 0.94005895842282 3 29 "GO:0030027" "lamellipodium" 0.978691518358004
-119 0.00108831320617504 5 40 "GO:0030136;GO:0030135" "coated vesicle" 0.082711803669303
-19 0.644627584314185 5 30 "GO:0030139" "endocytic vesicle" 0.919525403148451
-47 0.217475068178797 3 36 "GO:0030141" "secretory granule" 0.718613268764721
7 0.818125879186707 4 55 "GO:0030424" "axon" 0.95061600296451
-4 0.904896773148961 4 55 "GO:0030425" "dendrite" 0.970733047268858
-37 0.201018976087668 2 66 "GO:0030529" "ribonucleoprotein complex" 0.694429190121035
-16 0.606649308461201 3 60 "GO:0030659;GO:0012506" "vesicle membrane" 0.919525403148451
34 0.304454817938198 1 49 "GO:0031012" "extracellular matrix" 0.830495931888453
-14 0.645447881112209 2 56 "GO:0031253" "cell projection membrane" 0.919525403148451
58 0.176291067507249 2 29 "GO:0031301" "integral component of organelle membrane" 0.669906056527546
-61 0.132116212319673 3 32 "GO:0031965" "nuclear membrane" 0.582543662691184
-27 0.415892090066243 3 50 "GO:0031966" "mitochondrial membrane" 0.871675894054785
-69 0.0649278841784246 3 38 "GO:0033267" "axon part" 0.43355354783837
-1 0.985941578066795 2 62 "GO:0043025;GO:0044297" "cell body" 0.985941578066795
-11 0.769120852615662 2 39 "GO:0043235" "receptor complex" 0.950352787551494
12 0.696129149277912 3 61 "GO:0044427" "chromosomal part" 0.919525403148451
-1 0.985342691955958 2 77 "GO:0044429" "mitochondrial part" 0.985941578066795
-41 0.0905404430489875 2 100 "GO:0044431" "Golgi apparatus part" 0.491505262265932
-26 0.289203335155225 3 93 "GO:0044433" "cytoplasmic vesicle part" 0.830495931888453
-6 0.836518200811319 3 57 "GO:0044437" "vacuolar part" 0.95061600296451
-61 0.064081152238884 2 50 "GO:0044441" "ciliary part" 0.43355354783837
-37 0.382465231790735 3 29 "GO:0044449" "contractile fiber part" 0.830495931888453
-4 0.866873885903581 4 92 "GO:0044451" "nucleoplasm part" 0.954817613459017
-11 0.773616488036867 2 34 "GO:0044454" "nuclear chromosome part" 0.950352787551494
-30 0.307830741737426 1 63 "GO:0044456" "synapse part" 0.830495931888453
-59 0.137970867479491 2 34 "GO:0045121" "membrane raft" 0.582543662691184
-14 0.686151077485117 1 46 "GO:0045202" "synapse" 0.919525403148451
1 0.983348890111746 2 27 "GO:0045211" "postsynaptic membrane" 0.985941578066795
-18 0.506851053639029 2 72 "GO:0048471" "perinuclear region of cytoplasm" 0.919525403148451
3 0.90686903100117 3 104 "GO:0070013;GO:0043233" "organelle lumen" 0.970733047268858
-19 0.607211546293886 2 37 "GO:0097060" "synaptic membrane" 0.919525403148451
-61 0.117106089775668 2 35 "GO:0098552" "side of membrane" 0.556253926434423
-36 0.187970769526549 3 77 "GO:0098590" "plasma membrane region" 0.680275165905606
-21 0.378224670759705 2 99 "GO:1902494" "catalytic complex" 0.830495931888453
-34 0.377265571144035 2 35 "GO:1990234" "transferase complex" 0.830495931888453
