"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 4 9 "GO:0000109" "nucleotide-excision repair complex" 1
0 1 2 5 "GO:0000110" "nucleotide-excision repair factor 1 complex" 1
0 1 5 27 "GO:0000118" "histone deacetylase complex" 1
0 1 4 6 "GO:0000120" "RNA polymerase I transcription factor complex" 1
0 0.0790906112883897 4 61 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 1 2 13 "GO:0000124" "SAGA complex" 1
0 1 3 5 "GO:0000137" "Golgi cis cisterna" 1
0 1 3 8 "GO:0000138" "Golgi trans cisterna" 1
0 1 2 516 "GO:0000139;GO:0044431" "Golgi apparatus part" 1
0 1 2 10 "GO:0000145" "exocyst" 1
0 1 3 214 "GO:0000151" "ubiquitin ligase complex" 1
0 1 4 22 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 2 15 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 1
0 1 2 7 "GO:0000164" "protein phosphatase type 1 complex" 1
0 1 2 7 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 1 3 7 "GO:0000177" "cytoplasmic exosome (RNase complex)" 1
0 1 2 12 "GO:0000178" "exosome (RNase complex)" 1
0 1 4 73 "GO:0000228" "nuclear chromosome" 1
0 1 3 18 "GO:0000242" "pericentriolar material" 1
0 1 2 7 "GO:0000243" "commitment complex" 1
0 1 3 21 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 5 12 "GO:0000322;GO:0000324" "storage vacuole" 1
0 1 2 7 "GO:0000329" "fungal-type vacuole membrane" 1
0 1 4 8 "GO:0000346" "transcription export complex" 1
0 1 3 16 "GO:0000407" "pre-autophagosomal structure" 1
0 1 2 13 "GO:0000421" "autophagic vacuole membrane" 1
0 1 2 20 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 1
0 1 2 5 "GO:0000439" "core TFIIH complex" 1
0 1 2 46 "GO:0000502" "proteasome complex" 1
0 1 4 40 "GO:0000775" "chromosome, centromeric region" 1
0 1 4 76 "GO:0000776" "kinetochore" 1
0 1 2 45 "GO:0000777" "condensed chromosome kinetochore" 1
0 1 5 11 "GO:0000779" "condensed chromosome, centromeric region" 1
0 1 2 7 "GO:0000780" "condensed nuclear chromosome, centromeric region" 1
0 1 4 73 "GO:0000781" "chromosome, telomeric region" 1
0 1 2 54 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 1 3 172 "GO:0000785" "chromatin" 1
0 1 4 10 "GO:0000786;GO:1990104" "nucleosome" 1
0 1 2 108 "GO:0000790" "nuclear chromatin" 1
