"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-7 0.550050594936455 2 15 "GO:0000030" "mannosyltransferase activity" 0.712461535385251
-77 0.981086184037675 3 30 "GO:0000049" "tRNA binding" 0.999999538847326
-7 0.622230471848585 2 91 "GO:0000287" "magnesium ion binding" 0.712461535385251
-7 0.678198374565448 7 196 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.746530704496476
-7 0.637778982960439 4 116 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.713464270340378
-7 0.550050594936455 2 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.712461535385251
-7 0.688092124838024 2 219 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.751740646385541
-7 0.575059858418604 4 34 "GO:0001046" "core promoter sequence-specific DNA binding" 0.712461535385251
-7 0.589056226389719 4 48 "GO:0001047" "core promoter binding" 0.712461535385251
-7 0.611087110542398 3 75 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.712461535385251
-7 0.644620069525859 2 128 "GO:0001077;GO:0000982;GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.716791273238678
-7 0.570543314497295 4 30 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.712461535385251
-7 0.576146543776851 2 35 "GO:0001085" "RNA polymerase II transcription factor binding" 0.712461535385251
-7 0.576146543776851 2 35 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.712461535385251
-7 0.559114830540755 2 21 "GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.712461535385251
-7 0.551672711606433 2 16 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.712461535385251
-7 0.596973332884093 3 57 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.712461535385251
-7 0.551672711606433 2 16 "GO:0001530" "lipopolysaccharide binding" 0.712461535385251
26 0.149828002700256 2 65 "GO:0001540" "beta-amyloid binding" 0.629565742115499
-7 0.55625721433092 2 19 "GO:0001591" "dopamine neurotransmitter receptor activity, coupled via Gi/Go" 0.712461535385251
-7 0.557703871828087 2 20 "GO:0001602;GO:0001601" "pancreatic polypeptide receptor activity" 0.712461535385251
-7 0.569367583138232 2 29 "GO:0001609;GO:0035586" "purinergic receptor activity" 0.712461535385251
-7 0.557703871828087 2 20 "GO:0001618" "virus receptor activity" 0.712461535385251
14 0.23821586508828 2 102 "GO:0001664" "G-protein coupled receptor binding" 0.712461535385251
21 0.178946896912854 2 76 "GO:0001786;GO:0072341" "modified amino acid binding" 0.685963104832607
-7 0.561839362994287 2 23 "GO:0001965" "G-protein alpha-subunit binding" 0.712461535385251
54 0.0579081118105094 3 35 "GO:0001968" "fibronectin binding" 0.389320690172194
22 0.173848033470074 2 74 "GO:0002020" "protease binding" 0.678317773450199
-7 0.576146543776851 2 35 "GO:0002039" "p53 binding" 0.712461535385251
3 0.40648165602384 2 217 "GO:0003682" "chromatin binding" 0.712461535385251
-7 0.569367583138232 3 29 "GO:0003684" "damaged DNA binding" 0.712461535385251
-7 0.596126637628083 2 56 "GO:0003690" "double-stranded DNA binding" 0.712461535385251
-7 0.577217699108573 2 36 "GO:0003697" "single-stranded DNA binding" 0.712461535385251
-7 0.717600102563308 2 296 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.782023054414378
-7 0.575059858418604 3 34 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.712461535385251
4 0.392146823406803 2 204 "GO:0003712;GO:0000989;GO:0000988" "protein binding transcription factor activity" 0.712461535385251
-7 0.626145734573138 2 97 "GO:0003713" "transcription coactivator activity" 0.712461535385251
33 0.11800809443909 2 54 "GO:0003714" "transcription corepressor activity" 0.572994858554248
-7 0.557703871828087 3 20 "GO:0003725" "double-stranded RNA binding" 0.712461535385251
75 0.0300738291332811 2 26 "GO:0003727" "single-stranded RNA binding" 0.29932242273755
-7 0.608865855839456 4 72 "GO:0003729;GO:0044822" "mRNA binding" 0.712461535385251
-7 0.560492588011592 2 22 "GO:0003730" "mRNA 3'-UTR binding" 0.712461535385251
-52 0.959332112240305 2 47 "GO:0003735" "structural constituent of ribosome" 0.999999538847326
-7 0.570543314497295 4 30 "GO:0003743;GO:0008135" "translation factor activity, nucleic acid binding" 0.712461535385251
-7 0.604276610746811 3 66 "GO:0003777;GO:0003774" "motor activity" 0.712461535385251
15 0.14830350551736 2 199 "GO:0003779" "actin binding" 0.629565742115499
57 0.0515065706187458 2 33 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.379423052673407
-31 0.921936650327814 2 89 "GO:0003924" "GTPase activity" 0.977879408236055
-7 0.557703871828087 2 20 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.712461535385251
117 0.00836301907783247 2 17 "GO:0003964" "RNA-directed DNA polymerase activity" 0.243642622467519
-7 0.564447689196832 2 25 "GO:0004003;GO:0003678" "DNA helicase activity" 0.712461535385251
-7 0.573956958658545 2 33 "GO:0004004;GO:0003724;GO:0008186" "ATP-dependent RNA helicase activity" 0.712461535385251
31 0.0229590990380439 5 172 "GO:0004175" "endopeptidase activity" 0.292957199068803
-7 0.553245095864696 2 17 "GO:0004177" "aminopeptidase activity" 0.712461535385251
-7 0.553245095864696 4 17 "GO:0004180" "carboxypeptidase activity" 0.712461535385251
66 0.0389976652954885 2 29 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.327730379502471
-7 0.571699512839105 2 31 "GO:0004197" "cysteine-type endopeptidase activity" 0.712461535385251
25 0.155320940648939 2 67 "GO:0004222" "metalloendopeptidase activity" 0.640332557203645
-7 0.608865855839456 2 72 "GO:0004386" "helicase activity" 0.712461535385251
-7 0.565712622643881 3 26 "GO:0004402" "histone acetyltransferase activity" 0.712461535385251
-7 0.570543314497295 3 30 "GO:0004497" "monooxygenase activity" 0.712461535385251
16 0.223441042931189 4 95 "GO:0004518" "nuclease activity" 0.712461535385251
