"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.756871288215245 2 358 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.993065828566612
0 0.718351583048298 7 238 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.993065828566612
0 0.773598368327337 3 531 "GO:0000981;GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.993065828566612
0 0.636359889252747 2 338 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.993065828566612
0 0.0900630569006936 2 397 "GO:0003682" "chromatin binding" 0.340953001124054
0 0.0232362279988859 4 277 "GO:0003779" "actin binding" 0.153940010492619
0 0.00995409784250087 3 226 "GO:0004175" "endopeptidase activity" 0.0753667408075066
0 0.460561004766429 2 324 "GO:0004674" "protein serine/threonine kinase activity" 0.851143716040688
0 0.885274672974577 2 353 "GO:0004842;GO:0019787;GO:0016881;GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.993065828566612
0 0.000946661036872181 3 408 "GO:0004888" "transmembrane signaling receptor activity" 0.0167243449847419
0 0.408381692998435 2 222 "GO:0004930" "G-protein coupled receptor activity" 0.851143716040688
0 0.119260306222576 1 201 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.371811542929208
0 0.00308290730382221 3 747 "GO:0005102" "receptor binding" 0.0272323478504295
0 0.00294249771313004 1 410 "GO:0005198" "structural molecule activity" 0.0272323478504295
0 0.989505082942478 3 223 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 0.993065828566612
0 1.95871947328446e-05 3 541 "GO:0005509" "calcium ion binding" 0.000726580683357512
0 0.957744212281319 5 221 "GO:0005525;GO:0032561;GO:0019001" "guanyl ribonucleotide binding" 0.993065828566612
0 0.377496007443761 2 323 "GO:0005543" "phospholipid binding" 0.833637016438306
0 0.560342225045109 2 327 "GO:0008047" "enzyme activator activity" 0.976596258873753
0 0.077334991196418 3 680 "GO:0008092" "cytoskeletal protein binding" 0.340953001124054
0 0.826791687496701 3 361 "GO:0008134" "transcription factor binding" 0.993065828566612
0 0.117524335554516 6 546 "GO:0008270" "zinc ion binding" 0.371811542929208
0 0.57121667971861 2 481 "GO:0008289" "lipid binding" 0.976596258873753
0 0.954855923105478 2 296 "GO:0008324;GO:0046873;GO:0022890" "cation transmembrane transporter activity" 0.993065828566612
0 0.984293627302752 4 475 "GO:0015075;GO:0022891;GO:0022857" "transmembrane transporter activity" 0.993065828566612
0 0.788789582653848 2 249 "GO:0015631" "tubulin binding" 0.993065828566612
0 0.185026370717185 4 566 "GO:0016301;GO:0004672;GO:0016773" "kinase activity" 0.489058432843876
0 0.991267582830178 2 516 "GO:0016491" "oxidoreductase activity" 0.993065828566612
0 0.230343698804269 3 691 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.553322112005376
0 0.190242460535755 2 455 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.489058432843876
0 0.924416197942754 2 415 "GO:0016874" "ligase activity" 0.993065828566612
0 0.911427754150204 2 265 "GO:0016887" "ATPase activity" 0.993065828566612
0 0.240120916530635 2 292 "GO:0017016;GO:0031267;GO:0051020" "GTPase binding" 0.553322112005376
0 0.979771308999951 3 505 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides" 0.993065828566612
0 0.193777869617385 2 466 "GO:0019901;GO:0019900" "kinase binding" 0.489058432843876
0 0.0461535062425257 3 513 "GO:0019904" "protein domain specific binding" 0.222375984623078
0 0.952436122683323 2 586 "GO:0022892;GO:0005215" "transporter activity" 0.993065828566612
0 0.796664663282236 1 593 "GO:0030234" "enzyme regulator activity" 0.993065828566612
0 0.792555121376089 3 238 "GO:0030695;GO:0060589" "nucleoside-triphosphatase regulator activity" 0.993065828566612
0 0.0383097767149275 3 232 "GO:0031625;GO:0044389" "small conjugating protein ligase binding" 0.203041816589116
0 0.151195934266106 3 577 "GO:0032403" "protein complex binding" 0.445188028672423
0 0.465720146512829 2 218 "GO:0035091" "phosphatidylinositol binding" 0.851143716040688
0 2.74181389946231e-05 2 590 "GO:0038023;GO:0004871;GO:0004872;GO:0060089" "receptor activity" 0.000726580683357512
0 0.0853674013830953 2 212 "GO:0042578" "phosphoric ester hydrolase activity" 0.340953001124054
0 0.10305273577538 2 591 "GO:0042803" "protein homodimerization activity" 0.364119666406343
0 0.977646957491054 2 551 "GO:0043565" "sequence-specific DNA binding" 0.993065828566612
0 0.911260186226152 5 445 "GO:0044212;GO:0000975;GO:0001067" "regulatory region nucleic acid binding" 0.993065828566612
0 0.459694949692255 3 730 "GO:0046914" "transition metal ion binding" 0.851143716040688
0 0.827322268647278 4 303 "GO:0046982" "protein heterodimerization activity" 0.993065828566612
0 0.451481071655991 3 846 "GO:0046983" "protein dimerization activity" 0.851143716040688
0 0.993065828566612 2 202 "GO:0048037" "cofactor binding" 0.993065828566612
0 0.001540740646924 2 276 "GO:0050839" "cell adhesion molecule binding" 0.020414813571743
0 0.0339546374619772 2 379 "GO:0070011;GO:0008233" "peptidase activity" 0.199955087276088
