"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.72730490753048 7 356 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.992934332320026
0 0.551966577876223 2 237 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 0.890268673993908
0 0.133112809650815 3 528 "GO:0000981;GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.478515373416969
0 0.350101302411794 2 334 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.662235191824839
0 0.796700907154123 2 392 "GO:0003682" "chromatin binding" 0.992934332320026
0 0.111623753404927 4 273 "GO:0003779" "actin binding" 0.478515373416969
0 0.210678662490975 5 225 "GO:0004175" "endopeptidase activity" 0.554417532870987
0 0.171482335379984 2 322 "GO:0004674" "protein serine/threonine kinase activity" 0.478515373416969
0 0.15591814005688 6 345 "GO:0004842;GO:0019787;GO:0016881;GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.478515373416969
0 0.952382595148702 2 402 "GO:0004888" "transmembrane signaling receptor activity" 0.997207536613423
0 0.996291410810441 3 219 "GO:0004930" "G-protein coupled receptor activity" 0.997207536613423
0 0.659969292724352 3 734 "GO:0005102" "receptor binding" 0.987462309819457
0 0.966366830535696 1 406 "GO:0005198" "structural molecule activity" 0.997207536613423
0 0.85682414304757 2 221 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 0.992934332320026
0 0.10883608450052 5 537 "GO:0005509" "calcium ion binding" 0.478515373416969
0 0.932044341945341 2 221 "GO:0005525;GO:0032561;GO:0019001" "guanyl ribonucleotide binding" 0.997207536613423
0 0.169895364861853 2 317 "GO:0005543" "phospholipid binding" 0.478515373416969
0 0.128704320286735 2 323 "GO:0008047" "enzyme activator activity" 0.478515373416969
0 0.0468235814063011 2 673 "GO:0008092" "cytoskeletal protein binding" 0.478515373416969
0 0.86737021403485 3 360 "GO:0008134" "transcription factor binding" 0.992934332320026
0 0.434261063493662 2 716 "GO:0008270;GO:0046914" "transition metal ion binding" 0.775466184810111
0 0.0372111162348868 2 472 "GO:0008289" "lipid binding" 0.478515373416969
0 0.69122361687362 2 295 "GO:0008324;GO:0046873;GO:0022890" "cation transmembrane transporter activity" 0.987462309819457
0 0.873782212441623 2 472 "GO:0015075;GO:0022891;GO:0022857" "transmembrane transporter activity" 0.992934332320026
0 0.0890335196614614 4 249 "GO:0015631" "tubulin binding" 0.478515373416969
0 0.0127397140154484 4 561 "GO:0016301;GO:0004672;GO:0016773" "kinase activity" 0.478515373416969
0 0.765055529916334 2 507 "GO:0016491" "oxidoreductase activity" 0.992934332320026
0 0.117424066612857 3 685 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.478515373416969
0 0.503917032888637 2 448 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.839861721481062
0 0.472905595659265 2 406 "GO:0016874" "ligase activity" 0.815354475274595
0 0.997207536613423 2 260 "GO:0016887" "ATPase activity" 0.997207536613423
0 0.0561497326803785 2 285 "GO:0017016;GO:0031267;GO:0051020" "GTPase binding" 0.478515373416969
0 0.990491216131902 5 499 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "pyrophosphatase activity" 0.997207536613423
0 0.671687065493725 5 459 "GO:0019901;GO:0019900" "kinase binding" 0.987462309819457
0 0.793230769259934 3 507 "GO:0019904" "protein domain specific binding" 0.992934332320026
0 0.860365170026866 2 581 "GO:0022892;GO:0005215" "transporter activity" 0.992934332320026
0 0.172265534430109 1 584 "GO:0030234" "enzyme regulator activity" 0.478515373416969
0 0.15331321407308 5 226 "GO:0031625;GO:0044389" "small conjugating protein ligase binding" 0.478515373416969
0 0.293454889936286 3 568 "GO:0032403" "protein complex binding" 0.662235191824839
0 0.295244774389483 4 215 "GO:0035091" "phosphatidylinositol binding" 0.662235191824839
0 0.676090922398587 2 581 "GO:0038023;GO:0004871;GO:0004872;GO:0060089" "receptor activity" 0.987462309819457
0 0.323268965243998 3 209 "GO:0042578" "phosphoric ester hydrolase activity" 0.662235191824839
0 0.231208201402147 2 580 "GO:0042803" "protein homodimerization activity" 0.578020503505367
0 0.777957408359541 3 549 "GO:0043565" "sequence-specific DNA binding" 0.992934332320026
0 0.332820394396208 3 442 "GO:0044212;GO:0000975;GO:0001067" "regulatory region nucleic acid binding" 0.662235191824839
0 0.0665111708658649 2 301 "GO:0046982" "protein heterodimerization activity" 0.478515373416969
0 0.324651887123563 3 834 "GO:0046983" "protein dimerization activity" 0.662235191824839
0 0.357607003585413 2 270 "GO:0050839" "cell adhesion molecule binding" 0.662235191824839
0 0.137419786411201 2 232 "GO:0060589" "nucleoside-triphosphatase regulator activity" 0.478515373416969
0 0.138952892531641 3 375 "GO:0070011;GO:0008233" "peptidase activity" 0.478515373416969
