"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.614117208097806 3 358 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.957300353799521
0 0.693669794832874 5 238 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 0.966543150064261
0 0.650342934590629 2 531 "GO:0000981;GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.966543150064261
0 0.217443434041617 2 338 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.768300133613713
0 0.0479958329255395 2 397 "GO:0003682" "chromatin binding" 0.423963190842266
0 0.170867479329815 2 277 "GO:0003779" "actin binding" 0.694951875898322
0 0.0900259620516159 5 226 "GO:0004175" "endopeptidase activity" 0.591388532752628
0 0.584628546322636 3 324 "GO:0004674" "protein serine/threonine kinase activity" 0.957300353799521
0 0.993965876973507 2 353 "GO:0004842;GO:0019787;GO:0016881;GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.994676314599704
0 0.000349952282325979 2 408 "GO:0004888" "transmembrane signaling receptor activity" 0.0106744941540775
0 0.474005343503589 2 222 "GO:0004930" "G-protein coupled receptor activity" 0.930454933544082
0 0.144453832458213 1 201 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.694951875898322
0 0.0797394631361082 2 747 "GO:0005102" "receptor binding" 0.591388532752628
0 0.100424467825918 1 410 "GO:0005198" "structural molecule activity" 0.591388532752628
0 0.973958971470811 3 223 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 0.994676314599704
0 0.00432522389917672 3 541 "GO:0005509" "calcium ion binding" 0.0764122888854554
0 0.991868340740963 3 221 "GO:0005525;GO:0032561;GO:0019001" "guanyl ribonucleotide binding" 0.994676314599704
0 0.695069294647428 3 323 "GO:0005543" "phospholipid binding" 0.966543150064261
0 0.264529196951595 2 327 "GO:0008047" "enzyme activator activity" 0.778891524357474
0 0.165430558335206 2 680 "GO:0008092" "cytoskeletal protein binding" 0.694951875898322
0 0.513917676229641 2 361 "GO:0008134" "transcription factor binding" 0.957300353799521
0 0.259147969228865 6 546 "GO:0008270" "zinc ion binding" 0.778891524357474
0 0.665691616392744 2 481 "GO:0008289" "lipid binding" 0.966543150064261
0 0.803738438959044 5 296 "GO:0008324;GO:0046873;GO:0022890" "cation transmembrane transporter activity" 0.994676314599704
0 0.956844783233522 4 475 "GO:0015075;GO:0022891;GO:0022857" "transmembrane transporter activity" 0.994676314599704
0 0.844815143447634 4 249 "GO:0015631" "tubulin binding" 0.994676314599704
0 0.130057267574071 4 566 "GO:0016301;GO:0004672;GO:0016773" "kinase activity" 0.689303518142576
0 0.936306159600442 2 516 "GO:0016491" "oxidoreductase activity" 0.994676314599704
0 0.248626552990315 3 691 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.778891524357474
0 0.572150354540113 2 455 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.957300353799521
0 0.980773089133549 2 415 "GO:0016874" "ligase activity" 0.994676314599704
0 0.976780865685895 3 265 "GO:0016887" "ATPase activity" 0.994676314599704
0 0.436876406134728 3 292 "GO:0017016;GO:0031267;GO:0051020" "GTPase binding" 0.930454933544082
0 0.994676314599704 4 505 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 0.994676314599704
0 0.612963706983861 2 466 "GO:0019901;GO:0019900" "kinase binding" 0.957300353799521
0 0.588632178917269 2 513 "GO:0019904" "protein domain specific binding" 0.957300353799521
0 0.805676163534037 2 586 "GO:0022892;GO:0005215" "transporter activity" 0.994676314599704
0 0.587744896531138 1 593 "GO:0030234" "enzyme regulator activity" 0.957300353799521
0 0.298177099372643 3 238 "GO:0030695;GO:0060589" "nucleoside-triphosphatase regulator activity" 0.831757171934215
0 0.391076135383419 5 232 "GO:0031625;GO:0044389" "small conjugating protein ligase binding" 0.930454933544082
0 0.356319254278644 2 577 "GO:0032403" "protein complex binding" 0.930454933544082
0 0.452119697991286 2 218 "GO:0035091" "phosphatidylinositol binding" 0.930454933544082
0 0.000402811100153867 2 590 "GO:0038023;GO:0004871;GO:0004872;GO:0060089" "receptor activity" 0.0106744941540775
0 0.4190876578606 3 212 "GO:0042578" "phosphoric ester hydrolase activity" 0.930454933544082
0 0.183572193633519 2 591 "GO:0042803" "protein homodimerization activity" 0.694951875898322
0 0.903905512761553 5 551 "GO:0043565" "sequence-specific DNA binding" 0.994676314599704
0 0.729466528350386 6 445 "GO:0044212;GO:0000975;GO:0001067" "regulatory region nucleic acid binding" 0.966543150064261
0 0.435595960006298 3 730 "GO:0046914" "transition metal ion binding" 0.930454933544082
0 0.726919421722228 2 303 "GO:0046982" "protein heterodimerization activity" 0.966543150064261
0 0.471992613504151 2 846 "GO:0046983" "protein dimerization activity" 0.930454933544082
0 0.985201357091795 2 202 "GO:0048037" "cofactor binding" 0.994676314599704
0 0.0338597125304626 2 276 "GO:0050839" "cell adhesion molecule binding" 0.358912952822904
0 0.0174537452113931 3 379 "GO:0070011;GO:0008233" "peptidase activity" 0.231262124050959
