"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.739150145398955 2 358 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.965230745912228
0 0.537630261659419 3 238 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 0.965230745912228
0 0.719580443049903 3 531 "GO:0000981;GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.965230745912228
0 0.551546830769471 2 338 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.965230745912228
0 0.492228475305658 2 397 "GO:0003682" "chromatin binding" 0.965230745912228
0 0.0113301276246942 4 277 "GO:0003779" "actin binding" 0.100082794018132
0 0.0890149858629258 2 226 "GO:0004175" "endopeptidase activity" 0.336985303623933
0 0.599717077951977 2 324 "GO:0004674" "protein serine/threonine kinase activity" 0.965230745912228
0 0.618462678473147 2 353 "GO:0004842;GO:0019787;GO:0016881;GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.965230745912228
0 0.0109059881476191 3 408 "GO:0004888" "transmembrane signaling receptor activity" 0.100082794018132
0 0.448046183147317 2 222 "GO:0004930" "G-protein coupled receptor activity" 0.965230745912228
0 0.217302212458425 1 201 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.606158803173501
0 0.149390409071377 2 747 "GO:0005102" "receptor binding" 0.494855730048936
0 0.0879704219551906 1 410 "GO:0005198" "structural molecule activity" 0.336985303623933
0 0.960061312847112 2 223 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 0.978524030401864
0 0.00555177646871736 3 541 "GO:0005509" "calcium ion binding" 0.073561038210505
0 0.442349168401915 3 221 "GO:0005525;GO:0032561;GO:0019001" "guanyl ribonucleotide binding" 0.965230745912228
0 0.799204503722737 2 323 "GO:0005543" "phospholipid binding" 0.965230745912228
0 0.884052184811023 2 327 "GO:0008047" "enzyme activator activity" 0.965230745912228
0 0.000291020924379625 3 680 "GO:0008092" "cytoskeletal protein binding" 0.0154241089921201
0 0.832291045917472 2 361 "GO:0008134" "transcription factor binding" 0.965230745912228
0 0.102696957200948 2 546 "GO:0008270" "zinc ion binding" 0.362862582110016
0 0.946348097735434 2 481 "GO:0008289" "lipid binding" 0.978524030401864
0 0.798557490306602 5 296 "GO:0008324;GO:0046873;GO:0022890" "cation transmembrane transporter activity" 0.965230745912228
0 0.84902578316578 2 475 "GO:0015075;GO:0022891;GO:0022857" "transmembrane transporter activity" 0.965230745912228
0 0.0157169713188728 2 249 "GO:0015631" "tubulin binding" 0.118999925700037
0 0.193613501866257 2 566 "GO:0016301;GO:0004672;GO:0016773" "kinase activity" 0.60361856464186
0 0.670414836105453 2 516 "GO:0016491" "oxidoreductase activity" 0.965230745912228
0 0.0440598512495658 3 691 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.233517211622699
0 0.91366231425103 3 455 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.968482053106092
0 0.757037448628758 2 415 "GO:0016874" "ligase activity" 0.965230745912228
0 0.870983784630428 2 265 "GO:0016887" "ATPase activity" 0.965230745912228
0 0.00493509609635867 3 292 "GO:0017016;GO:0031267;GO:0051020" "GTPase binding" 0.073561038210505
0 0.793175500762154 4 505 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 0.965230745912228
0 0.301632482742881 5 466 "GO:0019901;GO:0019900" "kinase binding" 0.761262932636795
0 0.478839127453104 2 513 "GO:0019904" "protein domain specific binding" 0.965230745912228
0 0.801745625867155 2 586 "GO:0022892;GO:0005215" "transporter activity" 0.965230745912228
0 0.595234502493625 1 593 "GO:0030234" "enzyme regulator activity" 0.965230745912228
0 0.875327615069321 2 238 "GO:0030695;GO:0060589" "nucleoside-triphosphatase regulator activity" 0.965230745912228
0 0.261204986627822 5 232 "GO:0031625;GO:0044389" "small conjugating protein ligase binding" 0.692193214563728
0 0.0235843171165247 3 577 "GO:0032403" "protein complex binding" 0.156246100896976
0 0.812061824116616 3 218 "GO:0035091" "phosphatidylinositol binding" 0.965230745912228
0 0.00416515816223323 2 590 "GO:0038023;GO:0004871;GO:0004872;GO:0060089" "receptor activity" 0.073561038210505
0 0.788892326100329 2 212 "GO:0042578" "phosphoric ester hydrolase activity" 0.965230745912228
0 0.0732866140714928 2 591 "GO:0042803" "protein homodimerization activity" 0.336985303623933
0 0.892383142447154 2 551 "GO:0043565" "sequence-specific DNA binding" 0.965230745912228
0 0.591078571563042 5 445 "GO:0044212;GO:0000975;GO:0001067" "regulatory region nucleic acid binding" 0.965230745912228
0 0.0856304206290846 2 730 "GO:0046914" "transition metal ion binding" 0.336985303623933
0 0.821092117213792 4 303 "GO:0046982" "protein heterodimerization activity" 0.965230745912228
0 0.216011642414889 3 846 "GO:0046983" "protein dimerization activity" 0.606158803173501
0 0.991893159947262 2 202 "GO:0048037" "cofactor binding" 0.991893159947262
0 0.0390558624690059 2 276 "GO:0050839" "cell adhesion molecule binding" 0.229995634539701
0 0.413905909878892 4 379 "GO:0070011;GO:0008233" "peptidase activity" 0.965230745912228
