"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
5 0.48632940150945 3 15 "GO:0000030" "mannosyltransferase activity" 0.746227942838044
-45 0.662859062932313 2 31 "GO:0000049" "tRNA binding" 0.955717242329931
338 0.0165167238236171 2 14 "GO:0000062" "fatty-acyl-CoA binding" 0.746227942838044
116 0.232077428202997 2 14 "GO:0000146;GO:0030898" "microfilament motor activity" 0.746227942838044
227 0.155814491327863 2 7 "GO:0000150" "recombinase activity" 0.746227942838044
-98 0.739290803598934 2 15 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.955717242329931
6 0.490323446446434 2 7 "GO:0000182" "rDNA binding" 0.746227942838044
264 0.138093589765254 3 6 "GO:0000293;GO:0016723;GO:0016722" "oxidoreductase activity, oxidizing metal ions" 0.746227942838044
164 0.20420067347356 2 9 "GO:0000339" "RNA cap binding" 0.746227942838044
227 0.0759803347899452 2 14 "GO:0000400;GO:0000217" "DNA secondary structure binding" 0.746227942838044
-306 0.976983221120541 8 15 "GO:0000979" "RNA polymerase II core promoter sequence-specific DNA binding" 0.993238763351344
6 0.488992764327248 2 9 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.746227942838044
-216 0.832859870956097 4 7 "GO:0000983" "RNA polymerase II core promoter sequence-specific DNA binding transcription factor activity" 0.955717242329931
161 0.196071598574292 3 10 "GO:0000993;GO:0043175" "RNA polymerase core enzyme binding" 0.746227942838044
-206 0.982383776766645 4 37 "GO:0001046" "core promoter sequence-specific DNA binding" 0.993238763351344
162 0.068514894735424 2 30 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.746227942838044
-37 0.647207360977446 4 37 "GO:0001085" "RNA polymerase II transcription factor binding" 0.951482112573779
6 0.490323446446434 2 7 "GO:0001091" "RNA polymerase II basal transcription factor binding" 0.746227942838044
6 0.491867058666543 3 5 "GO:0001094" "TFIID-class transcription factor binding" 0.746227942838044
109 0.238468910648818 2 15 "GO:0001099;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.746227942838044
-253 0.85234081495886 2 6 "GO:0001102" "RNA polymerase II activating transcription factor binding" 0.955717242329931
5 0.487933306540897 2 12 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.746227942838044
136 0.0859749509101445 2 36 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.746227942838044
5 0.48684279723593 2 14 "GO:0001105" "RNA polymerase II transcription coactivator activity" 0.746227942838044
5 0.489778816773541 3 9 "GO:0001106" "RNA polymerase II transcription corepressor activity" 0.746227942838044
227 0.155814491327863 2 7 "GO:0001135;GO:0001134" "transcription factor recruiting transcription factor activity" 0.746227942838044
6 0.491062105359757 4 6 "GO:0001164;GO:0001163;GO:0001013" "RNA polymerase I regulatory region sequence-specific DNA binding" 0.746227942838044
5 0.483159698825869 4 22 "GO:0001190" "RNA polymerase II transcription factor binding transcription factor activity involved in positive regulation of transcription" 0.746227942838044
5 0.485834184370577 2 16 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.746227942838044
6 0.491867058666543 2 5 "GO:0001206" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.746227942838044
6 0.488383946022843 3 10 "GO:0001221" "transcription cofactor binding" 0.746227942838044
-269 0.969265413115927 2 17 "GO:0001530" "lipopolysaccharide binding" 0.993238763351344
6 0.491867058666543 2 5 "GO:0001537" "N-acetylgalactosamine 4-O-sulfotransferase activity" 0.746227942838044
5 0.487376550128505 2 13 "GO:0001588" "dopamine neurotransmitter receptor activity, coupled via Gs" 0.746227942838044
74 0.28550705390207 4 21 "GO:0001591" "dopamine neurotransmitter receptor activity, coupled via Gi/Go" 0.746227942838044
-13 0.52290779767393 3 7 "GO:0001595" "angiotensin receptor activity" 0.779255175049236
147 0.123003520559787 3 22 "GO:0001602;GO:0001601" "pancreatic polypeptide receptor activity" 0.746227942838044
178 0.184381223006261 2 9 "GO:0001607;GO:0042924" "neuromedin U receptor activity" 0.746227942838044
53 0.312842571870889 2 30 "GO:0001609;GO:0035586" "purinergic receptor activity" 0.746227942838044
5 0.483575896426469 2 21 "GO:0001618" "virus receptor activity" 0.746227942838044
6 0.491062105359757 3 6 "GO:0001641;GO:0001640;GO:0008066" "glutamate receptor activity" 0.746227942838044
-107 0.756634746953851 2 15 "GO:0001671" "ATPase activator activity" 0.955717242329931
6 0.491062105359757 2 6 "GO:0001758" "retinal dehydrogenase activity" 0.746227942838044
116 0.23159506284752 2 14 "GO:0001784" "phosphotyrosine binding" 0.746227942838044
226 0.156349341198938 2 7 "GO:0001846;GO:0001848" "opsonin binding" 0.746227942838044
5 0.492921209948066 4 5 "GO:0001851" "complement component C3b binding" 0.746227942838044
68 0.284210994555334 2 25 "GO:0001965" "G-protein alpha-subunit binding" 0.746227942838044
88 0.182169114196033 2 38 "GO:0001968" "fibronectin binding" 0.746227942838044
139 0.0830936230575507 2 35 "GO:0002039" "p53 binding" 0.746227942838044
315 0.117313155646039 2 5 "GO:0002151" "G-quadruplex RNA binding" 0.746227942838044
6 0.490323446446434 2 7 "GO:0002161" "aminoacyl-tRNA editing activity" 0.746227942838044
5 0.487933306540897 3 12 "GO:0002162" "dystroglycan binding" 0.746227942838044
316 0.0462502031415942 2 10 "GO:0003680" "AT DNA binding" 0.746227942838044
-41 0.650318862289018 2 31 "GO:0003684" "damaged DNA binding" 0.954217869089463
625 0.00921996213855318 6 5 "GO:0003688" "DNA replication origin binding" 0.639530101065098
-438 0.974727022119606 2 7 "GO:0003691" "double-stranded telomeric DNA binding" 0.993238763351344
123 0.0963634302905324 3 40 "GO:0003697" "single-stranded DNA binding" 0.746227942838044
6 0.477423968247605 2 37 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.746227942838044
6 0.486212217921823 3 14 "GO:0003707" "steroid hormone receptor activity" 0.746227942838044
83 0.265824069726169 2 20 "GO:0003725" "double-stranded RNA binding" 0.746227942838044
121 0.145529320848913 2 27 "GO:0003727" "single-stranded RNA binding" 0.746227942838044
5 0.48275328460988 3 23 "GO:0003730" "mRNA 3'-UTR binding" 0.746227942838044
5 0.48275328460988 2 23 "GO:0003743" "translation initiation factor activity" 0.746227942838044
6 0.490323446446434 6 7 "GO:0003746" "translation elongation factor activity" 0.746227942838044
6 0.489636915496012 5 8 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.746227942838044
5 0.491214556558973 2 7 "GO:0003785" "actin monomer binding" 0.746227942838044
5 0.489227532195265 2 11 "GO:0003823" "antigen binding" 0.746227942838044
-253 0.85234081495886 3 6 "GO:0003831" "beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity" 0.955717242329931
227 0.155814491327863 5 7 "GO:0003841;GO:0042171;GO:0071617" "lysophospholipid acyltransferase activity" 0.746227942838044
9 0.465922798668751 2 36 "GO:0003887;GO:0034061" "DNA polymerase activity" 0.746227942838044
6 0.491062105359757 2 6 "GO:0003906" "DNA-(apurinic or apyrimidinic site) lyase activity" 0.746227942838044
