GO:0005813	GO:0048471	GO:0030424	GO:0005938	GO:0005789	GO:0030425	GO:0045202	GO:0045211	GO:0044432	GO:0044427	GO:0070013;GO:0043233;GO:0031974	GO:0031965	GO:0044456	GO:0098590	GO:0044441	GO:0030529	GO:0016607	GO:0005765	GO:0005769	GO:0005774;GO:0044437	GO:0000139;GO:0044431	GO:0031410	GO:0005912;GO:0070161	GO:0005694	GO:0016604	GO:0005874	GO:0030054	GO:0005730	GO:0016324	GO:0005911	GO:0044454	GO:0005743;GO:0019866	GO:0009986	GO:0070062;GO:0065010;GO:0043230	GO:0033267	GO:0016023	GO:0005768	GO:0045121	GO:0044429	GO:0044451	GO:0031301	GO:0030135	GO:0005929	GO:0030659;GO:0012506;GO:0044433	GO:1902494	GO:0000151	GO:0005773;GO:0005764;GO:0000323	GO:0005576	GO:0005667	GO:0005622	GO:1990234	GO:0014069	GO:0000785	GO:0097060	GO:0005615	GO:0005815	GO:0031966	GO:0005887	GO:0031253	GO:0044463	GO:0043005	GO:0010008;GO:0044440	GO:0044297;GO:0043025
0	0.890	0.949	0.889	0.979	0.948	0.938	0.980	0.977	0.836	0.972	0.903	0.951	0.949	0.727	0.982	0.958	0.991	0.953	0.988	0.964	0.885	0.916	0.898	0.936	0.721	0.872	0.926	0.960	0.891	0.924	0.994	0.984	0.938	0.961	0.944	0.913	0.963	0.977	0.910	1.000	0.956	0.772	0.936	0.862	0.923	0.969	0.979	0.963	0.931	0.968	0.953	0.942	0.978	0.979	0.000	0.992	0.992	0.941	0.715	0.897	0.965	0.926
0.890	0	0.791	0.798	0.879	0.752	0.810	0.811	0.855	0.940	0.956	0.890	0.800	0.860	0.953	0.948	0.938	0.867	0.834	0.890	0.813	0.718	0.822	0.946	0.877	0.909	0.708	0.915	0.820	0.749	0.962	0.972	0.866	0.843	0.776	0.780	0.776	0.730	0.940	0.857	0.924	0.730	0.953	0.812	0.901	0.876	0.878	0.887	0.944	0.901	0.964	0.720	0.959	0.801	0.909	0.891	0.952	0.879	0.861	0.748	0.661	0.837	0.765
0.949	0.791	0	0.870	0.914	0.495	0.596	0.632	0.896	0.968	0.939	0.932	0.583	0.807	0.964	0.968	0.979	0.940	0.798	0.931	0.848	0.709	0.862	0.972	0.896	0.854	0.543	0.955	0.824	0.810	0.986	0.972	0.757	0.845	0.474	0.826	0.754	0.735	0.955	0.888	0.895	0.814	0.963	0.821	0.925	0.934	0.909	0.834	0.986	0.824	0.986	0.614	0.979	0.621	0.877	0.930	0.963	0.663	0.826	0.425	0.000	0.886	0.583
0.889	0.798	0.870	0	0.957	0.885	0.817	0.915	0.942	0.918	0.957	0.957	0.798	0.856	0.976	0.976	0.986	0.971	0.952	0.962	0.880	0.760	0.856	0.942	0.957	0.928	0.505	0.894	0.899	0.851	0.986	0.990	0.875	0.764	0.885	0.837	0.918	0.947	0.986	0.933	0.995	0.962	0.971	0.913	0.942	0.966	0.957	0.678	0.995	0.923	0.986	0.861	0.986	0.904	0.827	0.875	0.986	0.909	0.846	0.663	0.707	0.962	0.856
0.979	0.879	0.914	0.957	0	0.904	0.926	0.930	0.000	0.989	0.948	0.806	0.918	0.919	0.964	0.983	0.979	0.884	0.905	0.887	0.773	0.819	0.967	0.992	0.972	0.958	0.923	0.973	0.923	0.932	0.990	0.946	0.915	0.953	0.901	0.882	0.878	0.865	0.916	0.975	0.552	0.889	0.953	0.844	0.909	0.950	0.924	0.941	0.986	0.950	0.921	0.924	0.984	0.924	0.959	0.967	0.899	0.921	0.909	0.899	0.888	0.869	0.891
0.948	0.752	0.495	0.885	0.904	0	0.496	0.478	0.884	0.953	0.951	0.920	0.499	0.783	0.947	0.948	0.958	0.897	0.810	0.919	0.873	0.695	0.865	0.972	0.897	0.895	0.491	0.938	0.787	0.807	0.976	0.981	0.784	0.863	0.504	0.809	0.752	0.749	0.964	0.879	0.929	0.770	0.930	0.804	0.912	0.923	0.897	0.897	0.991	0.817	0.975	0.517	0.979	0.491	0.897	0.938	0.969	0.690	0.798	0.455	0.000	0.880	0.447
0.938	0.810	0.596	0.817	0.926	0.496	0	0.134	0.887	0.981	0.934	0.928	0.343	0.740	0.926	0.973	0.958	0.876	0.802	0.882	0.858	0.634	0.789	0.972	0.936	0.951	0.302	0.957	0.724	0.707	0.986	0.968	0.748	0.823	0.414	0.753	0.777	0.693	0.960	0.928	0.843	0.655	0.918	0.753	0.934	0.907	0.880	0.851	0.991	0.843	0.986	0.343	0.988	0.191	0.886	0.934	0.952	0.751	0.735	0.540	0.404	0.875	0.614
0.980	0.811	0.632	0.915	0.930	0.478	0.134	0	0.881	0.960	0.960	0.965	0.000	0.652	0.970	0.965	0.985	0.985	0.905	0.985	0.871	0.756	0.871	0.970	0.905	0.995	0.169	0.975	0.791	0.766	0.980	0.995	0.826	0.856	0.642	0.866	0.821	0.806	0.970	0.900	0.965	0.925	0.975	0.851	0.910	0.920	0.900	0.910	1.000	0.736	1.000	0.413	0.990	0.000	0.900	0.960	0.980	0.642	0.766	0.363	0.244	0.945	0.607
0.977	0.855	0.896	0.942	0.000	0.884	0.887	0.881	0	0.987	0.673	0.781	0.869	0.900	0.958	0.977	0.976	0.867	0.874	0.861	0.700	0.805	0.916	0.992	0.968	0.958	0.902	0.970	0.908	0.913	0.986	0.940	0.807	0.872	0.875	0.797	0.865	0.809	0.900	0.976	0.476	0.827	0.948	0.778	0.913	0.931	0.890	0.840	0.986	0.933	0.914	0.881	0.979	0.881	0.817	0.963	0.890	0.892	0.906	0.903	0.886	0.861	0.869
0.836	0.940	0.968	0.918	0.989	0.953	0.981	0.960	0.987	0	0.980	0.810	0.969	0.983	0.985	0.935	0.851	0.987	0.992	0.988	0.984	0.974	0.945	0.394	0.803	0.861	0.940	0.826	0.982	0.965	0.000	0.978	0.997	0.982	0.935	0.985	0.980	0.981	0.982	0.676	0.976	0.991	0.988	0.987	0.766	0.900	0.988	0.984	0.772	0.958	0.785	0.962	0.000	0.971	0.982	0.867	0.988	1.000	0.983	0.936	0.923	0.995	0.953
