GO:0008237	GO:0016763	GO:0003713	GO:0016811	GO:0050660	GO:0051082	GO:0043565	GO:0042393	GO:0072341;GO:0001786	GO:0004725	GO:0044325	GO:0050839	GO:0004386	GO:0003678	GO:0051213	GO:0017022	GO:0015459	GO:0008188;GO:0008528;GO:0001653	GO:0030165	GO:0003779	GO:0043021	GO:0005543	GO:0004521	GO:0008026;GO:0070035	GO:0048029	GO:0018024;GO:0016279;GO:0042054;GO:0016278	GO:0003924	GO:0015081	GO:0051087	GO:0002039	GO:0004674	GO:0016791;GO:0042578	GO:0015103	GO:0043394;GO:0001948	GO:0051219	GO:0000981	GO:0003729;GO:0044822	GO:0003690	GO:0016597	GO:0005126	GO:0016835	GO:0019888	GO:0004843;GO:0019783;GO:0036459	GO:0051393;GO:0042805	GO:0016491	GO:0008194	GO:0016757	GO:0044212;GO:0000975;GO:0001067	GO:0070011;GO:0008233	GO:0003682	GO:0015171;GO:0046943;GO:0005342	GO:0008276;GO:0008170	GO:0002020	GO:0005506	GO:0001540	GO:0001046	GO:0015276;GO:0022834	GO:0005216;GO:0022838;GO:0015267;GO:0022803;GO:0005261	GO:0043621	GO:0008238	GO:0005200	GO:0008270	GO:0004175	GO:0046332	GO:0016705	GO:0043178	GO:0052689	GO:0000982;GO:0001077;GO:0001228	GO:0005178	GO:0019209	GO:0035254	GO:0004714;GO:0019199	GO:0043236;GO:0050840	GO:0004601;GO:0016209;GO:0016684	GO:0008144	GO:0043130;GO:0032182	GO:0047485	GO:0008236;GO:0017171;GO:0004252	GO:0016874	GO:0016810	GO:0004871;GO:0060089	GO:0016747;GO:0016746	GO:0008047	GO:0045502	GO:0042562	GO:0016779	GO:0003712;GO:0000989;GO:0000988	GO:0005547	GO:0005546	GO:0019904	GO:0097110	GO:0015079;GO:0005249;GO:0005267	GO:0008094	GO:0003735	GO:1902936	GO:0004497	GO:0005057	GO:0042803	GO:0003727	GO:0000977;GO:0000976;GO:0001012	GO:0005262;GO:0015085	GO:0008083	GO:0035258	GO:0004004;GO:0003724;GO:0008186	GO:0019905;GO:0000149	GO:0001076	GO:0008080;GO:0016410	GO:0019894	GO:0070851	GO:0005509	GO:0030246	GO:0031072	GO:0019902	GO:0022892;GO:0005215	GO:0008201;GO:0005539;GO:1901681	GO:1901981	GO:0031406;GO:0043177	GO:0017124	GO:0004222	GO:0016853	GO:0016788	GO:0004402	GO:0035091	GO:0016247	GO:0003777;GO:0003774	GO:0004860;GO:0019210	GO:0051117	GO:0005198	GO:0016651	GO:0031625;GO:0044389	GO:0008757	GO:0004857	GO:0030594	GO:0004872	GO:0015293	GO:0043566	GO:0004672;GO:0016301;GO:0016773	GO:0008514	GO:0030276	GO:0051015	GO:0008017	GO:0004930	GO:0000287	GO:0017147	GO:0017137	GO:0016758	GO:0004713	GO:0008324;GO:0046873;GO:0022890	GO:0030234	GO:0005088;GO:0005085	GO:0019208	GO:0016817;GO:0017111;GO:0016462;GO:0016818	GO:0022836	GO:0015485;GO:0032934;GO:0005496	GO:0016772	GO:0008234	GO:0019838	GO:0008135	GO:0003714	GO:0016616;GO:0016614	GO:0051536;GO:0051540	GO:0004197	GO:0005089	GO:0016741;GO:0008168	GO:0032403	GO:0015075;GO:0022891;GO:0022857	GO:0048306	GO:0015291	GO:0008307	GO:0001047	GO:0016829	GO:0005518	GO:0016504	GO:0004888;GO:0038023	GO:0042826	GO:0008092	GO:0008227	GO:0001968	GO:0022843;GO:0005244;GO:0022832	GO:0003700;GO:0001071	GO:0001227	GO:0004540	GO:0003684	GO:0004553	GO:0061134	GO:0004721	GO:0000978;GO:0000987;GO:0001159	GO:0008134	GO:0005516	GO:0072509	GO:0020037;GO:0046906	GO:0004866;GO:0030414;GO:0061135	GO:0016407	GO:0042623	GO:0015631	GO:0005319	GO:0032947	GO:0008022	GO:0004536	GO:0004527	GO:0001085	GO:0035591	GO:0000049	GO:0001664	GO:0008289	GO:0019842	GO:0051020;GO:0031267;GO:0017016	GO:0046982	GO:0015077	GO:0030545	GO:0003697	GO:0042277;GO:0033218	GO:0045296	GO:0008509	GO:0032266	GO:0017134	GO:0019901;GO:0019900	GO:0016706	GO:0019887;GO:0019207	GO:0019955	GO:0004867	GO:0016298	GO:0016798	GO:0004519	GO:0048037;GO:0050662	GO:0022804	GO:0019903	GO:0003730	GO:0019787;GO:0016881;GO:0016879;GO:0004842	GO:0060589;GO:0005096;GO:0030695	GO:0035257;GO:0051427	GO:0016887	GO:0005525;GO:0032561;GO:0019001	GO:0005044;GO:0038024	GO:0003705	GO:0001078	GO:0017048	GO:0004969;GO:0004935	GO:0001104	GO:0005201	GO:0004518	GO:0030674;GO:0060090
0	1.000	0.987	0.917	1.000	0.951	0.981	0.994	0.945	0.912	1.000	0.880	1.000	1.000	1.000	1.000	1.000	1.000	0.949	0.962	1.000	0.956	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.956	0.956	1.000	0.986	1.000	0.975	0.994	1.000	0.956	0.952	1.000	1.000	0.938	0.929	0.924	1.000	1.000	0.981	0.000	1.000	1.000	1.000	0.941	1.000	0.979	1.000	1.000	1.000	0.929	0.324	1.000	0.323	0.335	1.000	1.000	1.000	1.000	1.000	0.924	1.000	0.934	0.846	0.958	0.882	0.723	0.991	1.000	0.618	1.000	0.945	0.829	1.000	0.823	1.000	0.966	1.000	0.968	1.000	1.000	0.924	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.753	1.000	0.981	1.000	0.879	1.000	1.000	1.000	1.000	1.000	1.000	0.905	0.665	0.905	0.991	0.924	0.861	0.772	1.000	0.956	0.948	0.000	1.000	0.949	1.000	0.987	0.934	1.000	1.000	1.000	0.924	1.000	1.000	1.000	0.943	1.000	0.696	1.000	1.000	0.873	1.000	1.000	0.962	1.000	0.987	0.993	0.962	1.000	1.000	0.880	1.000	0.759	0.962	1.000	0.975	1.000	1.000	0.873	0.950	0.924	1.000	0.972	1.000	1.000	1.000	0.932	0.987	0.741	1.000	0.912	1.000	0.900	1.000	0.993	0.786	0.540	0.829	1.000	0.937	1.000	1.000	1.000	0.975	0.971	1.000	1.000	1.000	0.776	0.952	1.000	1.000	0.943	1.000	0.721	0.899	1.000	0.987	0.975	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.924	0.723	0.962	1.000	1.000	0.893	1.000	0.930	0.943	1.000	1.000	1.000	0.924	1.000	1.000	0.947	0.879	1.000	1.000	0.947	1.000	1.000	0.947	1.000	1.000	0.981	1.000	0.981	0.994	0.624	1.000	1.000	0.937	1.000	1.000	0.896	0.956	1.000
1.000	0	1.000	0.950	1.000	1.000	0.656	0.766	1.000	1.000	0.781	0.688	0.984	0.980	1.000	1.000	0.812	1.000	0.891	0.922	1.000	1.000	1.000	1.000	1.000	0.969	1.000	1.000	1.000	0.968	0.766	0.969	1.000	0.984	1.000	0.984	0.969	0.984	1.000	0.891	1.000	0.877	1.000	1.000	0.953	0.875	0.000	0.672	1.000	0.844	1.000	0.969	1.000	1.000	1.000	0.984	0.891	0.891	0.922	1.000	0.781	0.609	1.000	0.984	1.000	1.000	1.000	0.984	0.984	0.982	0.918	1.000	1.000	0.953	0.984	0.969	0.984	1.000	0.859	0.953	0.797	1.000	0.797	1.000	1.000	1.000	0.969	1.000	1.000	0.734	0.912	1.000	1.000	1.000	1.000	1.000	1.000	0.922	1.000	0.938	0.891	0.983	0.984	1.000	0.891	0.984	1.000	1.000	1.000	0.891	1.000	1.000	0.891	0.891	1.000	1.000	1.000	0.906	1.000	1.000	0.969	1.000	1.000	0.812	1.000	0.875	0.766	0.781	1.000	0.797	0.969	0.797	1.000	1.000	1.000	0.984	0.766	1.000	1.000	1.000	1.000	1.000	0.969	1.000	0.922	0.891	0.969	0.891	0.750	0.922	0.812	0.984	0.891	1.000	0.766	1.000	1.000	1.000	0.984	1.000	0.981	1.000	1.000	0.969	0.969	0.891	1.000	1.000	1.000	0.984	0.984	1.000	1.000	1.000	0.953	0.734	1.000	1.000	1.000	0.797	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.734	0.891	0.891	0.953	1.000	1.000	1.000	1.000	1.000	0.922	0.812	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.922	0.859	1.000	1.000	1.000	1.000	0.703	1.000	1.000	1.000	0.719	1.000	0.750	1.000	1.000	1.000	0.984	1.000	0.906	1.000	1.000	0.964	0.906	0.922	0.984	1.000	0.891	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.734
0.987	1.000	0	0.983	0.984	0.984	0.663	0.838	1.000	1.000	0.990	0.970	0.944	0.941	0.977	0.988	1.000	1.000	1.000	0.995	0.964	1.000	0.981	0.951	1.000	0.910	1.000	1.000	0.970	0.758	0.955	0.990	1.000	1.000	0.959	0.739	0.950	0.904	1.000	1.000	0.962	1.000	0.926	0.988	0.970	1.000	1.000	0.668	0.965	0.719	1.000	0.925	1.000	1.000	1.000	0.803	0.989	0.995	1.000	1.000	0.988	0.859	0.990	0.928	0.992	0.990	1.000	0.849	0.979	0.982	1.000	1.000	1.000	0.988	0.991	0.915	0.910	0.992	0.960	0.989	0.960	0.910	0.985	1.000	1.000	1.000	0.000	1.000	1.000	0.905	0.982	1.000	0.892	1.000	1.000	1.000	1.000	0.910	0.955	0.739	1.000	0.948	0.656	0.946	0.981	0.552	0.760	1.000	0.968	0.995	1.000	0.991	0.995	0.980	0.990	1.000	0.985	1.000	0.990	0.980	0.990	0.640	1.000	1.000	1.000	1.000	0.988	0.975	1.000	0.945	0.947	0.990	1.000	0.920	1.000	0.919	0.955	1.000	1.000	0.994	0.995	1.000	0.993	1.000	1.000	1.000	1.000	0.985	0.975	1.000	1.000	0.960	0.994	0.958	0.955	0.950	1.000	1.000	0.804	1.000	1.000	0.981	1.000	0.961	0.950	0.985	0.895	1.000	1.000	0.814	0.985	1.000	0.980	0.975	0.913	0.985	1.000	1.000	1.000	0.638	0.865	0.988	0.943	1.000	0.979	1.000	0.819	0.553	0.990	0.986	1.000	0.980	0.811	0.957	0.995	1.000	0.966	0.964	0.980	0.985	0.747	1.000	1.000	1.000	0.980	0.991	1.000	0.844	1.000	0.964	0.957	0.980	0.985	1.000	1.000	1.000	0.965	1.000	0.993	0.982	1.000	1.000	1.000	0.992	0.995	1.000	0.991	0.945	0.960	1.000	0.642	0.960	1.000	1.000	0.855	0.804	1.000	1.000	0.325	1.000	0.995	0.988
0.917	0.950	0.983	0	1.000	1.000	0.850	0.933	1.000	1.000	1.000	1.000	0.983	0.980	1.000	1.000	1.000	1.000	1.000	0.967	1.000	0.967	1.000	0.983	1.000	1.000	1.000	1.000	1.000	0.983	1.000	1.000	1.000	1.000	1.000	0.983	1.000	1.000	1.000	1.000	1.000	1.000	0.983	1.000	0.967	1.000	0.950	0.817	0.883	0.800	1.000	1.000	1.000	0.983	1.000	0.967	1.000	1.000	0.983	0.950	1.000	0.767	1.000	1.000	0.983	1.000	0.983	0.983	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	0.967	0.967	0.000	0.983	1.000	1.000	1.000	1.000	1.000	0.867	1.000	1.000	0.983	1.000	1.000	0.983	1.000	1.000	0.981	1.000	0.983	1.000	0.917	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.983	0.933	1.000	1.000	1.000	0.983	1.000	1.000	1.000	1.000	0.967	1.000	0.967	1.000	1.000	1.000	0.983	1.000	0.982	0.950	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.983	1.000	1.000	1.000	0.983	1.000	1.000	0.917	1.000	1.000	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	0.900	0.983	1.000	1.000	1.000	0.867	0.967	1.000	1.000	1.000	0.933	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	1.000	0.983	0.967	1.000	1.000	0.983	1.000	1.000	0.933	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.980	1.000	0.950	1.000	1.000	1.000	1.000	0.983	1.000	1.000	0.883	1.000	1.000	1.000	0.967	1.000	0.983	0.983	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.984	1.000	0	1.000	0.984	0.967	0.934	1.000	0.934	0.967	1.000	1.000	0.984	1.000	1.000	1.000	0.934	0.951	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	0.869	1.000	1.000	1.000	1.000	0.984	0.033	1.000	1.000	0.984	1.000	0.984	1.000	1.000	1.000	0.869	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	0.803	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	0.934	0.930	1.000	1.000	1.000	1.000	0.788	1.000	0.885	1.000	1.000	1.000	0.983	0.984	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	0.836	1.000	1.000	1.000	1.000	1.000	1.000	0.934	1.000	0.967	0.984	0.967	0.825	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.869	0.868	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	0.918	1.000	1.000	1.000	0.984	1.000	1.000	0.981	1.000	1.000	1.000	1.000	0.984	0.934	1.000	0.885	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	0.965	1.000	0.967	0.934	0.984	1.000	1.000	1.000	1.000	0.984	0.967	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.951	1.000	0.984	1.000	1.000	0	0.984	0.984	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.770	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984	0.984	0.984	0.951	0.984	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	0.951	0.951	1.000	1.000	0.984	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.984	0.885	0.984	1.000	0.869	1.000	0.984	1.000	0.902	1.000	1.000	1.000	0.934	1.000	1.000	0.951	0.965	1.000	1.000	1.000	1.000	1.000	1.000	0.934	1.000	0.984	1.000	1.000	1.000	1.000	1.000	0.951	1.000	0.962	1.000	1.000	1.000	0.803	0.918	1.000	0.967	1.000	1.000	1.000	0.951	0.984	0.984	1.000	1.000	1.000	1.000	0.984	0.918	0.984	1.000	0.885	1.000	0.934	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	1.000	0.984	1.000	1.000	0.984	0.967	1.000	0.787	1.000	1.000	0.918	1.000	0.984	0.967	1.000	1.000	1.000	0.951	1.000	1.000	1.000	1.000	1.000	0.967	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	0.984	0.902	1.000	1.000	1.000	0.984	1.000	1.000	1.000	1.000	0.951	1.000	0.984	0.967	1.000	1.000	1.000	0.951	1.000	0.967	0.984	1.000	1.000	0.984	0.980	1.000	1.000	1.000	1.000	0.984	0.984	1.000	1.000	1.000	1.000	1.000	1.000	0.984	0.967	1.000	1.000	1.000	0.934	1.000	0.951	1.000	1.000	1.000	1.000	0.984	1.000	1.000	1.000	0.982	0.869	0.885	1.000	0.918	1.000	1.000	1.000	1.000	1.000	1.000	0.951	1.000	0.984	1.000
0.981	0.656	0.663	0.850	0.984	0.984	0	0.721	0.976	1.000	0.856	0.953	0.798	0.706	0.884	0.988	0.800	1.000	0.924	0.963	0.855	0.967	0.904	0.805	1.000	0.597	0.993	1.000	0.955	0.710	0.909	0.987	1.000	1.000	0.932	0.163	0.882	0.490	0.977	0.896	0.904	0.860	1.000	0.964	0.971	1.000	0.888	0.129	0.990	0.545	1.000	0.699	0.960	0.946	1.000	0.000	0.920	0.955	0.878	0.956	0.833	0.869	1.000	0.723	0.950	0.980	1.000	0.048	0.958	0.909	0.918	0.959	1.000	0.988	1.000	0.953	0.860	0.976	0.929	0.879	0.914	0.886	0.941	1.000	1.000	0.982	0.619	1.000	1.000	0.844	0.895	0.987	0.769	1.000	0.958	1.000	0.931	0.876	0.864	0.003	0.938	1.000	0.656	0.857	0.933	0.448	0.813	1.000	1.000	0.976	1.000	0.806	0.915	0.980	0.950	0.972	0.966	0.928	1.000	0.990	0.964	0.720	0.971	0.882	0.991	0.831	0.843	0.956	0.965	0.862	0.779	0.872	1.000	0.946	1.000	0.490	0.928	1.000	1.000	0.994	1.000	1.000	0.959	1.000	0.962	1.000	0.973	0.975	0.929	0.981	0.818	0.939	0.955	0.944	0.924	1.000	0.963	1.000	0.626	1.000	0.981	1.000	1.000	0.833	0.945	0.978	0.982	1.000	1.000	0.078	0.963	0.932	0.940	0.955	0.522	0.953	1.000	1.000	0.990	0.253	0.048	0.902	0.774	0.980	0.958	1.000	0.000	0.518	0.932	0.949	1.000	0.960	0.842	0.892	0.989	0.984	0.931	0.838	0.824	0.926	0.373	1.000	1.000	0.981	0.968	0.982	0.985	0.722	0.993	0.982	0.614	0.956	0.945	1.000	1.000	1.000	0.886	0.902	0.863	0.947	1.000	1.000	0.971	0.908	0.976	1.000	0.947	0.873	0.923	0.976	0.651	0.912	0.944	1.000	0.087	0.054	1.000	1.000	0.584	0.974	0.918	0.855
0.994	0.766	0.838	0.933	0.967	0.984	0.721	0	1.000	1.000	0.913	0.948	0.911	0.902	0.930	1.000	0.892	1.000	1.000	1.000	0.976	0.942	1.000	0.963	1.000	0.851	1.000	1.000	1.000	0.742	0.864	0.987	1.000	1.000	0.959	0.942	0.961	0.952	0.994	0.944	1.000	0.877	0.963	1.000	0.955	1.000	0.903	0.721	0.981	0.532	1.000	0.892	1.000	0.991	0.990	0.761	1.000	1.000	0.980	1.000	0.917	0.721	0.994	0.988	0.967	1.000	1.000	0.981	0.993	0.964	1.000	1.000	1.000	1.000	0.991	0.953	0.940	1.000	0.890	0.934	0.942	0.883	0.922	0.961	1.000	1.000	0.656	1.000	1.000	0.896	1.000	1.000	0.877	1.000	0.950	1.000	1.000	0.942	0.939	0.799	1.000	1.000	0.828	1.000	0.981	0.873	0.800	1.000	1.000	0.955	1.000	0.972	0.955	0.987	0.981	0.955	0.994	0.990	1.000	0.980	0.987	0.700	0.942	0.949	1.000	0.877	0.880	0.955	1.000	0.890	0.916	0.916	1.000	0.994	1.000	0.929	0.857	1.000	1.000	1.000	0.955	1.000	0.986	1.000	1.000	1.000	0.994	1.000	0.877	0.987	0.909	0.903	1.000	1.000	0.857	0.970	1.000	1.000	0.794	1.000	1.000	0.981	1.000	0.922	0.779	0.994	1.000	1.000	1.000	0.833	1.000	1.000	0.980	0.994	0.899	0.877	1.000	1.000	1.000	0.818	0.971	1.000	0.962	1.000	0.965	1.000	0.955	0.812	1.000	1.000	1.000	0.960	0.842	0.942	0.948	1.000	1.000	0.929	1.000	1.000	0.976	1.000	1.000	1.000	0.942	1.000	0.961	0.929	1.000	1.000	1.000	0.994	0.955	1.000	0.980	1.000	0.909	0.934	0.935	1.000	1.000	1.000	1.000	1.000	0.974	0.993	1.000	0.927	0.890	0.994	0.877	0.916	0.968	1.000	0.986	0.982	0.979	1.000	0.922	1.000	1.000	0.909
0.945	1.000	1.000	1.000	0.934	1.000	0.976	1.000	0	1.000	1.000	0.496	1.000	1.000	0.988	1.000	1.000	0.987	0.975	0.795	1.000	0.173	1.000	1.000	1.000	1.000	0.992	1.000	1.000	1.000	0.850	1.000	1.000	0.732	1.000	0.976	0.992	0.990	0.000	0.848	0.981	1.000	1.000	0.774	0.598	1.000	1.000	0.976	0.835	0.913	1.000	1.000	0.812	1.000	1.000	1.000	0.966	0.969	0.806	0.926	0.750	0.890	0.874	1.000	1.000	0.843	0.985	1.000	0.535	0.982	1.000	0.642	0.569	0.776	0.991	1.000	1.000	0.976	0.945	1.000	0.606	1.000	0.882	1.000	1.000	1.000	0.976	0.898	0.575	0.764	1.000	1.000	1.000	1.000	0.739	1.000	1.000	0.764	0.985	0.976	0.964	1.000	1.000	1.000	0.788	1.000	1.000	1.000	1.000	0.472	0.819	1.000	0.850	0.953	0.598	0.732	0.000	0.969	0.981	0.941	0.843	1.000	0.701	0.984	1.000	1.000	1.000	0.709	0.982	0.890	1.000	0.874	0.992	0.567	1.000	0.992	0.654	1.000	0.662	0.795	1.000	0.961	0.984	1.000	0.992	1.000	0.654	0.969	0.756	0.843	1.000	0.992	0.976	0.944	0.654	1.000	0.677	1.000	0.972	1.000	1.000	1.000	0.784	0.969	0.496	0.969	0.702	1.000	0.667	1.000	0.961	0.692	0.860	0.614	1.000	0.693	1.000	0.375	1.000	0.969	0.971	1.000	0.981	0.980	0.835	1.000	1.000	0.992	0.677	0.969	0.795	0.859	1.000	1.000	0.898	0.969	1.000	0.929	1.000	1.000	1.000	1.000	1.000	1.000	0.165	0.857	0.843	0.717	1.000	0.661	0.986	0.913	0.945	1.000	0.922	0.537	0.843	1.000	0.992	0.637	0.810	1.000	0.986	0.850	0.945	1.000	1.000	1.000	0.961	0.961	1.000	1.000	0.976	0.989	1.000	1.000	0.800	1.000	1.000	0.704	0.850	0.913
0.912	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	0.735	1.000	1.000	1.000	1.000	1.000	1.000	0.897	0.897	0.985	0.926	1.000	1.000	1.000	1.000	1.000	1.000	0.985	1.000	0.853	0.000	1.000	0.824	1.000	1.000	1.000	1.000	1.000	0.897	1.000	1.000	1.000	0.912	0.868	1.000	1.000	1.000	0.912	1.000	1.000	1.000	0.912	1.000	1.000	1.000	1.000	1.000	0.912	1.000	1.000	0.838	0.912	1.000	1.000	1.000	1.000	1.000	0.985	0.982	0.967	0.897	1.000	0.868	1.000	1.000	1.000	1.000	1.000	1.000	0.691	1.000	0.985	1.000	1.000	0.985	0.985	0.966	1.000	0.765	1.000	1.000	1.000	1.000	0.971	1.000	1.000	0.794	1.000	1.000	1.000	1.000	1.000	1.000	0.985	1.000	1.000	1.000	0.873	0.868	0.912	1.000	0.853	1.000	0.706	0.971	1.000	0.971	0.912	1.000	0.000	1.000	0.926	1.000	1.000	0.985	1.000	0.853	1.000	0.956	1.000	0.985	1.000	0.691	1.000	1.000	0.824	1.000	1.000	0.912	1.000	1.000	0.985	1.000	1.000	1.000	0.882	1.000	0.985	0.779	1.000	0.985	1.000	1.000	0.809	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.853	1.000	0.838	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	0.706	1.000	0.824	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.985	0.853	1.000	0.868	1.000	1.000	1.000	1.000	1.000	0.985	0.941	1.000	1.000	1.000	0.962	1.000	1.000	0.912	1.000	0.897	1.000	1.000	0.893	1.000	1.000	0.853	1.000	1.000	1.000	0.662	1.000	0.985	1.000	1.000	1.000	1.000	0.912	1.000	1.000	0.956	1.000	1.000	1.000	0.985	1.000	0.985	1.000	1.000	1.000	0.912	1.000	1.000	0.868	0.912	0.971
