GO:0003682	GO:0008270	GO:0016772	GO:0008324;GO:0046873;GO:0022890	GO:0050839	GO:0022892;GO:0005215	GO:0044212;GO:0000975;GO:0001067	GO:0000977;GO:0000976;GO:0001012	GO:0000981;GO:0003700;GO:0001071	GO:0019904	GO:0015631	GO:0046983	GO:0000989;GO:0000988;GO:0003712	GO:0008134	GO:0004175	GO:0046982	GO:0000978;GO:0000987;GO:0001159	GO:0070011;GO:0008233	GO:0017016;GO:0031267;GO:0051020	GO:0003779	GO:0005543	GO:0004842;GO:0019787;GO:0016881;GO:0016879	GO:0016874	GO:0015075;GO:0022891;GO:0022857	GO:0008047	GO:0004930	GO:0032403	GO:0048037	GO:0042803	GO:0004674	GO:0030695;GO:0060589	GO:0019901;GO:0019900	GO:0005509	GO:0016887	GO:0005525;GO:0032561;GO:0019001	GO:0005102	GO:0008289	GO:0005198	GO:0046914	GO:0016491	GO:0004888	GO:0043565	GO:0005085	GO:0035091	GO:0016301;GO:0004672;GO:0016773	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0042578	GO:0030234	GO:0038023;GO:0004871;GO:0004872;GO:0060089	GO:0016788	GO:0005216;GO:0022838;GO:0015267;GO:0022803	GO:0008092	GO:0031625;GO:0044389
0	0.877	0.947	0.993	0.993	0.992	0.572	0.581	0.622	0.922	0.964	0.781	0.713	0.712	1.000	0.838	0.584	0.963	0.990	0.993	0.978	0.949	0.952	0.995	0.982	1.000	0.874	0.970	0.894	0.969	1.000	0.919	0.950	0.887	0.977	0.872	0.972	0.975	0.856	0.947	0.987	0.534	0.985	0.982	0.970	0.904	0.995	0.960	0.957	0.955	1.000	0.950	0.944
0.877	0	0.941	0.980	0.935	0.963	0.888	0.877	0.883	0.908	0.952	0.897	0.864	0.922	0.699	0.954	0.891	0.718	0.928	0.949	0.947	0.734	0.766	0.975	0.954	0.986	0.925	0.901	0.919	0.975	0.983	0.916	0.924	0.958	0.991	0.832	0.933	0.968	0.000	0.936	0.958	0.885	0.960	0.954	0.962	0.970	0.943	0.952	0.908	0.936	0.960	0.938	0.862
0.947	0.941	0	0.993	0.870	0.993	0.966	0.980	0.977	0.906	0.932	0.874	0.962	0.917	0.947	0.908	0.979	0.963	0.918	0.881	0.929	0.963	0.961	0.992	0.887	0.986	0.880	0.985	0.905	0.000	0.924	0.753	0.926	0.940	0.855	0.865	0.919	0.902	0.926	0.969	0.814	0.958	0.806	0.927	0.000	0.947	0.934	0.890	0.802	0.923	0.987	0.906	0.897
0.993	0.980	0.993	0	0.978	0.000	0.997	0.997	0.990	0.939	0.996	0.875	0.986	1.000	0.996	0.966	0.996	0.993	0.983	0.975	0.949	0.997	0.997	0.000	0.990	0.977	0.973	1.000	0.916	1.000	0.992	0.949	0.872	0.928	0.986	0.922	0.936	0.993	0.966	0.943	0.932	0.997	0.980	0.940	0.993	0.932	0.995	0.983	0.916	0.997	0.215	0.919	0.991
0.993	0.935	0.870	0.978	0	0.957	0.993	0.996	0.989	0.808	0.944	0.841	0.967	0.960	0.938	0.953	1.000	0.942	0.906	0.819	0.859	1.000	1.000	0.967	0.891	0.923	0.511	0.990	0.862	0.946	0.908	0.844	0.790	0.958	0.973	0.522	0.833	0.772	0.902	0.949	0.837	0.993	0.886	0.908	0.870	0.953	0.934	0.837	0.797	0.946	0.960	0.703	0.953
0.992	0.963	0.993	0.000	0.957	0	0.998	0.997	0.994	0.922	0.992	0.875	0.985	0.994	0.969	0.934	0.996	0.974	0.887	0.968	0.885	0.994	0.995	0.000	0.979	0.959	0.965	0.990	0.901	0.994	0.975	0.955	0.898	0.819	0.968	0.920	0.888	0.973	0.956	0.952	0.877	0.993	0.970	0.899	0.993	0.903	0.995	0.969	0.891	0.996	0.000	0.944	0.974
0.572	0.888	0.966	0.997	0.993	0.998	0	0.000	0.265	0.865	0.976	0.708	0.648	0.551	1.000	0.736	0.000	0.995	0.997	0.978	0.981	0.952	0.954	0.998	0.969	1.000	0.946	0.985	0.874	0.969	0.983	0.901	0.993	0.947	0.995	0.881	0.975	0.990	0.876	0.975	0.993	0.130	0.990	0.986	0.971	0.966	1.000	0.953	0.942	0.993	0.996	0.960	0.922
0.581	0.877	0.980	0.997	0.996	0.997	0.000	0	0.196	0.855	0.980	0.701	0.701	0.640	1.000	0.782	0.000	0.994	1.000	0.978	0.988	0.963	0.958	0.997	0.997	1.000	0.941	0.985	0.872	0.985	1.000	0.913	0.992	0.958	1.000	0.880	0.975	0.994	0.863	0.969	0.994	0.003	1.000	0.991	0.980	0.966	1.000	0.975	0.941	0.994	0.996	0.958	0.944
0.622	0.883	0.977	0.990	0.989	0.994	0.265	0.196	0	0.895	0.988	0.736	0.639	0.579	0.996	0.710	0.168	0.989	0.986	0.986	0.981	0.966	0.969	0.994	0.979	0.991	0.960	0.985	0.891	0.972	0.971	0.940	0.992	0.977	0.995	0.908	0.975	0.990	0.879	0.986	0.990	0.296	0.990	0.991	0.977	0.988	1.000	0.974	0.945	0.993	0.991	0.972	0.944
0.922	0.908	0.906	0.939	0.808	0.922	0.865	0.855	0.895	0	0.912	0.805	0.911	0.812	0.938	0.865	0.861	0.950	0.863	0.769	0.814	0.926	0.937	0.937	0.850	0.919	0.844	0.980	0.858	0.898	0.840	0.777	0.938	0.962	0.905	0.715	0.834	0.863	0.903	0.981	0.904	0.875	0.891	0.789	0.908	0.945	0.925	0.825	0.891	0.945	0.892	0.770	0.759
