delta.rank	pval	level	nseqs	term	name	p.adj
1168	298	7.15559944977174e-08	6	15	GO:0035304	regulation of protein dephosphorylation	0.000163934783394271
554	183	2.17883764680202e-05	4	24	GO:0009112	nucleobase metabolic process	0.0201767327290706
2061	122	2.64208634601535e-05	4	53	GO:0071901	negative regulation of protein serine/threonine kinase activity	0.0201767327290706
461	156	8.67112228146563e-05	4	28	GO:0007512	adult heart development	0.0441258485680378
837	103	0.000110323678091145	2	62	GO:0022617	extracellular matrix disassembly	0.0441258485680378
602	150	0.000115563112792766	5	29	GO:0009950	dorsal/ventral axis specification	0.0441258485680378
1321	145	0.000151173175280183	2	30	GO:0043407	negative regulation of MAP kinase activity	0.0494768206524142
1486	127	0.000379620686957685	2	34	GO:0045880	positive regulation of smoothened signaling pathway	0.0966345548688951
2187	127	0.000379620686957685	2	34	GO:1901616;GO:0046164	organic hydroxy compound catabolic process	0.0966345548688951
2080	119	0.000558402279680164	2	36	GO:0072527	pyrimidine-containing compound metabolic process	0.127929962274726
84	116	0.000667072967911598	5	37	GO:0001885	endothelial cell development	0.138933106316861
1192	109	0.000927140788848784	2	39	GO:0036342	post-anal tail morphogenesis	0.177006628937714
1313	56	0.00120551583617145	5	145	GO:0043312;GO:0002283;GO:0043299;GO:0002275;GO:0042119;GO:0036230;GO:0045055	myeloid cell activation involved in immune response	0.212448983128369
970	43	0.00192395969276737	4	232	GO:0031400	negative regulation of protein modification process	0.28979530321958
883	66	0.0020293020723853	3	94	GO:0030308	negative regulation of cell growth	0.28979530321958
1509	63	0.00242327847777106	2	97	GO:0046128;GO:0009119;GO:0042278;GO:0009116	nucleoside metabolic process	0.28979530321958
1584	89	0.00263861931399797	2	47	GO:0048259	regulation of receptor-mediated endocytosis	0.28979530321958
1701	85	0.00325559706950032	4	49	GO:0050771	negative regulation of axonogenesis	0.28979530321958
119	58	0.00370838030479943	2	105	GO:0002064	epithelial cell development	0.28979530321958
1815	82	0.00395395652011377	3	51	GO:0051489	regulation of filopodium assembly	0.28979530321958
