delta.rank	pval	level	nseqs	term	name	p.adj
263	148	5.53287275962426e-09	3	52	GO:0043202	lysosomal lumen	1.83138088343563e-06
61	100	1.71374404343213e-06	2	76	GO:0005775	vacuolar lumen	0.000283624639188018
28	115	0.000204321134021736	3	33	GO:0002102	podosome	0.0225434317870649
204	102	0.000455727258929904	2	37	GO:0031672	A band	0.0377114306764496
98	91	0.000873325454137882	2	41	GO:0005905	coated pit	0.0578141450639278
326	87	0.0011571093863773	2	43	GO:0098562;GO:0009898	cytoplasmic side of membrane	0.0638338678151477
143	44	0.00152177759273163	2	163	GO:0016607	nuclear speck	0.0719583404563099
278	35	0.00178082331751096	3	251	GO:0044437	vacuolar part	0.073681564762016
238	53	0.00212961425257659	3	102	GO:0034774;GO:0060205;GO:0031983	vesicle lumen	0.0783224797336501
129	26	0.00371291193197451	4	393	GO:0016023	cytoplasmic membrane-bounded vesicle	0.120115399451586
85	126	0.00428839833790284	3	15	GO:0005863	striated muscle myosin thick filament	0.120115399451586
56	36	0.00435463683812396	3	197	GO:0005765;GO:0005774	vacuolar membrane	0.120115399451586
308	24	0.00602029520610417	3	429	GO:0070013;GO:0043233;GO:0031974	membrane-enclosed lumen	0.142366019346101
37	24	0.00639945706550182	2	434	GO:0005615	extracellular space	0.142366019346101
5	111	0.0070903049657296	3	17	GO:0000152	nuclear ubiquitin ligase complex	0.142366019346101
200	111	0.0070903049657296	2	17	GO:0031519	PcG protein complex	0.142366019346101
285	40	0.00731184993620457	2	131	GO:0044449	contractile fiber part	0.142366019346101
234	104	0.00876032767014134	2	18	GO:0033643	host cell part	0.161092692156488
124	99	0.0105976286102169	6	19	GO:0015030	Cajal body	0.173197820115071
153	99	0.0105976286102169	2	19	GO:0030119	AP-type membrane coat adaptor complex	0.173197820115071
