delta.rank	pval	level	nseqs	term	name	p.adj
1	0	1	5	19	GO:0000118	histone deacetylase complex	1
2	0	1	4	38	GO:0000123;GO:0031248;GO:1902493	protein acetyltransferase complex	1
3	0	1	4	347	GO:0000139;GO:0044431	Golgi apparatus part	1
4	0	1	3	139	GO:0000151	ubiquitin ligase complex	1
5	0	1	4	15	GO:0000152	nuclear ubiquitin ligase complex	1
6	0	1	2	46	GO:0000228	nuclear chromosome	1
7	0	1	3	33	GO:0000502	proteasome complex	1
8	0	1	4	25	GO:0000775	chromosome, centromeric region	1
9	0	1	3	52	GO:0000776	kinetochore	1
10	0	1	4	31	GO:0000777	condensed chromosome kinetochore	1
11	0	1	4	44	GO:0000781	chromosome, telomeric region	1
12	0	1	3	32	GO:0000784	nuclear chromosome, telomeric region	1
13	0	1	4	113	GO:0000785	chromatin	1
14	0	1	2	70	GO:0000790	nuclear chromatin	1
15	0	1	2	22	GO:0000792	heterochromatin	1
16	0	1	2	45	GO:0000793	condensed chromosome	1
17	0	1	5	33	GO:0000794	condensed nuclear chromosome	1
18	0	1	4	58	GO:0000922	spindle pole	1
19	0	1	2	34	GO:0000932	cytoplasmic mRNA processing body	1
20	0	1	2	34	GO:0001650	fibrillar center	1
