delta.rank	pval	level	nseqs	term	name	p.adj
1	0	1	2	24	GO:0000118	histone deacetylase complex	1
2	0	1	5	53	GO:0000123;GO:0031248;GO:1902493	protein acetyltransferase complex	1
3	0	1	3	432	GO:0000139;GO:0044431	Golgi apparatus part	1
4	0	1	2	177	GO:0000151	ubiquitin ligase complex	1
5	0	1	2	19	GO:0000152	nuclear ubiquitin ligase complex	1
6	0	1	4	58	GO:0000228	nuclear chromosome	1
7	0	1	2	17	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	1
8	0	1	2	39	GO:0000502	proteasome complex	1
9	0	1	2	31	GO:0000775	chromosome, centromeric region	1
10	0	1	3	60	GO:0000776	kinetochore	1
11	0	1	5	35	GO:0000777	condensed chromosome kinetochore	1
12	0	1	2	58	GO:0000781	chromosome, telomeric region	1
13	0	1	2	43	GO:0000784	nuclear chromosome, telomeric region	1
14	0	1	2	140	GO:0000785	chromatin	1
15	0	1	2	87	GO:0000790	nuclear chromatin	1
16	0	1	5	15	GO:0000791	euchromatin	1
17	0	1	2	24	GO:0000792	heterochromatin	1
18	0	1	4	55	GO:0000793	condensed chromosome	1
19	0	1	5	40	GO:0000794	condensed nuclear chromosome	1
20	0	1	4	74	GO:0000922	spindle pole	1
