delta.rank	pval	level	nseqs	term	name	p.adj
15	0	0.00772720409637856	3	159	GO:0001664	G-protein coupled receptor binding	1
73	0	0.01932562929435	1	435	GO:0005198	structural molecule activity	1
34	0	0.0215109073185721	3	325	GO:0003779	actin binding	1
225	0	0.0264487214471209	3	343	GO:0051020;GO:0031267;GO:0017016	GTPase binding	1
93	0	0.0308545251370118	2	761	GO:0008092	cytoskeletal protein binding	1
30	0	0.0455095537262132	2	161	GO:0003729;GO:0044822	mRNA binding	1
145	0	0.0472998085683485	2	70	GO:0016798	hydrolase activity, acting on glycosyl bonds	1
236	0	0.0492744608425886	4	406	GO:0070011;GO:0008233	peptidase activity	1
191	0	0.0504217926040733	2	688	GO:0032403	protein complex binding	1
169	0	0.0536287394097158	4	553	GO:0019901;GO:0019900	kinase binding	1
224	0	0.0558446902160553	2	175	GO:0051015	actin filament binding	1
202	0	0.059168826730872	2	713	GO:0042803	protein homodimerization activity	1
57	0	0.0613460983017608	4	81	GO:0004843;GO:0019783;GO:0036459	ubiquitinyl hydrolase activity	1
88	0	0.0741534698619728	3	197	GO:0008022	protein C-terminus binding	1
87	0	0.078650734465393	3	202	GO:0008017	microtubule binding	1
155	0	0.0809899895628197	6	95	GO:0017048	Rho GTPase binding	1
102	0	0.0884264229359941	2	100	GO:0008234	cysteine-type peptidase activity	1
198	0	0.104928155450882	2	229	GO:0042277;GO:0033218	amide binding	1
174	0	0.108655220170874	2	113	GO:0019955	cytokine binding	1
103	0	0.124981779757827	2	123	GO:0008236;GO:0017171;GO:0004252	serine hydrolase activity	1
