delta.rank	pval	level	nseqs	term	name	p.adj
108	0	0.00181885261510325	2	596	GO:0008289	lipid binding	0.351826961730035
86	0	0.00352981521050476	2	59	GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding	0.351826961730035
191	0	0.00436149126111613	3	688	GO:0032403	protein complex binding	0.351826961730035
173	0	0.0100739919872781	4	104	GO:0019905;GO:0000149	SNARE binding	0.413064121973463
84	0	0.0105027606247962	2	394	GO:0005543	phospholipid binding	0.413064121973463
217	0	0.0129300464322185	4	389	GO:0046982	protein heterodimerization activity	0.413064121973463
34	0	0.0131752980897991	4	325	GO:0003779	actin binding	0.413064121973463
238	0	0.0136550122966434	6	127	GO:0072341;GO:0001786	modified amino acid binding	0.413064121973463
88	0	0.0162277752179915	3	197	GO:0008022	protein C-terminus binding	0.436346844750438
158	0	0.0190299538981601	7	133	GO:0017137	Rab GTPase binding	0.460524884335474
206	0	0.0219677040331057	2	102	GO:0043178	alcohol binding	0.483289488728325
93	0	0.0266085821048303	3	761	GO:0008092	cytoskeletal protein binding	0.536606405780744
68	0	0.0344012432582014	3	116	GO:0005057	receptor signaling protein activity	0.554736875599718
164	0	0.0350150900029141	3	160	GO:0019838	growth factor binding	0.554736875599718
234	0	0.0365214446548943	2	254	GO:0060589;GO:0005096;GO:0030695	nucleoside-triphosphatase regulator activity	0.554736875599718
30	0	0.0388980997693299	6	161	GO:0003729;GO:0044822	mRNA binding	0.554736875599718
87	0	0.0389691193603108	4	202	GO:0008017	microtubule binding	0.554736875599718
228	0	0.051074269992083	3	83	GO:0051117	ATPase binding	0.607052050853329
224	0	0.0514124688205835	2	175	GO:0051015	actin filament binding	0.607052050853329
225	0	0.0521405733596407	3	343	GO:0051020;GO:0031267;GO:0017016	GTPase binding	0.607052050853329
