delta.rank	pval	level	nseqs	term	name	p.adj
282	0	0.00463889990235162	2	871	GO:1902582	single-organism intracellular transport	0.849107851632203
214	0	0.0141545278321022	4	293	GO:0050804	regulation of synaptic transmission	0.849107851632203
249	0	0.0197888866971491	3	759	GO:0060341	regulation of cellular localization	0.849107851632203
244	0	0.01987183045892	2	219	GO:0052548;GO:0052547	regulation of peptidase activity	0.849107851632203
55	0	0.0216645984151703	6	388	GO:0007169;GO:0007167	enzyme linked receptor protein signaling pathway	0.849107851632203
116	0	0.023265887727232	2	689	GO:0022603	regulation of anatomical structure morphogenesis	0.849107851632203
122	0	0.0245484955025963	3	267	GO:0030155	regulation of cell adhesion	0.849107851632203
239	0	0.0266481913993058	2	242	GO:0051346	negative regulation of hydrolase activity	0.849107851632203
45	0	0.028243049872601	2	457	GO:0006952	defense response	0.849107851632203
163	0	0.032601249454682	2	347	GO:0043065;GO:0043068;GO:0010942	positive regulation of cell death	0.849107851632203
284	0	0.0359394729724034	3	228	GO:2001233	regulation of apoptotic signaling pathway	0.849107851632203
124	0	0.0372211242714091	4	647	GO:0030334;GO:2000145;GO:0040012;GO:0051270	regulation of locomotion	0.849107851632203
138	0	0.0388676129268262	4	245	GO:0032787	monocarboxylic acid metabolic process	0.849107851632203
128	0	0.0430199231725709	2	267	GO:0031346	positive regulation of cell projection organization	0.872689870072152
255	0	0.0533352239022009	2	243	GO:0071396	cellular response to lipid	0.910540045874058
279	0	0.0555534003224946	2	350	GO:1902532	negative regulation of intracellular signal transduction	0.910540045874058
221	0	0.0590463959632794	4	218	GO:0051056	regulation of small GTPase mediated signal transduction	0.910540045874058
252	0	0.05920295098388	2	408	GO:0070613;GO:0030162	regulation of protein processing	0.910540045874058
112	0	0.069179401160016	2	547	GO:0019752;GO:0043436;GO:0006082	organic acid metabolic process	0.910540045874058
117	0	0.0699350291314356	3	398	GO:0022604	regulation of cell morphogenesis	0.910540045874058
