delta.rank	pval	level	nseqs	term	name	p.adj
205	0	1.03283280900842e-05	4	254	GO:0048638	regulation of developmental growth	0.00293324517758391
95	0	3.91911868934041e-05	2	274	GO:0010769	regulation of cell morphogenesis involved in differentiation	0.00437060646323939
54	0	5.77864204190314e-05	2	505	GO:0007155;GO:0022610	biological adhesion	0.00437060646323939
207	0	6.15578375104139e-05	3	751	GO:0048731	system development	0.00437060646323939
117	0	0.000132488805771107	2	398	GO:0022604	regulation of cell morphogenesis	0.00752536416779888
122	0	0.000181420620358937	4	267	GO:0030155	regulation of cell adhesion	0.00858724269698968
62	0	0.00045827597381194	2	408	GO:0007399	nervous system development	0.018592910937513
223	0	0.000710569477292339	4	609	GO:0051093	negative regulation of developmental process	0.0232743962329021
116	0	0.000737568894704645	4	689	GO:0022603	regulation of anatomical structure morphogenesis	0.0232743962329021
240	0	0.00110172847185821	2	320	GO:0051493	regulation of cytoskeleton organization	0.0312890886007732
226	0	0.00181971527590843	2	482	GO:0051129	negative regulation of cellular component organization	0.0469817398507267
124	0	0.00227337326238682	2	647	GO:0030334;GO:2000145;GO:0040012;GO:0051270	regulation of locomotion	0.0538031672098214
45	0	0.00287616370604818	2	457	GO:0006952	defense response	0.0628331148090526
94	0	0.00312981420694341	2	219	GO:0010720	positive regulation of cell development	0.0634905167694235
126	0	0.00352234885361014	5	239	GO:0030855	epithelial cell differentiation	0.0666898049616853
201	0	0.00446272940836764	2	336	GO:0048589;GO:0040007	growth	0.0792134469985256
224	0	0.00534449242533873	2	741	GO:0051094	positive regulation of developmental process	0.0892844616938941
6	0	0.00567981836032353	2	268	GO:0001558	regulation of cell growth	0.0896149119073268
43	0	0.00682519359591193	2	367	GO:0006897	endocytosis	0.0977343061904576
46	0	0.00688269761904631	2	329	GO:0006955	immune response	0.0977343061904576
