delta.rank	pval	level	nseqs	term	name	p.adj
4	0	8.6194474317192e-13	1	833	GO:0005576	extracellular region	5.4302518819831e-11
32	0	3.75710094369455e-05	1	835	GO:0030054	cell junction	0.00118348679726378
59	0	0.000108903440060774	2	625	GO:0070062;GO:0065010;GO:0043230	extracellular membrane-bounded organelle	0.00217291315403916
25	0	0.000137962739938994	2	305	GO:0009986	cell surface	0.00217291315403916
5	0	0.000527468179250812	2	508	GO:0005615	extracellular space	0.00664609905856023
58	0	0.00261344707568611	3	539	GO:0070013;GO:0043233;GO:0031974	membrane-enclosed lumen	0.0274411942947042
22	0	0.00709365953130192	3	275	GO:0005912;GO:0070161	anchoring junction	0.0638429357817173
21	0	0.0116570409170827	2	311	GO:0005911	cell-cell junction	0.0917991972220263
24	0	0.0154803978308015	3	208	GO:0005938	cell cortex	0.10836278481561
56	0	0.0173554611885118	3	201	GO:0045211	postsynaptic membrane	0.109339405487624
28	0	0.0253946644823646	3	518	GO:0016023	cytoplasmic membrane-bounded vesicle	0.145442169308088
54	0	0.0382246296801804	2	215	GO:0045121	membrane raft	0.200679305820947
8	0	0.0499201273841477	2	353	GO:0005694	chromosome	0.241920617323177
57	0	0.0583818655501493	3	504	GO:0048471	perinuclear region of cytoplasm	0.262718394975672
27	0	0.0664512407944258	4	236	GO:0014069	postsynaptic density	0.279095211336588
60	0	0.0747102067918401	2	277	GO:0097060	synaptic membrane	0.280908022312471
38	0	0.0758005774493969	3	287	GO:0031253	cell projection membrane	0.280908022312471
61	0	0.0862051092453591	2	408	GO:0098590	plasma membrane region	0.289901008041904
13	0	0.0902135552382877	2	253	GO:0005769	early endosome	0.289901008041904
12	0	0.092032066045049	3	661	GO:0005768	endosome	0.289901008041904
