delta.rank	pval	level	nseqs	term	name	p.adj
43	0	0.00198945957093008	2	590	GO:0038023;GO:0004871;GO:0004872;GO:0060089	receptor activity	0.105441357259294
41	0	0.00462435128437961	2	577	GO:0032403	protein complex binding	0.12254530903606
10	0	0.00753490864700121	3	408	GO:0004888	transmembrane signaling receptor activity	0.133116719430355
36	0	0.0327697936877112	2	513	GO:0019904	protein domain specific binding	0.285983444153118
45	0	0.0341585469834778	2	591	GO:0042803	protein homodimerization activity	0.285983444153118
26	0	0.0397684584940287	3	249	GO:0015631	tubulin binding	0.285983444153118
50	0	0.0417688982040669	2	846	GO:0046983	protein dimerization activity	0.285983444153118
29	0	0.0431673123249989	2	691	GO:0016772	transferase activity, transferring phosphorus-containing groups	0.285983444153118
7	0	0.0785564942274622	2	226	GO:0004175	endopeptidase activity	0.418910652969444
20	0	0.0790397458432914	2	680	GO:0008092	cytoskeletal protein binding	0.418910652969444
22	0	0.0987975699020331	2	546	GO:0008270	zinc ion binding	0.476024654982523
27	0	0.116743588311495	2	566	GO:0016301;GO:0004672;GO:0016773	kinase activity	0.49073812539609
14	0	0.120369728870739	1	410	GO:0005198	structural molecule activity	0.49073812539609
53	0	0.185351208892681	3	379	GO:0070011;GO:0008233	peptidase activity	0.62822508969991
17	0	0.185889443712132	3	221	GO:0005525;GO:0032561;GO:0019001	guanyl ribonucleotide binding	0.62822508969991
49	0	0.193012667795812	2	303	GO:0046982	protein heterodimerization activity	0.62822508969991
48	0	0.201506160847141	2	730	GO:0046914	transition metal ion binding	0.62822508969991
13	0	0.221880073981977	2	747	GO:0005102	receptor binding	0.645611064884249
8	0	0.23144547609058	2	324	GO:0004674	protein serine/threonine kinase activity	0.645611064884249
52	0	0.307362179120857	2	276	GO:0050839	cell adhesion molecule binding	0.781573561816808
