"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.315415070350211 2 454 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.844027364177879
0 0.570859155749994 2 265 "GO:0000226" "microtubule cytoskeleton organization" 0.946624612717029
0 0.54475512986384 2 284 "GO:0000904;GO:0000902" "cell morphogenesis" 0.942719955273352
0 0.131480145890151 3 222 "GO:0001101" "response to acid" 0.778016179408363
0 0.366590762027199 2 226 "GO:0001525" "angiogenesis" 0.899608270402914
0 0.173175911035022 2 270 "GO:0001558" "regulation of cell growth" 0.784914155432932
0 0.406535263940827 2 393 "GO:0001775;GO:0045321" "cell activation" 0.917880400616399
0 0.289260049281502 2 285 "GO:0001817" "regulation of cytokine production" 0.811178140857234
0 0.300186875041111 2 726 "GO:0001932" "regulation of protein phosphorylation" 0.818434027234727
0 0.70339999048912 3 224 "GO:0001933" "negative regulation of protein phosphorylation" 0.946624612717029
0 0.693227735487422 2 474 "GO:0001934" "positive regulation of protein phosphorylation" 0.946624612717029
0 0.319088816276637 2 381 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.84602447618301
0 0.569681118974709 2 311 "GO:0002252" "immune effector process" 0.946624612717029
0 0.724544760588986 1 778 "GO:0002376" "immune system process" 0.946624612717029
0 0.25073452766275 2 646 "GO:0002682" "regulation of immune system process" 0.805136427717053
0 0.44110602815131 2 330 "GO:0002684" "positive regulation of immune system process" 0.942719955273352
0 0.672803321221367 3 243 "GO:0002694;GO:0050865" "regulation of cell activation" 0.946624612717029
0 0.74944543331698 2 288 "GO:0003002" "regionalization" 0.946624612717029
0 0.470627885665254 2 440 "GO:0003006" "developmental process involved in reproduction" 0.942719955273352
0 0.713763337768113 3 806 "GO:0003008" "system process" 0.946624612717029
0 0.737606109354952 2 381 "GO:0005975;GO:0044723" "carbohydrate metabolic process" 0.946624612717029
0 0.805096973415701 3 324 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.949929293374538
0 0.968414377432465 4 607 "GO:0006259" "DNA metabolic process" 0.985463926330924
0 0.993970099848288 2 366 "GO:0006281" "DNA repair" 0.996738053053761
0 0.790272746450373 2 477 "GO:0006325;GO:0016568" "chromatin organization" 0.946624612717029
0 0.294718701695535 2 330 "GO:0006366" "transcription from RNA polymerase II promoter" 0.811178140857234
0 0.948327509972818 3 654 "GO:0006396" "RNA processing" 0.974584055647506
0 0.244467541956907 2 213 "GO:0006417" "regulation of translation" 0.802853632108479
0 0.590315430631458 2 769 "GO:0006461" "protein complex assembly" 0.946624612717029
0 0.0496039329663751 5 495 "GO:0006468" "protein phosphorylation" 0.743371954734039
0 0.676555050829509 2 742 "GO:0006508" "proteolysis" 0.946624612717029
0 0.765488750987104 6 414 "GO:0006511;GO:0019941;GO:0043632;GO:0051603" "proteolysis involved in cellular protein catabolic process" 0.946624612717029
0 0.739398380726912 2 257 "GO:0006520" "cellular amino acid metabolic process" 0.946624612717029
0 0.929469418364309 3 647 "GO:0006629;GO:0044255" "lipid metabolic process" 0.974584055647506
0 0.943579854212183 4 303 "GO:0006753;GO:0009117;GO:0055086" "nucleobase-containing small molecule metabolic process" 0.974584055647506
0 0.744322718679825 3 603 "GO:0006811" "ion transport" 0.946624612717029
0 0.593658182368697 2 422 "GO:0006812;GO:0030001" "cation transport" 0.946624612717029
0 0.859452027537548 2 230 "GO:0006820" "anion transport" 0.974584055647506
0 0.0665692643472018 2 247 "GO:0006874;GO:0055074;GO:0072503;GO:0072507" "divalent inorganic cation homeostasis" 0.743371954734039
0 0.193883478655044 2 328 "GO:0006875;GO:0055065" "metal ion homeostasis" 0.784914155432932
0 0.200044030629986 2 441 "GO:0006886" "intracellular protein transport" 0.784914155432932
0 0.0734704682891198 3 287 "GO:0006887" "exocytosis" 0.743371954734039
0 0.202352525165815 3 373 "GO:0006897" "endocytosis" 0.784914155432932
0 0.0217047460697266 3 524 "GO:0006915;GO:0012501;GO:0008219;GO:0016265" "cell death" 0.743371954734039
0 0.104398714149053 3 466 "GO:0006952" "defense response" 0.771973513650485
0 0.839788652955943 2 337 "GO:0006955" "immune response" 0.974584055647506
0 0.870502037457794 4 537 "GO:0006974" "cellular response to DNA damage stimulus" 0.974584055647506
0 0.244190381908771 3 269 "GO:0006979" "response to oxidative stress" 0.802853632108479
0 0.865335126908853 3 213 "GO:0007005" "mitochondrion organization" 0.974584055647506
0 0.205974687075283 3 583 "GO:0007010" "cytoskeleton organization" 0.784914155432932
0 0.421455833744364 2 452 "GO:0007017" "microtubule-based process" 0.932668009193668
0 0.270486808272459 3 203 "GO:0007018" "microtubule-based movement" 0.811178140857234
0 0.942802464317359 3 691 "GO:0007049" "cell cycle" 0.974584055647506
0 0.544413304871082 3 576 "GO:0007154" "cell communication" 0.942719955273352
0 0.361406180441107 2 516 "GO:0007155;GO:0022610" "biological adhesion" 0.899608270402914
0 0.0512599636850472 6 394 "GO:0007169;GO:0007167" "enzyme linked receptor protein signaling pathway" 0.743371954734039
0 0.985914393893677 5 355 "GO:0007186" "G-protein coupled receptor signaling pathway" 0.996738053053761
0 0.950942583526527 2 377 "GO:0007267;GO:0044700;GO:0023052" "signaling" 0.974584055647506
0 0.914129090365684 4 211 "GO:0007268" "synaptic transmission" 0.974584055647506
0 0.261954104924549 2 331 "GO:0007283;GO:0048232;GO:0007276" "gamete generation" 0.811178140857234
0 0.508758072050195 4 431 "GO:0007346" "regulation of mitotic cell cycle" 0.942719955273352
0 0.488150345236556 3 425 "GO:0007389" "pattern specification process" 0.942719955273352
0 0.435048247023469 3 412 "GO:0007399" "nervous system development" 0.942719955273352
0 0.75656211383305 2 224 "GO:0007411;GO:0097485" "neuron projection guidance" 0.946624612717029
0 0.917098412411214 2 261 "GO:0007420" "brain development" 0.974584055647506
0 0.0436930665953217 2 253 "GO:0007507" "heart development" 0.743371954734039
0 0.787583379450868 5 378 "GO:0007600" "sensory perception" 0.946624612717029
0 0.621167456428824 2 496 "GO:0007610;GO:0044708" "behavior" 0.946624612717029
0 0.726421451884623 3 243 "GO:0007611;GO:0050890" "cognition" 0.946624612717029
0 0.600748035923737 2 628 "GO:0008104;GO:0033036;GO:0051179;GO:0051641" "localization" 0.946624612717029
0 0.198538289712115 2 473 "GO:0008283" "cell proliferation" 0.784914155432932
0 0.189999063035252 2 496 "GO:0008284" "positive regulation of cell proliferation" 0.784914155432932
0 0.380531052079271 2 403 "GO:0008285" "negative regulation of cell proliferation" 0.916445617090911
0 0.724712028977343 2 290 "GO:0008380" "RNA splicing" 0.946624612717029
0 0.908840017671883 2 335 "GO:0008610" "lipid biosynthetic process" 0.974584055647506
0 0.665133017608287 2 395 "GO:0009118;GO:0033121;GO:0030811;GO:1900542;GO:0006140" "regulation of nucleotide metabolic process" 0.946624612717029
0 0.898421731449538 2 377 "GO:0009314" "response to radiation" 0.974584055647506
0 0.954350476637523 4 270 "GO:0009416" "response to light stimulus" 0.974584055647506
0 0.160762535751883 2 336 "GO:0009611" "response to wounding" 0.784914155432932
0 0.133307489568088 2 857 "GO:0009628" "response to abiotic stimulus" 0.778016179408363
0 0.0358980810206727 3 548 "GO:0009725" "response to hormone" 0.743371954734039
0 0.544097654904104 2 238 "GO:0009792;GO:0009790" "embryo development" 0.942719955273352
0 0.58950824766021 2 430 "GO:0009887" "organ morphogenesis" 0.946624612717029
0 0.422766467835192 2 448 "GO:0009888" "tissue development" 0.932668009193668
0 0.40273001429255 2 208 "GO:0009896" "positive regulation of catabolic process" 0.917613300683008
0 0.443627145874279 2 880 "GO:0009967" "positive regulation of signal transduction" 0.942719955273352
0 0.668371139474491 2 825 "GO:0009968;GO:0010648;GO:0023057" "negative regulation of cell communication" 0.946624612717029
0 0.0575634174203951 3 392 "GO:0010035" "response to inorganic substance" 0.743371954734039
0 0.118510115847505 2 279 "GO:0010038" "response to metal ion" 0.771973513650485
0 0.742489113627818 3 607 "GO:0010243;GO:1901698" "response to nitrogen compound" 0.946624612717029
0 0.794685813806985 3 499 "GO:0010564" "regulation of cell cycle process" 0.946624612717029
0 0.109158691951334 3 459 "GO:0010608" "posttranscriptional regulation of gene expression" 0.771973513650485
0 0.609123169220111 2 352 "GO:0010638" "positive regulation of organelle organization" 0.946624612717029
0 0.456978584284133 4 228 "GO:0010639" "negative regulation of organelle organization" 0.942719955273352
0 0.602625080480713 3 221 "GO:0010720" "positive regulation of cell development" 0.946624612717029
0 0.202066160128907 2 277 "GO:0010769" "regulation of cell morphogenesis involved in differentiation" 0.784914155432932
0 0.768196078165945 4 212 "GO:0010948" "negative regulation of cell cycle process" 0.946624612717029
0 0.396657241208161 4 569 "GO:0014070" "response to organic cyclic compound" 0.917613300683008
0 0.314851148129909 2 855 "GO:0015031" "protein transport" 0.844027364177879
0 0.0796842735912332 3 211 "GO:0016050" "vesicle organization" 0.743371954734039
0 0.569937148904902 5 223 "GO:0016055" "Wnt signaling pathway" 0.946624612717029
0 0.720280505480024 2 409 "GO:0016071;GO:0006397" "mRNA metabolic process" 0.946624612717029
0 0.15344955787639 2 252 "GO:0016197" "endosomal transport" 0.778016179408363
0 0.139771271441471 5 693 "GO:0016310" "phosphorylation" 0.778016179408363
0 0.0793572885478978 3 611 "GO:0016482" "cytoplasmic transport" 0.743371954734039
0 0.686177937011955 8 659 "GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.946624612717029
