"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.49251553722651 2 454 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.762238030287486
0 0.523824273434762 2 265 "GO:0000226" "microtubule cytoskeleton organization" 0.784379352448944
0 0.0235150329397087 5 284 "GO:0000904;GO:0000902" "cell morphogenesis" 0.21557601322344
0 0.559116830305596 3 222 "GO:0001101" "response to acid" 0.824412061011823
0 0.0227116408472233 3 226 "GO:0001525" "angiogenesis" 0.21557601322344
0 0.0505044822177268 4 270 "GO:0001558" "regulation of cell growth" 0.297873374712715
0 0.182786264515695 2 393 "GO:0001775;GO:0045321" "cell activation" 0.549354669781112
0 0.189518552429897 2 285 "GO:0001817" "regulation of cytokine production" 0.550050781618662
0 0.426581797790817 2 726 "GO:0001932" "regulation of protein phosphorylation" 0.716756625357826
0 0.816603611311277 4 224 "GO:0001933" "negative regulation of protein phosphorylation" 0.948212865915602
0 0.663606334496938 3 474 "GO:0001934" "positive regulation of protein phosphorylation" 0.893090071977483
0 0.493212843127197 4 381 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.762238030287486
0 0.508311343566841 2 311 "GO:0002252" "immune effector process" 0.773430431689019
0 0.184385477400581 1 778 "GO:0002376" "immune system process" 0.549354669781112
0 0.10601965183137 3 646 "GO:0002682" "regulation of immune system process" 0.425551102489805
0 0.193263769073504 4 330 "GO:0002684" "positive regulation of immune system process" 0.550050781618662
0 0.408313979548647 2 243 "GO:0002694;GO:0050865" "regulation of cell activation" 0.699953783367787
0 0.289722166091203 4 288 "GO:0003002" "regionalization" 0.641131785957506
0 0.534660933439003 2 440 "GO:0003006" "developmental process involved in reproduction" 0.79239492186601
0 0.149428445855298 3 806 "GO:0003008" "system process" 0.485222706204282
0 0.861950290923161 2 381 "GO:0005975;GO:0044723" "carbohydrate metabolic process" 0.95809090029536
0 0.981312167425941 2 324 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 0.994407099821376
0 0.681440165612761 2 607 "GO:0006259" "DNA metabolic process" 0.895164581191309
0 0.740114845026519 4 366 "GO:0006281" "DNA repair" 0.925944546375169
0 0.829312390765147 2 477 "GO:0006325;GO:0016568" "chromatin organization" 0.948212865915602
0 0.596198472268571 6 330 "GO:0006366" "transcription from RNA polymerase II promoter" 0.836414361580665
0 0.960411059221795 2 654 "GO:0006396" "RNA processing" 0.988738106402361
0 0.372715082213777 4 213 "GO:0006417" "regulation of translation" 0.682320846285981
0 0.636795033933703 2 769 "GO:0006461" "protein complex assembly" 0.864008285478123
0 0.290240047170927 2 495 "GO:0006468" "protein phosphorylation" 0.641131785957506
0 0.329587749777413 2 742 "GO:0006508" "proteolysis" 0.654200525970349
0 0.806415334279601 2 414 "GO:0006511;GO:0019941;GO:0051603;GO:0043632" "proteolysis involved in cellular protein catabolic process" 0.948212865915602
0 0.482303002352031 2 257 "GO:0006520" "cellular amino acid metabolic process" 0.759203545935236
0 0.893937760116254 2 647 "GO:0006629;GO:0044255" "lipid metabolic process" 0.967595553084635
0 0.968210671667364 3 303 "GO:0006753;GO:0009117;GO:0055086" "nucleobase-containing small molecule metabolic process" 0.988738106402361
0 0.866205039868663 2 603 "GO:0006811" "ion transport" 0.959131251042313
0 0.827629894021748 2 422 "GO:0006812;GO:0030001" "cation transport" 0.948212865915602
0 0.730091366068242 2 230 "GO:0006820" "anion transport" 0.925845002605032
0 0.081040915122316 2 247 "GO:0006874;GO:0055074;GO:0072503;GO:0072507" "divalent inorganic cation homeostasis" 0.371759118576973
0 0.267293956631694 2 328 "GO:0006875;GO:0055065" "metal ion homeostasis" 0.620577954287185
0 0.0917640150952725 3 441 "GO:0006886" "intracellular protein transport" 0.395817915858713
0 0.836937963382779 3 287 "GO:0006887" "exocytosis" 0.948212865915602
0 0.0315989081729593 4 373 "GO:0006897" "endocytosis" 0.228302111549631
0 0.309463239368267 2 524 "GO:0006915;GO:0012501;GO:0008219;GO:0016265" "cell death" 0.643416375377188
0 0.0255133453036538 3 466 "GO:0006952" "defense response" 0.223435054325938
0 0.0353216366930911 2 337 "GO:0006955" "immune response" 0.231998931915985
0 0.842707453763148 2 537 "GO:0006974" "cellular response to DNA damage stimulus" 0.948212865915602
0 0.0490802769332358 2 269 "GO:0006979" "response to oxidative stress" 0.295504167368857
0 0.50848367481285 3 213 "GO:0007005" "mitochondrion organization" 0.773430431689019
0 0.034375654479386 3 583 "GO:0007010" "cytoskeleton organization" 0.231998931915985
0 0.676295397574738 2 452 "GO:0007017" "microtubule-based process" 0.895164581191309
0 0.730424431120925 2 203 "GO:0007018" "microtubule-based movement" 0.925845002605032
0 0.318404323933898 2 691 "GO:0007049" "cell cycle" 0.647112163256353
0 0.19199420052625 2 576 "GO:0007154" "cell communication" 0.550050781618662
0 0.000267906721243255 2 516 "GO:0007155;GO:0022610" "biological adhesion" 0.0201779852021634
0 0.084132300066801 2 394 "GO:0007169;GO:0007167" "enzyme linked receptor protein signaling pathway" 0.374038924148212
0 0.485995349474113 4 355 "GO:0007186" "G-protein coupled receptor signaling pathway" 0.759203545935236
0 0.582156089041609 3 377 "GO:0007267;GO:0044700;GO:0023052" "signaling" 0.832886681846658
0 0.496991710366289 2 211 "GO:0007268" "synaptic transmission" 0.763992576041795
0 0.377850703853965 5 331 "GO:0007283;GO:0048232;GO:0007276" "gamete generation" 0.682320846285981
0 0.230673266029757 2 431 "GO:0007346" "regulation of mitotic cell cycle" 0.579691946805215
0 0.211838209143578 2 425 "GO:0007389" "pattern specification process" 0.556496875339759
0 0.0100613658109438 2 412 "GO:0007399" "nervous system development" 0.138678946678087
0 0.433950678663906 2 224 "GO:0007411;GO:0097485" "neuron projection guidance" 0.724923388057045
0 0.984084534771327 2 261 "GO:0007420" "brain development" 0.994407099821376
0 0.235730148339954 2 253 "GO:0007507" "heart development" 0.58072774882716
0 0.688552668506667 3 378 "GO:0007600" "sensory perception" 0.90041502804718
0 0.293594405519369 2 496 "GO:0007610;GO:0044708" "behavior" 0.641131785957506
0 0.408313979548647 4 243 "GO:0007611;GO:0050890" "cognition" 0.699953783367787
0 0.587150658858248 3 628 "GO:0008104;GO:0033036;GO:0051179;GO:0051641" "localization" 0.833118324964391
0 0.110914525548781 2 473 "GO:0008283" "cell proliferation" 0.4272494689393
0 0.466668086432497 3 496 "GO:0008284" "positive regulation of cell proliferation" 0.753447357424534
0 0.383078520620588 3 403 "GO:0008285" "negative regulation of cell proliferation" 0.682320846285981
0 0.754817902902774 2 290 "GO:0008380" "RNA splicing" 0.936233364544642
0 0.968049090312197 2 335 "GO:0008610" "lipid biosynthetic process" 0.988738106402361
0 0.449277540827413 3 395 "GO:0009118;GO:0033121;GO:0030811;GO:1900542;GO:0006140" "regulation of nucleotide metabolic process" 0.741949767423556
0 0.475837184588517 3 377 "GO:0009314" "response to radiation" 0.759203545935236
0 0.425324468711202 4 270 "GO:0009416" "response to light stimulus" 0.716756625357826
0 0.0104459635400906 2 336 "GO:0009611" "response to wounding" 0.138678946678087
0 0.120672535924567 2 857 "GO:0009628" "response to abiotic stimulus" 0.435929536027498
0 0.0398839485886277 3 548 "GO:0009725" "response to hormone" 0.256143580935853
0 0.763903914822401 4 238 "GO:0009792;GO:0009790" "embryo development" 0.939439282483719
0 0.775333016735207 3 430 "GO:0009887" "organ morphogenesis" 0.944236012998108
0 0.0270726813124766 2 448 "GO:0009888" "tissue development" 0.223542997123021
0 0.932331841302837 2 208 "GO:0009896" "positive regulation of catabolic process" 0.988738106402361
0 0.205287743770619 2 880 "GO:0009967" "positive regulation of signal transduction" 0.550050781618662
0 0.780873380991515 2 825 "GO:0009968;GO:0010648;GO:0023057" "negative regulation of cell communication" 0.944236012998108
0 0.0306473986076639 3 392 "GO:0010035" "response to inorganic substance" 0.228256587519413
0 0.0646527419794483 4 279 "GO:0010038" "response to metal ion" 0.333654329143939
0 0.0807479801296493 2 607 "GO:0010243;GO:1901698" "response to nitrogen compound" 0.371759118576973
0 0.303736982941935 2 499 "GO:0010564" "regulation of cell cycle process" 0.641131785957506
0 0.126892365309604 2 459 "GO:0010608" "posttranscriptional regulation of gene expression" 0.450171333437173
0 0.0308027920873949 2 352 "GO:0010638" "positive regulation of organelle organization" 0.228256587519413
0 0.0837852905506185 2 228 "GO:0010639" "negative regulation of organelle organization" 0.374038924148212
0 0.00898944045975788 2 221 "GO:0010720" "positive regulation of cell development" 0.138678946678087
0 0.000158794783028517 3 277 "GO:0010769" "regulation of cell morphogenesis involved in differentiation" 0.0201779852021634
0 0.770334311787859 2 212 "GO:0010948" "negative regulation of cell cycle process" 0.943333119096149
0 0.303927524831067 4 569 "GO:0014070" "response to organic cyclic compound" 0.641131785957506
0 0.0442541777805536 2 855 "GO:0015031" "protein transport" 0.272116114437872
0 0.155053126030912 3 211 "GO:0016050" "vesicle organization" 0.489991331878599
0 0.0727893984486589 3 223 "GO:0016055" "Wnt signaling pathway" 0.356544680536651
0 0.407662790460039 2 409 "GO:0016071;GO:0006397" "mRNA metabolic process" 0.699953783367787
0 0.0290428516468541 2 252 "GO:0016197" "endosomal transport" 0.228256587519413
0 0.634830235730219 2 693 "GO:0016310" "phosphorylation" 0.864008285478123
0 0.0160644059847937 4 611 "GO:0016482" "cytoplasmic transport" 0.178562051138668
0 0.60687436600341 2 659 "GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.843205248918199
0 0.819188435158095 2 309 "GO:0016570;GO:0016569" "covalent chromatin modification" 0.948212865915602
0 0.565709783179717 3 572 "GO:0018193" "peptidyl-amino acid modification" 0.825707713833021
0 0.876723552032678 2 214 "GO:0019216" "regulation of lipid metabolic process" 0.967072925715435
0 0.348941518374139 2 278 "GO:0019439;GO:1901361;GO:0044270;GO:0046700" "organic cyclic compound catabolic process" 0.66060863293
0 0.960482104452123 3 538 "GO:0019637" "organophosphate metabolic process" 0.988738106402361
0 0.416701755131387 3 459 "GO:0019725" "cellular homeostasis" 0.708392983723358
0 0.954091368342522 4 559 "GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 0.988738106402361
0 0.594490494336283 2 705 "GO:0022402" "cell cycle process" 0.836414361580665
0 0.704604535144915 2 251 "GO:0022412" "cellular process involved in reproduction in multicellular organism" 0.912054662309429
0 0.113240698273445 1 807 "GO:0022414;GO:0044702" "reproductive process" 0.4272494689393
0 0.00228142715767877 4 697 "GO:0022603" "regulation of anatomical structure morphogenesis" 0.0599393135062877
0 0.00048249270656386 2 403 "GO:0022604" "regulation of cell morphogenesis" 0.0232400653661593
0 0.408893495360022 2 457 "GO:0030003;GO:0006873;GO:0055080;GO:0050801;GO:0055082" "ion homeostasis" 0.699953783367787
0 0.148961657990938 2 715 "GO:0030030" "cell projection organization" 0.485222706204282
0 0.011036732780609 2 281 "GO:0030036;GO:0030029" "actin filament-based process" 0.138678946678087
0 0.320197367978057 3 249 "GO:0030111" "regulation of Wnt signaling pathway" 0.647112163256353
0 0.00161530499901147 2 271 "GO:0030155" "regulation of cell adhesion" 0.0497638886279909
0 0.0789068088373181 2 246 "GO:0030182" "neuron differentiation" 0.371759118576973
0 0.0103051977440902 4 654 "GO:0030334;GO:2000145;GO:0040012;GO:0051270" "regulation of locomotion" 0.138678946678087
0 0.192948149843215 3 352 "GO:0030335;GO:2000147;GO:0040017;GO:0051272" "positive regulation of locomotion" 0.550050781618662
0 0.0727261633486673 2 243 "GO:0030855" "epithelial cell differentiation" 0.356544680536651
0 0.749791750282839 2 760 "GO:0031329;GO:0009894" "regulation of catabolic process" 0.93400782686095
0 0.235008994836747 3 275 "GO:0031346" "positive regulation of cell projection organization" 0.58072774882716
0 0.384838401192439 5 309 "GO:0031347" "regulation of defense response" 0.682320846285981
0 0.954710654504289 3 320 "GO:0031400" "negative regulation of protein modification process" 0.988738106402361
0 0.295648295558775 2 381 "GO:0031667;GO:0009991" "response to extracellular stimulus" 0.641131785957506
0 0.199868383474753 2 266 "GO:0031669;GO:0042594;GO:0031668" "cellular response to extracellular stimulus" 0.550050781618662
0 0.0967880258770437 4 487 "GO:0032101" "regulation of response to external stimulus" 0.405387528673415
0 0.626804250137209 6 209 "GO:0032147" "activation of protein kinase activity" 0.858513878150016
0 0.670599213361917 2 476 "GO:0032269;GO:0051248" "negative regulation of protein metabolic process" 0.893102178164028
0 0.826106636668321 4 821 "GO:0032270;GO:0051247" "positive regulation of protein metabolic process" 0.948212865915602
0 0.161600225422365 2 320 "GO:0032386" "regulation of intracellular transport" 0.491604896284879
0 0.887169736308848 2 248 "GO:0032787" "monocarboxylic acid metabolic process" 0.967517184125498
0 0.257722649762141 3 303 "GO:0032844" "regulation of homeostatic process" 0.615552444473213
0 0.0151685672132233 2 309 "GO:0032870" "cellular response to hormone stimulus" 0.178562051138668
0 0.0238700083846023 4 443 "GO:0032880" "regulation of protein localization" 0.21557601322344
0 0.0520640109637698 2 212 "GO:0032970" "regulation of actin filament-based process" 0.298062187336576
0 0.141429646818645 2 666 "GO:0032989" "cellular component morphogenesis" 0.475269394541726
0 0.0154558860649876 2 819 "GO:0033043" "regulation of organelle organization" 0.178562051138668
0 0.158714779556704 2 212 "GO:0033044" "regulation of chromosome organization" 0.489991331878599
0 0.052599209529984 4 456 "GO:0033993" "response to lipid" 0.298062187336576
0 0.341222713912341 2 346 "GO:0034097;GO:0071345" "response to cytokine" 0.657422428804444
0 0.951000422262323 2 378 "GO:0034220" "ion transmembrane transport" 0.988738106402361
0 0.779491163025964 6 351 "GO:0034470;GO:0034660" "ncRNA metabolic process" 0.944236012998108
0 0.562514631523249 3 447 "GO:0034613;GO:0070727" "cellular macromolecule localization" 0.825211819848827
0 0.898620181849755 2 512 "GO:0034622" "cellular macromolecular complex assembly" 0.967951579032568
