"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.865433139968266 2 360 "GO:0000977;GO:0000976;GO:0001012" "transcription regulatory region sequence-specific DNA binding" 0.995026996021823
0 0.720940066694611 7 239 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.995026996021823
0 0.890851259308208 2 532 "GO:0000981;GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.995026996021823
0 0.940873532370046 2 339 "GO:0000989;GO:0000988;GO:0003712" "protein binding transcription factor activity" 0.995026996021823
0 0.448985133762233 2 398 "GO:0003682" "chromatin binding" 0.991508837058265
0 0.111001837706109 4 277 "GO:0003779" "actin binding" 0.392206493228252
0 0.0272478352072595 2 226 "GO:0004175" "endopeptidase activity" 0.174253306996864
0 0.539863312370276 2 325 "GO:0004674" "protein serine/threonine kinase activity" 0.995026996021823
0 0.655910061711961 2 353 "GO:0004842;GO:0019787;GO:0016881;GO:0016879" "ligase activity, forming carbon-nitrogen bonds" 0.995026996021823
0 0.000514125986337279 2 408 "GO:0004888" "transmembrane signaling receptor activity" 0.0136243386379379
0 0.176665579243802 4 222 "GO:0004930" "G-protein coupled receptor activity" 0.545201233166934
0 0.168771528604958 1 201 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.545201233166934
0 0.0400264643055075 3 747 "GO:0005102" "receptor binding" 0.21214026081919
0 0.00709029342660084 1 410 "GO:0005198" "structural molecule activity" 0.0626309252683074
0 0.995026996021823 2 223 "GO:0005216;GO:0022838;GO:0015267;GO:0022803" "passive transmembrane transporter activity" 0.995026996021823
0 0.00311045926365787 4 541 "GO:0005509" "calcium ion binding" 0.0412135852434668
0 0.761651808720493 3 222 "GO:0005525;GO:0032561;GO:0019001" "guanyl ribonucleotide binding" 0.995026996021823
0 0.603415212523529 2 323 "GO:0005543" "phospholipid binding" 0.995026996021823
0 0.874350040078518 2 327 "GO:0008047" "enzyme activator activity" 0.995026996021823
0 0.00188216385780547 2 680 "GO:0008092" "cytoskeletal protein binding" 0.0332515614878966
0 0.93785852297025 2 362 "GO:0008134" "transcription factor binding" 0.995026996021823
0 0.185162682962355 6 547 "GO:0008270" "zinc ion binding" 0.545201233166934
0 0.909760042942953 2 481 "GO:0008289" "lipid binding" 0.995026996021823
0 0.845175892131805 2 296 "GO:0008324;GO:0046873;GO:0022890" "cation transmembrane transporter activity" 0.995026996021823
0 0.946784784491207 4 476 "GO:0015075;GO:0022891;GO:0022857" "transmembrane transporter activity" 0.995026996021823
0 0.0535076837548705 2 249 "GO:0015631" "tubulin binding" 0.236325603250678
0 0.0513810067654113 3 567 "GO:0016301;GO:0004672;GO:0016773" "kinase activity" 0.236325603250678
0 0.952642533545439 2 516 "GO:0016491" "oxidoreductase activity" 0.995026996021823
0 0.00953014483270671 2 692 "GO:0016772" "transferase activity, transferring phosphorus-containing groups" 0.0721568108762079
0 0.471070629962652 3 455 "GO:0016788" "hydrolase activity, acting on ester bonds" 0.995026996021823
0 0.852792156904581 2 415 "GO:0016874" "ligase activity" 0.995026996021823
0 0.809065528011077 2 265 "GO:0016887" "ATPase activity" 0.995026996021823
0 0.0295901842070147 2 292 "GO:0017016;GO:0031267;GO:0051020" "GTPase binding" 0.174253306996864
0 0.847442252684956 4 506 "GO:0017111;GO:0016462;GO:0016818;GO:0016817" "hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides" 0.995026996021823
0 0.0644383123525716 2 466 "GO:0019901;GO:0019900" "kinase binding" 0.25955699537508
0 0.00499524816664291 3 514 "GO:0019904" "protein domain specific binding" 0.0529496305664149
0 0.933663403541935 2 587 "GO:0022892;GO:0005215" "transporter activity" 0.995026996021823
0 0.744177088383852 1 593 "GO:0030234" "enzyme regulator activity" 0.995026996021823
0 0.938011511440082 3 238 "GO:0030695;GO:0060589" "nucleoside-triphosphatase regulator activity" 0.995026996021823
0 0.669986535116841 5 232 "GO:0031625;GO:0044389" "small conjugating protein ligase binding" 0.995026996021823
0 0.0685622251934173 2 577 "GO:0032403" "protein complex binding" 0.25955699537508
0 0.870629537296321 3 218 "GO:0035091" "phosphatidylinositol binding" 0.995026996021823
0 0.000215055911740779 2 590 "GO:0038023;GO:0004871;GO:0004872;GO:0060089" "receptor activity" 0.0113979633222613
0 0.241496345646056 4 212 "GO:0042578" "phosphoric ester hydrolase activity" 0.609490777106713
0 0.286608170061022 2 591 "GO:0042803" "protein homodimerization activity" 0.690465136965189
0 0.985414858573613 2 553 "GO:0043565" "sequence-specific DNA binding" 0.995026996021823
0 0.881505860967472 6 447 "GO:0044212;GO:0000975;GO:0001067" "regulatory region nucleic acid binding" 0.995026996021823
0 0.303056961936313 5 731 "GO:0046914" "transition metal ion binding" 0.69834865141846
0 0.91876987504089 2 305 "GO:0046982" "protein heterodimerization activity" 0.995026996021823
0 0.601596716616973 3 848 "GO:0046983" "protein dimerization activity" 0.995026996021823
0 0.969103164394642 2 202 "GO:0048037" "cofactor binding" 0.995026996021823
0 0.200873958012216 3 276 "GO:0050839" "cell adhesion molecule binding" 0.557788428390742
0 0.210486199392733 4 379 "GO:0070011;GO:0008233" "peptidase activity" 0.557788428390742
