GO:0016887	GO:0005509	GO:0031625;GO:0044389	GO:0005198	GO:0015075;GO:0022891;GO:0022857	GO:0042578	GO:0008134	GO:0019901;GO:0019900	GO:0008092	GO:0019904	GO:0016301;GO:0004672;GO:0016773	GO:0000989;GO:0000988;GO:0003712	GO:0046914	GO:0004888	GO:0008047	GO:0005102	GO:0038023;GO:0004871;GO:0004872;GO:0060089	GO:0005085	GO:0017016;GO:0031267;GO:0051020	GO:0000981;GO:0003700;GO:0001071	GO:0008270	GO:0016491	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0070011;GO:0008233	GO:0005525;GO:0032561;GO:0019001	GO:0030695;GO:0060589	GO:0005543	GO:0050839	GO:0016788	GO:0043565	GO:0044212;GO:0000975;GO:0001067	GO:0008324;GO:0046873;GO:0022890	GO:0046983	GO:0004930	GO:0008289	GO:0004175	GO:0016772	GO:0005216;GO:0022838;GO:0015267;GO:0022803	GO:0003779	GO:0000977;GO:0000976;GO:0001012	GO:0000978;GO:0000987;GO:0001159	GO:0048037	GO:0015631	GO:0035091	GO:0016874	GO:0032403	GO:0030234	GO:0022892;GO:0005215	GO:0046982	GO:0042803	GO:0004674	GO:0004842;GO:0019787;GO:0016881;GO:0016879	GO:0003682
0	0.943	0.991	0.992	0.845	1.000	0.943	0.958	0.770	0.962	0.940	0.947	0.932	0.989	0.955	0.921	0.985	0.995	0.958	0.977	0.958	0.981	0.000	0.981	0.995	0.983	0.936	0.958	0.955	0.909	0.947	0.928	0.898	1.000	0.932	0.978	0.940	1.000	0.921	0.958	0.962	1.000	0.823	0.936	0.985	0.766	0.943	0.819	0.992	0.906	0.958	0.985	0.887
0.943	0	0.974	0.820	0.908	0.910	0.994	0.895	0.863	0.938	0.928	0.988	0.895	0.814	0.920	0.839	0.778	0.915	0.942	0.992	0.924	0.938	0.955	0.860	0.964	0.945	0.796	0.790	0.947	0.994	0.993	0.872	0.852	0.815	0.838	0.792	0.926	0.857	0.877	0.992	0.987	0.990	0.896	0.876	0.995	0.847	0.898	0.898	0.915	0.882	0.914	0.994	0.950
0.991	0.974	0	0.978	0.978	0.976	0.892	0.754	0.871	0.759	0.901	0.940	0.858	0.927	0.931	0.733	0.905	0.985	0.944	0.944	0.862	0.978	0.957	0.931	0.959	0.953	0.970	0.953	0.970	0.914	0.922	0.991	0.759	0.968	0.944	0.951	0.897	0.978	0.974	0.944	0.961	0.990	0.927	0.982	0.767	0.922	0.849	0.974	0.897	0.823	0.918	0.767	0.944
0.992	0.820	0.978	0	0.990	0.991	0.970	0.866	0.680	0.863	0.905	0.979	0.951	0.946	0.945	0.759	0.907	0.905	0.935	0.990	0.968	0.932	0.976	0.966	0.950	0.962	0.920	0.772	0.995	0.988	0.990	0.993	0.900	0.986	0.922	0.969	0.902	0.982	0.722	0.994	0.996	0.980	0.904	0.931	0.983	0.756	0.905	0.973	0.948	0.917	0.905	0.980	0.975
0.845	0.908	0.978	0.990	0	0.995	0.994	0.961	0.947	0.937	0.992	0.988	0.964	0.892	0.988	0.929	0.897	0.970	0.969	0.994	0.975	0.950	0.910	0.995	0.968	0.987	0.938	0.967	0.998	0.994	0.998	0.000	0.884	0.959	0.945	0.996	0.992	0.000	0.971	0.997	0.996	1.000	0.996	0.940	0.998	0.971	0.987	0.000	0.948	0.914	0.994	0.997	0.995
1.000	0.910	0.976	0.991	0.995	0	0.986	0.844	0.962	0.925	0.939	0.981	0.901	0.920	0.962	0.901	0.915	0.965	0.986	1.000	0.943	0.986	0.962	0.995	0.972	0.972	0.943	0.934	0.000	0.995	1.000	0.995	0.863	0.981	0.929	1.000	0.934	0.995	0.986	1.000	1.000	1.000	0.986	0.958	0.995	0.929	0.896	0.995	0.991	0.873	0.981	0.995	0.995
0.943	0.994	0.892	0.970	0.994	0.986	0	0.845	0.890	0.812	0.920	0.572	0.917	0.992	0.948	0.768	0.901	1.000	0.976	0.580	0.923	0.978	0.948	0.989	1.000	0.979	0.978	0.960	0.967	0.555	0.550	1.000	0.715	0.995	0.967	0.987	0.914	0.991	0.949	0.639	0.607	0.965	0.976	0.977	0.964	0.909	0.923	0.994	0.754	0.851	0.920	0.966	0.713
0.958	0.895	0.754	0.866	0.961	0.844	0.845	0	0.745	0.777	0.758	0.947	0.906	0.919	0.817	0.770	0.876	0.915	0.842	0.940	0.916	0.987	0.929	0.974	0.923	0.878	0.901	0.844	0.903	0.914	0.902	0.949	0.798	0.950	0.897	0.969	0.753	0.937	0.841	0.914	0.900	0.980	0.835	0.894	0.923	0.800	0.753	0.955	0.908	0.854	0.735	0.918	0.920
0.770	0.863	0.871	0.680	0.947	0.962	0.890	0.745	0	0.770	0.892	0.959	0.949	0.953	0.893	0.844	0.932	0.861	0.743	0.972	0.938	0.979	0.781	0.984	0.883	0.912	0.817	0.703	0.971	0.967	0.960	0.919	0.829	0.950	0.844	1.000	0.906	0.906	0.000	0.958	0.958	0.975	0.000	0.798	0.904	0.432	0.897	0.944	0.849	0.838	0.846	0.887	0.950
0.962	0.938	0.759	0.863	0.937	0.925	0.812	0.777	0.770	0	0.909	0.912	0.903	0.904	0.850	0.716	0.891	0.891	0.863	0.895	0.909	0.981	0.945	0.950	0.905	0.840	0.814	0.808	0.945	0.875	0.866	0.939	0.805	0.919	0.834	0.938	0.907	0.892	0.769	0.856	0.862	0.980	0.912	0.789	0.937	0.844	0.825	0.922	0.866	0.858	0.898	0.926	0.922
