delta.rank	pval	level	nseqs	term	name	p.adj
32	0	0.000120108553843833	1	835	GO:0030054	cell junction	0.00756683889216148
28	0	0.00269826555298221	2	518	GO:0016023	cytoplasmic membrane-bounded vesicle	0.0621997580477672
4	0	0.00333155361750401	1	833	GO:0005576	extracellular region	0.0621997580477672
55	0	0.00394919098715982	1	530	GO:0045202	synapse	0.0621997580477672
44	0	0.00608872568221577	2	798	GO:0043005	neuron projection	0.0767179435959187
21	0	0.00770861466239701	2	311	GO:0005911	cell-cell junction	0.0809404539551686
53	0	0.0105545056487984	2	903	GO:0044463	cell projection part	0.0949905508391856
22	0	0.0148989648315214	2	275	GO:0005912;GO:0070161	anchoring junction	0.110986066306608
40	0	0.0158551523295155	2	841	GO:0031410	cytoplasmic vesicle	0.110986066306608
13	0	0.0247617665490631	3	253	GO:0005769	early endosome	0.13845977361605
12	0	0.0256075396770785	2	661	GO:0005768	endosome	0.13845977361605
26	0	0.0263732902125809	4	367	GO:0010008;GO:0044440	endosomal part	0.13845977361605
59	0	0.0287024008458139	3	626	GO:0070062;GO:0065010;GO:0043230	extracellular membrane-bounded organelle	0.13909625025279
33	0	0.0344773098304466	3	226	GO:0030135	coated vesicle	0.15514789423701
38	0	0.0697283345006887	3	287	GO:0031253	cell projection membrane	0.28310970488057
35	0	0.071900877429986	3	387	GO:0030425	dendrite	0.28310970488057
56	0	0.093471646733071	3	201	GO:0045211	postsynaptic membrane	0.321906356320939
37	0	0.0936062572092394	4	564	GO:0030659;GO:0012506;GO:0044433	cytoplasmic vesicle part	0.321906356320939
1	0	0.0970828693666324	3	587	GO:0000139;GO:0044431	Golgi apparatus part	0.321906356320939
5	0	0.104745474492218	2	508	GO:0005615	extracellular space	0.329948244650487
