delta.rank	pval	level	nseqs	term	name	p.adj
23	0	0.00394007618397554	2	481	GO:0008289	lipid binding	0.208824037750704
41	0	0.0131678263832194	3	577	GO:0032403	protein complex binding	0.215148908980699
26	0	0.019694479245208	4	249	GO:0015631	tubulin binding	0.215148908980699
49	0	0.0197855765445001	2	305	GO:0046982	protein heterodimerization activity	0.215148908980699
52	0	0.0214645506853312	2	276	GO:0050839	cell adhesion molecule binding	0.215148908980699
20	0	0.0243564802619659	3	680	GO:0008092	cytoskeletal protein binding	0.215148908980699
16	0	0.031942686484032	2	541	GO:0005509	calcium ion binding	0.241851769093385
33	0	0.0428984623305283	2	292	GO:0017016;GO:0031267;GO:0051020	GTPase binding	0.262896276432565
18	0	0.0446427639225111	2	323	GO:0005543	phospholipid binding	0.262896276432565
27	0	0.0568221191489696	4	567	GO:0016301;GO:0004672;GO:0016773	kinase activity	0.278580505908811
6	0	0.0578185955659796	2	277	GO:0003779	actin binding	0.278580505908811
39	0	0.0717109130029247	3	238	GO:0030695;GO:0060589	nucleoside-triphosphatase regulator activity	0.316723199096251
19	0	0.1471912166491	2	327	GO:0008047	enzyme activator activity	0.539354560555267
42	0	0.150112085539176	3	218	GO:0035091	phosphatidylinositol binding	0.539354560555267
38	0	0.152647517138283	1	593	GO:0030234	enzyme regulator activity	0.539354560555267
2	0	0.204646054778795	4	239	GO:0000978;GO:0000987;GO:0001159	core promoter proximal region DNA binding	0.677890056454758
50	0	0.240823538605557	2	848	GO:0046983	protein dimerization activity	0.726615431212952
8	0	0.276634338804233	3	325	GO:0004674	protein serine/threonine kinase activity	0.726615431212952
36	0	0.278601743118845	3	514	GO:0019904	protein domain specific binding	0.726615431212952
7	0	0.286974512918649	2	226	GO:0004175	endopeptidase activity	0.726615431212952
