"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.514847492891342 2 587 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.810884801303864
0 0.513014858520777 2 259 "GO:0000151" "ubiquitin ligase complex" 0.810884801303864
0 0.651023755470979 2 243 "GO:0000785" "chromatin" 0.858831451428487
0 0.872943905433908 1 833 "GO:0005576" "extracellular region" 0.982061893613146
0 0.804312146585247 2 508 "GO:0005615" "extracellular space" 0.974455100670588
0 0.981860047318724 2 598 "GO:0005622" "intracellular" 0.999091642786732
0 0.65389391431581 2 215 "GO:0005667" "transcription factor complex" 0.858831451428487
0 0.999091642786732 2 353 "GO:0005694" "chromosome" 0.999091642786732
0 0.44854911722089 3 630 "GO:0005730" "nucleolus" 0.763745794186921
0 0.170130755397778 2 316 "GO:0005743;GO:0019866" "organelle inner membrane" 0.535911879503001
0 0.889546405023218 2 233 "GO:0005765" "lysosomal membrane" 0.983182868709873
0 0.394168546808834 3 661 "GO:0005768" "endosome" 0.742563114902346
0 0.493254778175257 2 253 "GO:0005769" "early endosome" 0.810884801303864
0 0.614146064549122 2 409 "GO:0005773;GO:0005764;GO:0000323" "vacuole" 0.858831451428487
0 0.926344150450661 3 346 "GO:0005774;GO:0044437" "vacuolar part" 0.999091642786732
0 0.0333571268351022 2 596 "GO:0005789" "endoplasmic reticulum membrane" 0.30021414151592
0 0.863388361454308 2 390 "GO:0005813" "centrosome" 0.982061893613146
0 0.292066274820858 3 568 "GO:0005815" "microtubule organizing center" 0.65714911834693
0 0.372783670130457 3 287 "GO:0005874" "microtubule" 0.742563114902346
0 0.939421820975052 3 595 "GO:0005887" "integral component of plasma membrane" 0.999091642786732
0 0.028747554636443 2 311 "GO:0005911" "cell-cell junction" 0.30021414151592
0 0.0202502842253302 2 275 "GO:0005912;GO:0070161" "anchoring junction" 0.30021414151592
0 0.599511245037483 2 403 "GO:0005929" "cilium" 0.858831451428487
0 0.667980017777712 4 208 "GO:0005938" "cell cortex" 0.858831451428487
0 0.571666223849414 2 305 "GO:0009986" "cell surface" 0.857499335774121
0 0.117085771865912 3 367 "GO:0010008;GO:0044440" "endosomal part" 0.478078197251358
0 0.144172962831759 3 236 "GO:0014069" "postsynaptic density" 0.504605369911157
0 0.0205908899786161 2 518 "GO:0016023" "cytoplasmic membrane-bounded vesicle" 0.30021414151592
0 0.240445677873843 2 272 "GO:0016324" "apical plasma membrane" 0.605923108242084
0 0.309153836494477 2 532 "GO:0016604" "nuclear body" 0.67161005859145
0 0.260068694792859 5 288 "GO:0016607" "nuclear speck" 0.630166452767312
0 0.0555528545264499 1 835 "GO:0030054" "cell junction" 0.383671726144936
0 0.087931745260649 2 226 "GO:0030135" "coated vesicle" 0.461641662618407
0 0.220372808222478 2 374 "GO:0030424" "axon" 0.578480750782056
0 0.667809645774003 2 387 "GO:0030425" "dendrite" 0.858831451428487
0 0.646013772099934 2 523 "GO:0030529" "ribonucleoprotein complex" 0.858831451428487
0 0.0744639486239834 3 563 "GO:0030659;GO:0012506;GO:0044433" "cytoplasmic vesicle part" 0.426475342119178
0 0.0473497037951777 3 287 "GO:0031253" "cell projection membrane" 0.372878917387024
0 0.121416685016218 2 210 "GO:0031301" "integral component of organelle membrane" 0.478078197251358
0 0.015450262259072 2 841 "GO:0031410" "cytoplasmic vesicle" 0.30021414151592
0 0.846378697833654 3 237 "GO:0031965" "nuclear membrane" 0.982061893613146
0 0.0609002739912597 2 417 "GO:0031966" "mitochondrial membrane" 0.383671726144936
0 0.529215647987119 2 232 "GO:0033267" "axon part" 0.813185020077768
0 0.0978627855256702 2 798 "GO:0043005" "neuron projection" 0.474210192150292
0 0.692764373598332 2 404 "GO:0044297;GO:0043025" "cell body" 0.872883110733898
0 0.99046972910398 2 547 "GO:0044427" "chromosomal part" 0.999091642786732
0 0.0112195778956565 2 610 "GO:0044429" "mitochondrial part" 0.30021414151592
0 0.220373619345545 3 805 "GO:0044432" "endoplasmic reticulum part" 0.578480750782056
0 0.158476962236914 2 337 "GO:0044441" "ciliary part" 0.52547624320661
0 0.424321779944198 2 819 "GO:0044451" "nucleoplasm part" 0.742563114902346
0 0.991322132963721 3 289 "GO:0044454" "nuclear chromosome part" 0.999091642786732
0 0.391180194326767 1 513 "GO:0044456" "synapse part" 0.742563114902346
0 0.105380042700065 2 903 "GO:0044463" "cell projection part" 0.474210192150292
0 0.0316369719532578 2 215 "GO:0045121" "membrane raft" 0.30021414151592
0 0.419483497690552 1 530 "GO:0045202" "synapse" 0.742563114902346
0 0.820254697678783 3 201 "GO:0045211" "postsynaptic membrane" 0.975019734976667
0 0.184502088417275 4 504 "GO:0048471" "perinuclear region of cytoplasm" 0.553506265251825
0 0.404814388018567 2 539 "GO:0070013;GO:0043233;GO:0031974" "membrane-enclosed lumen" 0.742563114902346
0 0.208023291744309 2 625 "GO:0070062;GO:0065010;GO:0043230" "extracellular membrane-bounded organelle" 0.578480750782056
0 0.75120717934323 2 277 "GO:0097060" "synaptic membrane" 0.927961809776931
0 0.134740611670829 2 408 "GO:0098590" "plasma membrane region" 0.499332855015425
0 0.271250088712022 3 738 "GO:1902494" "catalytic complex" 0.632916873661385
0 0.362913108513063 2 279 "GO:1990234" "transferase complex" 0.742563114902346
