"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.207273307414127 3 587 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.887333436698708
0 0.329100890379625 2 259 "GO:0000151" "ubiquitin ligase complex" 0.912148359542371
0 0.938911520654657 4 244 "GO:0000785" "chromatin" 1
0 0.457231703182874 1 833 "GO:0005576" "extracellular region" 0.951307169138647
0 0.830423074281423 2 508 "GO:0005615" "extracellular space" 0.995949737691328
0 0.911989531374956 2 598 "GO:0005622" "intracellular" 1
0 0.915362046297685 2 216 "GO:0005667" "transcription factor complex" 1
0 0.763701525974795 2 353 "GO:0005694" "chromosome" 0.995949737691328
0 0.0458259263145824 2 630 "GO:0005730" "nucleolus" 0.577406671563738
0 0.474208948307221 2 316 "GO:0005743;GO:0019866" "organelle inner membrane" 0.951307169138647
0 1 2 233 "GO:0005765" "lysosomal membrane" 1
0 0.0619623462679377 2 661 "GO:0005768" "endosome" 0.596296936263708
0 0.0224664895515724 4 253 "GO:0005769" "early endosome" 0.353847210437265
0 0.679721920901107 4 409 "GO:0005773;GO:0005764;GO:0000323" "vacuole" 0.951307169138647
0 1 2 346 "GO:0005774;GO:0044437" "vacuolar part" 1
0 0.968641890983969 2 597 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.938031292868322 2 390 "GO:0005813" "centrosome" 1
0 0.619401238069219 4 568 "GO:0005815" "microtubule organizing center" 0.951307169138647
0 0.837862477740324 4 287 "GO:0005874" "microtubule" 0.995949737691328
0 0.219856040745825 2 596 "GO:0005887" "integral component of plasma membrane" 0.887333436698708
0 0.26760849678215 2 311 "GO:0005911" "cell-cell junction" 0.887333436698708
0 0.0864163203099836 3 275 "GO:0005912;GO:0070161" "anchoring junction" 0.604914242169885
0 0.668243402681051 3 403 "GO:0005929" "cilium" 0.951307169138647
0 0.20311143129684 2 208 "GO:0005938" "cell cortex" 0.887333436698708
0 0.25476025928926 2 305 "GO:0009986" "cell surface" 0.887333436698708
0 0.593847191353788 3 367 "GO:0010008;GO:0044440" "endosomal part" 0.951307169138647
0 0.495235168838148 4 236 "GO:0014069" "postsynaptic density" 0.951307169138647
0 0.00448447247191995 2 518 "GO:0016023" "cytoplasmic membrane-bounded vesicle" 0.282521765730957
0 0.0829729073950531 4 272 "GO:0016324" "apical plasma membrane" 0.604914242169885
0 0.55546876804092 5 533 "GO:0016604" "nuclear body" 0.951307169138647
0 0.221372434610421 2 289 "GO:0016607" "nuclear speck" 0.887333436698708
0 0.0204921785326465 1 835 "GO:0030054" "cell junction" 0.353847210437265
0 0.108053951375159 3 226 "GO:0030135" "coated vesicle" 0.618854448785002
0 0.609032334419049 3 374 "GO:0030424" "axon" 0.951307169138647
0 0.066255215140412 2 387 "GO:0030425" "dendrite" 0.596296936263708
0 0.370284784092818 2 524 "GO:0030529" "ribonucleoprotein complex" 0.951307169138647
0 0.445513795143002 3 564 "GO:0030659;GO:0012506;GO:0044433" "cytoplasmic vesicle part" 0.951307169138647
0 0.401015219805022 3 287 "GO:0031253" "cell projection membrane" 0.951307169138647
0 0.909253395577613 2 210 "GO:0031301" "integral component of organelle membrane" 1
0 0.0101793855979863 2 841 "GO:0031410" "cytoplasmic vesicle" 0.320650646336568
0 0.500918274264941 2 238 "GO:0031965" "nuclear membrane" 0.951307169138647
0 0.694605234609171 3 417 "GO:0031966" "mitochondrial membrane" 0.951307169138647
0 0.483777937262478 3 232 "GO:0033267" "axon part" 0.951307169138647
0 0.103973511783721 2 798 "GO:0043005" "neuron projection" 0.618854448785002
0 0.297209690352217 2 404 "GO:0044297;GO:0043025" "cell body" 0.912148359542371
0 0.872248514505179 2 548 "GO:0044427" "chromosomal part" 1
0 0.824738233614935 2 610 "GO:0044429" "mitochondrial part" 0.995949737691328
0 0.813285621765404 2 806 "GO:0044432" "endoplasmic reticulum part" 0.995949737691328
0 0.525209298698373 2 337 "GO:0044441" "ciliary part" 0.951307169138647
0 0.579080129758638 4 821 "GO:0044451" "nucleoplasm part" 0.951307169138647
0 0.964355370362388 4 290 "GO:0044454" "nuclear chromosome part" 1
0 0.689782518553457 1 513 "GO:0044456" "synapse part" 0.951307169138647
0 0.430328493761378 2 903 "GO:0044463" "cell projection part" 0.951307169138647
0 0.43386433928794 2 215 "GO:0045121" "membrane raft" 0.951307169138647
0 0.239258380426091 1 530 "GO:0045202" "synapse" 0.887333436698708
0 0.663179244764281 2 201 "GO:0045211" "postsynaptic membrane" 0.951307169138647
0 0.333006543959913 2 504 "GO:0048471" "perinuclear region of cytoplasm" 0.912148359542371
0 0.566761243987637 3 539 "GO:0070013;GO:0043233;GO:0031974" "membrane-enclosed lumen" 0.951307169138647
0 0.263881765637559 3 626 "GO:0070062;GO:0065010;GO:0043230" "extracellular membrane-bounded organelle" 0.887333436698708
0 0.822785109812993 2 277 "GO:0097060" "synaptic membrane" 0.995949737691328
0 0.305130686920284 2 408 "GO:0098590" "plasma membrane region" 0.912148359542371
0 0.594433560995995 3 739 "GO:1902494" "catalytic complex" 0.951307169138647
0 0.827433492213587 2 280 "GO:1990234" "transferase complex" 0.995949737691328
