GO:0010008;GO:0044440	GO:0031966	GO:1902494	GO:0005938	GO:0031965	GO:0005694	GO:0031253	GO:0005622	GO:0045202	GO:0031301	GO:0005730	GO:0070013;GO:0043233;GO:0031974	GO:0044454	GO:0005615	GO:0005773;GO:0005764;GO:0000323	GO:1990234	GO:0030424	GO:0045211	GO:0000785	GO:0005667	GO:0048471	GO:0030425	GO:0044441	GO:0044427	GO:0016604	GO:0044432	GO:0030054	GO:0005815	GO:0030659;GO:0012506;GO:0044433	GO:0005929	GO:0005813	GO:0005887	GO:0005912;GO:0070161	GO:0030135	GO:0016324	GO:0005789	GO:0005769	GO:0005765	GO:0097060	GO:0005768	GO:0033267	GO:0044463	GO:0000139;GO:0044431	GO:0016023	GO:0044429	GO:0005874	GO:0005911	GO:0044451	GO:0044297;GO:0043025	GO:0045121	GO:0005743;GO:0019866	GO:0005774;GO:0044437	GO:0000151	GO:0014069	GO:0043005	GO:0070062;GO:0065010;GO:0043230	GO:0009986	GO:0031410	GO:0005576	GO:0016607	GO:0030529	GO:0044456	GO:0098590
0	0.962	0.973	0.962	0.971	0.994	0.864	0.932	0.875	0.938	0.962	0.896	1.000	0.918	0.662	0.986	0.886	0.945	0.996	0.991	0.837	0.880	0.976	0.995	0.970	0.861	0.831	0.929	0.719	0.970	0.965	0.886	0.949	0.730	0.879	0.869	0.542	0.567	0.935	0.109	0.897	0.779	0.733	0.706	0.954	0.958	0.907	0.967	0.902	0.819	0.968	0.656	0.988	0.924	0.782	0.782	0.882	0.564	0.864	0.986	0.992	0.828	0.891
0.962	0	0.921	0.986	0.945	0.989	0.972	0.930	0.952	0.790	0.957	0.844	0.997	0.976	0.958	0.989	0.963	0.980	0.992	0.986	0.952	0.969	0.988	0.988	0.969	0.890	0.947	0.990	0.952	0.995	0.992	0.976	0.982	0.965	0.993	0.899	0.972	0.957	0.982	0.952	0.961	0.945	0.957	0.952	0.000	0.983	0.990	0.966	0.933	0.907	0.098	0.962	0.992	0.970	0.916	0.957	0.980	0.942	0.988	0.972	0.868	0.957	0.993
0.973	0.921	0	0.942	0.908	0.864	0.983	0.970	0.934	0.938	0.878	0.935	0.738	0.974	0.951	0.000	0.925	0.910	0.783	0.750	0.901	0.912	0.899	0.765	0.835	0.913	0.938	0.873	0.945	0.935	0.862	0.990	0.953	0.938	0.945	0.910	0.968	0.983	0.931	0.955	0.953	0.908	0.964	0.944	0.900	0.861	0.949	0.633	0.901	0.912	0.924	0.983	0.000	0.907	0.915	0.976	0.974	0.935	0.984	0.830	0.941	0.947	0.958
0.962	0.986	0.942	0	0.957	0.942	0.846	0.923	0.817	0.995	0.894	0.957	0.986	0.827	0.957	0.986	0.870	0.915	0.986	0.995	0.798	0.885	0.976	0.918	0.957	0.942	0.505	0.875	0.913	0.971	0.889	0.909	0.856	0.962	0.899	0.957	0.952	0.971	0.904	0.918	0.885	0.663	0.880	0.837	0.986	0.928	0.851	0.933	0.856	0.947	0.990	0.962	0.966	0.861	0.707	0.764	0.875	0.760	0.678	0.986	0.976	0.798	0.856
0.971	0.945	0.908	0.957	0	0.887	0.966	0.891	0.929	0.924	0.895	0.954	0.912	0.966	0.954	0.971	0.933	0.965	0.920	0.968	0.891	0.920	0.971	0.811	0.857	0.777	0.912	0.891	0.882	0.975	0.903	0.920	0.971	0.969	0.966	0.803	0.941	0.983	0.966	0.895	0.966	0.857	0.916	0.954	0.941	0.966	0.975	0.828	0.958	0.902	0.857	0.983	0.979	0.975	0.828	0.933	0.983	0.891	0.954	0.920	0.908	0.924	0.950
0.994	0.989	0.864	0.942	0.887	0	0.983	0.969	0.972	0.986	0.830	0.983	0.686	0.960	0.992	0.896	0.972	0.970	0.713	0.949	0.946	0.972	0.970	0.394	0.796	0.992	0.941	0.861	0.989	0.972	0.898	0.994	0.978	0.991	0.985	0.992	0.980	0.996	0.978	0.975	0.961	0.935	0.966	0.986	0.980	0.906	0.977	0.717	0.975	0.977	0.984	0.988	0.961	0.987	0.932	0.941	0.987	0.969	0.941	0.896	0.926	0.972	0.986
0.864	0.972	0.983	0.846	0.966	0.983	0	0.861	0.735	0.971	0.962	0.951	0.997	0.902	0.902	0.989	0.826	0.766	0.996	0.995	0.861	0.798	0.711	0.983	0.972	0.906	0.659	0.868	0.794	0.784	0.941	0.693	0.880	0.903	0.691	0.909	0.901	0.906	0.798	0.767	0.724	0.000	0.885	0.833	0.972	0.951	0.857	0.969	0.777	0.786	0.990	0.916	1.000	0.784	0.631	0.819	0.836	0.714	0.861	0.983	0.993	0.732	0.481
0.932	0.930	0.970	0.923	0.891	0.969	0.861	0	0.843	0.962	0.935	0.931	0.959	0.900	0.922	0.964	0.824	0.736	0.939	0.949	0.901	0.817	0.935	0.958	0.951	0.933	0.808	0.930	0.890	0.928	0.931	0.794	0.895	0.920	0.787	0.950	0.818	0.961	0.787	0.863	0.841	0.839	0.935	0.913	0.930	0.983	0.823	0.943	0.864	0.777	0.915	0.962	0.981	0.771	0.781	0.881	0.872	0.866	0.906	0.948	0.901	0.828	0.809
0.875	0.952	0.934	0.817	0.929	0.972	0.735	0.843	0	0.843	0.957	0.934	0.986	0.886	0.880	0.986	0.596	0.134	0.988	0.991	0.810	0.496	0.926	0.981	0.936	0.887	0.302	0.934	0.753	0.918	0.938	0.751	0.789	0.655	0.724	0.926	0.802	0.876	0.191	0.777	0.414	0.540	0.858	0.753	0.960	0.951	0.707	0.928	0.614	0.693	0.968	0.882	0.907	0.343	0.404	0.823	0.748	0.634	0.851	0.958	0.973	0.343	0.740
0.938	0.790	0.938	0.995	0.924	0.986	0.971	0.962	0.843	0	0.981	0.929	0.986	0.962	0.933	0.981	0.895	0.965	0.981	0.995	0.924	0.929	0.976	0.976	0.990	0.476	0.833	0.976	0.781	0.971	1.000	0.876	0.986	0.886	0.981	0.552	0.952	0.924	0.924	0.867	0.919	0.867	0.748	0.852	0.786	0.986	0.976	0.986	0.895	0.971	0.800	0.910	0.981	0.929	0.824	0.910	0.971	0.762	0.971	0.995	0.986	0.790	0.957
0.962	0.957	0.878	0.894	0.895	0.830	0.962	0.935	0.957	0.981	0	0.968	0.814	0.961	0.963	0.882	0.955	0.975	0.840	0.829	0.915	0.938	0.973	0.827	0.872	0.970	0.935	0.924	0.977	0.980	0.926	0.977	0.938	0.982	0.963	0.973	0.945	0.983	0.978	0.960	0.961	0.940	0.971	0.963	0.957	0.948	0.949	0.838	0.950	0.958	0.965	0.977	0.907	0.953	0.924	0.960	0.964	0.949	0.952	0.875	0.735	0.969	0.963
0.896	0.844	0.935	0.957	0.954	0.983	0.951	0.931	0.934	0.929	0.968	0	0.979	0.738	0.873	0.975	0.939	0.960	0.980	0.977	0.956	0.951	0.982	0.980	0.976	0.673	0.891	0.978	0.750	0.978	0.972	0.946	0.895	0.894	0.912	0.948	0.945	0.863	0.964	0.891	0.918	0.913	0.848	0.853	0.607	0.997	0.968	0.972	0.946	0.907	0.823	0.757	0.985	0.953	0.913	0.727	0.823	0.818	0.564	0.979	0.979	0.942	0.931
