name	term	lev	seq	value
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL20641	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL21922	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL15391	1
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL15828	1
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL4377	1
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL9053	1
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL11409	1
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL7507	1
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL11150	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL15504	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL18292	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL9687	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL4984	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL11870	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL13657	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL8410	1
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL13867	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL15922	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL12567	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL19328	1
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL15592	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL8655	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL15942	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL789	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL18670	1
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL22609	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL13628	0
"lipopolysaccharide binding"	GO:0001530	3	ORTHOMCL16855	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL15386	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL9539	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL20471	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL2949	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL13164	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL14241	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL4471	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL15880	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL10481	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL8340	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL13133	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL4076	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL4570	1
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL12009	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL3717	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL10502	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL13971	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL16019	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL1910	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL15808	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL16789	0
"cysteine-type endopeptidase regulator activity involved in apoptotic process"	GO:0043028	2	ORTHOMCL1853	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL11502	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL5538	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL10968	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL20057	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL16368	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL17843	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL6710	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL20477	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL15626	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL18250	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL17562	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL2965	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL6432	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL18368	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL12238	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL14961	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL21237	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL17846	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL16344	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL12984	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL18406	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL20226	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL10982	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL20191	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL14040	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL13485	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL18823	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL13457	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL15616	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL21405	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL9787	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL18536	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL19695	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL14765	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL17934	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL19156	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL21116	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL10158	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL15332	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL15614	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL20986	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL4200	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL14275	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL15016	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL15170	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL17185	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL18540	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL19738	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL20133	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL20151	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL21458	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL21510	0
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL21753	1
"Rho guanyl-nucleotide exchange factor activity"	GO:0005089	3	ORTHOMCL6705	0
