"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.850993862852975 2 16 "GO:0000109" "nucleotide-excision repair complex" 1
0 0.815043654156512 2 38 "GO:0000118" "histone deacetylase complex" 1
0 0.579025012835983 2 82 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.952171504044338
0 0.14497296305591 2 663 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.593210347818526
0 0.558643604610191 3 271 "GO:0000151" "ubiquitin ligase complex" 0.952171504044338
0 0.570091519899008 2 26 "GO:0000152" "nuclear ubiquitin ligase complex" 0.952171504044338
0 0.645157275994712 2 19 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.970319401946409
0 0.645157275994712 2 19 "GO:0000178" "exosome (RNase complex)" 0.970319401946409
0 0.621884915710255 2 28 "GO:0000242" "pericentriolar material" 0.970319401946409
0 0.968377311261161 2 29 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.0105719595698756 2 23 "GO:0000407" "pre-autophagosomal structure" 0.292474764063021
0 0.0432140274621392 2 18 "GO:0000421" "autophagic vacuole membrane" 0.458807168488476
0 0.859956328098292 2 53 "GO:0000502" "proteasome complex" 1
0 0.693502715026594 4 61 "GO:0000775" "chromosome, centromeric region" 1
0 0.408966073921746 2 106 "GO:0000776" "kinetochore" 0.896323542320487
0 0.708708189494491 2 62 "GO:0000777" "condensed chromosome kinetochore" 1
0 0.820289907833541 2 112 "GO:0000781" "chromosome, telomeric region" 1
0 0.957561257892074 2 81 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.707738884542641 2 271 "GO:0000785" "chromatin" 1
0 0.820308453390239 3 162 "GO:0000790" "nuclear chromatin" 1
0 0.954765659876762 3 26 "GO:0000791" "euchromatin" 1
0 0.495049932695187 5 50 "GO:0000792" "heterochromatin" 0.946045918023651
0 0.755687824407058 2 115 "GO:0000793;GO:0000794;GO:0000228" "nuclear chromosome" 1
0 0.724073800496893 2 22 "GO:0000803" "sex chromosome" 1
0 0.530889142903558 4 142 "GO:0000922" "spindle pole" 0.952171504044338
0 0.51544500971365 2 60 "GO:0000932" "cytoplasmic mRNA processing body" 0.946045918023651
0 1 2 17 "GO:0000974" "Prp19 complex" 1
0 0.295674422143891 3 17 "GO:0001527;GO:0043205" "microfibril" 0.77233742996374
0 0.985858926854986 2 95 "GO:0001650" "fibrillar center" 1
0 0.573157038621662 5 54 "GO:0001669" "acrosomal vesicle" 0.952171504044338
0 0.0241519771420029 2 71 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 0.358948349938043
0 0.0210020804666506 2 104 "GO:0001726" "ruffle" 0.335255432634311
0 0.254323119090721 3 54 "GO:0001750" "photoreceptor outer segment" 0.765140874559392
0 0.0954461448360245 3 16 "GO:0001772" "immunological synapse" 0.520725169928184
0 0.646129160924871 3 29 "GO:0001891" "phagocytic cup" 0.970319401946409
0 0.344842566569492 3 51 "GO:0001917" "photoreceptor inner segment" 0.839701390912153
0 0.0546615196449033 4 58 "GO:0002102" "podosome" 0.474163981615411
0 0.0632702856732006 3 26 "GO:0002116" "semaphorin receptor complex" 0.478412160090341
0 0.0135385326479329 1 799 "GO:0005576" "extracellular region" 0.292474764063021
0 0.0362774645270154 2 35 "GO:0005577" "fibrinogen complex" 0.422583438139017
0 0.0147872907168439 2 238 "GO:0005578" "proteinaceous extracellular matrix" 0.292474764063021
0 0.0658629545328759 2 74 "GO:0005581" "collagen trimer" 0.481134464468975
0 0.0342726314444662 2 17 "GO:0005583" "fibrillar collagen trimer" 0.41031955979347
0 0.159074356338406 4 26 "GO:0005595;GO:0008305;GO:0098636" "collagen type XII trimer" 0.606734934352681
