"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 16 "GO:0000109" "nucleotide-excision repair complex" 1
0 0.87119320682671 2 38 "GO:0000118" "histone deacetylase complex" 1
0 0.811256000677679 3 82 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 1
0 0.18949726499686 2 663 "GO:0000139;GO:0044431" "Golgi apparatus part" 1
0 0.669865776079083 2 271 "GO:0000151" "ubiquitin ligase complex" 1
0 0.753662135808412 3 26 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.640605725046692 3 19 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 1
0 1 2 19 "GO:0000178" "exosome (RNase complex)" 1
0 1 2 28 "GO:0000242" "pericentriolar material" 1
0 0.790502795316082 2 29 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 3 23 "GO:0000407" "pre-autophagosomal structure" 1
0 0.620691919460829 2 18 "GO:0000421" "autophagic vacuole membrane" 1
0 0.942816690483804 2 53 "GO:0000502" "proteasome complex" 1
0 1 4 61 "GO:0000775" "chromosome, centromeric region" 1
0 0.977766486473975 4 106 "GO:0000776" "kinetochore" 1
0 1 2 62 "GO:0000777" "condensed chromosome kinetochore" 1
0 0.983191343960168 2 112 "GO:0000781" "chromosome, telomeric region" 1
0 0.987499602641883 2 81 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.848668196035551 2 271 "GO:0000785" "chromatin" 1
0 0.859144212107469 2 162 "GO:0000790" "nuclear chromatin" 1
0 0.753662135808412 5 26 "GO:0000791" "euchromatin" 1
0 0.9327234558588 3 50 "GO:0000792" "heterochromatin" 1
0 0.859979670532896 4 115 "GO:0000793;GO:0000794;GO:0000228" "nuclear chromosome" 1
0 0.321497508069383 2 22 "GO:0000803" "sex chromosome" 1
0 0.761529252885148 4 142 "GO:0000922" "spindle pole" 1
0 0.615450046084429 2 60 "GO:0000932" "cytoplasmic mRNA processing body" 1
0 1 2 17 "GO:0000974" "Prp19 complex" 1
0 0.222700853603466 2 17 "GO:0001527;GO:0043205" "microfibril" 1
0 1 2 95 "GO:0001650" "fibrillar center" 1
0 0.312994832463981 2 54 "GO:0001669" "acrosomal vesicle" 1
0 0.314443457547018 2 71 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 1
0 0.177361564970025 3 104 "GO:0001726" "ruffle" 1
0 0.543165167804593 5 54 "GO:0001750" "photoreceptor outer segment" 1
0 0.203101981244685 2 16 "GO:0001772" "immunological synapse" 1
0 1 3 29 "GO:0001891" "phagocytic cup" 1
0 0.504219330754875 2 51 "GO:0001917" "photoreceptor inner segment" 1
0 0.361317398867572 3 58 "GO:0002102" "podosome" 1
0 0.398413589965603 3 26 "GO:0002116" "semaphorin receptor complex" 1
0 0.515241733414844 1 799 "GO:0005576" "extracellular region" 1
0 0.276773675931725 2 35 "GO:0005577" "fibrinogen complex" 1
0 0.264762696281872 2 238 "GO:0005578" "proteinaceous extracellular matrix" 1
0 0.345933885482445 3 74 "GO:0005581" "collagen trimer" 1
0 0.599677774960852 2 17 "GO:0005583" "fibrillar collagen trimer" 1
0 0.0444154766211056 3 26 "GO:0005595;GO:0008305;GO:0098636" "integrin complex" 1
0 0.203101981244685 2 16 "GO:0005596" "collagen type XIV trimer" 1
0 0.271262691655862 2 204 "GO:0005604;GO:0044420" "extracellular matrix part" 1
0 0.67735921042693 2 21 "GO:0005605" "basal lamina" 1
0 0.140290714302876 2 25 "GO:0005614" "interstitial matrix" 1
0 0.0823750313378445 2 647 "GO:0005615" "extracellular space" 1
0 0.398413589965603 3 26 "GO:0005618;GO:0030312" "external encapsulating structure" 1
0 0.351341239283767 2 585 "GO:0005622" "intracellular" 1
0 0.503109812586998 1 70 "GO:0005623" "cell" 1
0 0.15512651795225 2 198 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 1
0 0.178782600514365 3 28 "GO:0005637" "nuclear inner membrane" 1
0 0.440682868858598 2 83 "GO:0005643;GO:0046930" "pore complex" 1
0 1 4 30 "GO:0005657" "replication fork" 1
0 0.907675083345548 2 224 "GO:0005667" "transcription factor complex" 1
0 0.790502795316082 5 29 "GO:0005669" "transcription factor TFIID complex" 1
0 0.599677774960852 3 17 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 1
0 0.307358296538534 2 157 "GO:0005681" "spliceosomal complex" 1
0 1 2 17 "GO:0005682" "U5 snRNP" 1
0 0.421680002960439 3 45 "GO:0005684" "U2-type spliceosomal complex" 1
0 0.879445832686668 3 259 "GO:0005694" "chromosome" 1
0 0.599677774960852 3 17 "GO:0005719" "nuclear euchromatin" 1
0 0.778877694206974 4 28 "GO:0005720" "nuclear heterochromatin" 1
