delta.rank	pval	level	nseqs	term	name	p.adj
49	0	2.30266632208337e-09	2	647	GO:0005615	extracellular space	7.72057688979552e-07
39	0	3.58263428760813e-09	1	799	GO:0005576	extracellular region	7.72057688979552e-07
222	0	2.99527069159407e-07	1	333	GO:0031012	extracellular matrix	4.30320556025681e-05
46	0	5.71312474861577e-07	2	204	GO:0005604;GO:0044420	extracellular matrix part	6.15589191663349e-05
422	0	8.29175779299677e-07	2	249	GO:0098552;GO:0009897	side of membrane	7.14749521756322e-05
87	0	1.05853331431596e-06	2	222	GO:0005788	endoplasmic reticulum lumen	7.60379764116965e-05
41	0	5.16728619232409e-05	2	238	GO:0005578	proteinaceous extracellular matrix	0.00318157192698812
228	0	0.000227981961048028	2	94	GO:0031225	anchored component of membrane	0.0122825281514625
42	0	0.000279750404583819	2	74	GO:0005581	collagen trimer	0.0133969360417362
423	0	0.000335126746525533	2	63	GO:0098562;GO:0009898	cytoplasmic side of membrane	0.0144439627752505
220	0	0.000475845338608736	3	31	GO:0030934;GO:0005593	anchoring collagen complex	0.0164590881630317
334	0	0.00048976398184858	2	272	GO:0043235	receptor complex	0.0164590881630317
44	0	0.000496445814662209	2	26	GO:0005595;GO:0008305;GO:0098636	collagen type XII trimer	0.0164590881630317
371	0	0.000586256341122685	1	421	GO:0045202	synapse	0.0180483202159912
159	0	0.00066118890989214	3	789	GO:0016023;GO:0031410	cytoplasmic vesicle	0.0189981613442342
40	0	0.000904644623227641	2	35	GO:0005577	fibrinogen complex	0.0243688645381946
38	0	0.00190260466387619	3	26	GO:0002116	semaphorin receptor complex	0.0445041850460663
45	0	0.00196190142894492	2	16	GO:0005596	collagen type XIV trimer	0.0445041850460663
306	0	0.00196190142894492	3	16	GO:0035631	CD40 receptor complex	0.0445041850460663
224	0	0.00234387950190493	2	43	GO:0031091	platelet alpha granule	0.0483016587313538
