delta.rank	pval	level	nseqs	term	name	p.adj
49	0	8.85331163798118e-05	2	647	GO:0005615	extracellular space	0.0381577731596989
159	0	0.00123986466762802	2	789	GO:0016023;GO:0031410	cytoplasmic vesicle	0.267190835873838
46	0	0.00193972835082023	2	204	GO:0005604;GO:0044420	extracellular matrix part	0.272130997834198
249	0	0.00252557770611785	2	23	GO:0031528	microvillus membrane	0.272130997834198
150	0	0.00495118942767326	2	296	GO:0014069	postsynaptic density	0.28734134295421
125	0	0.00545959825881531	2	396	GO:0005911	cell-cell junction	0.28734134295421
233	0	0.00610685170989127	3	375	GO:0031253	cell projection membrane	0.28734134295421
206	0	0.00681418014536018	3	100	GO:0030658	transport vesicle membrane	0.28734134295421
164	0	0.00690100933175277	4	32	GO:0016327	apicolateral plasma membrane	0.28734134295421
422	0	0.00693495628289758	2	249	GO:0098552;GO:0009897	side of membrane	0.28734134295421
228	0	0.00733353775521185	2	94	GO:0031225	anchored component of membrane	0.28734134295421
11	0	0.0105719595698756	2	23	GO:0000407	pre-autophagosomal structure	0.292474764063021
274	0	0.0105719595698756	2	23	GO:0032590	dendrite membrane	0.292474764063021
234	0	0.011585537520273	2	190	GO:0031256	leading edge membrane	0.292474764063021
126	0	0.011873453799438	3	364	GO:0005912;GO:0070161	anchoring junction	0.292474764063021
283	0	0.0120505907810331	4	29	GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	0.292474764063021
39	0	0.0135385326479329	1	799	GO:0005576	extracellular region	0.292474764063021
87	0	0.01381589291821	2	222	GO:0005788	endoplasmic reticulum lumen	0.292474764063021
361	0	0.0141267458639537	1	573	GO:0044456	synapse part	0.292474764063021
178	0	0.0147673153986859	2	223	GO:0019898	extrinsic component of membrane	0.292474764063021
