delta.rank	pval	level	nseqs	term	name	p.adj
159	0	0.000343404743819195	2	789	GO:0016023;GO:0031410	cytoplasmic vesicle	0.148007444586073
231	0	0.000771804036070507	3	39	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	0.166323769773194
265	0	0.00563239167268184	2	32	GO:0032279	asymmetric synapse	0.549358896967751
150	0	0.0063728629518234	2	296	GO:0014069	postsynaptic density	0.549358896967751
120	0	0.00637307305066996	3	15	GO:0005892	acetylcholine-gated channel complex	0.549358896967751
148	0	0.0168235293497193	2	115	GO:0012505	endomembrane system	1
177	0	0.0190520030695281	2	117	GO:0019897	extrinsic component of plasma membrane	1
127	0	0.0229395882125576	2	67	GO:0005913	cell-cell adherens junction	1
320	0	0.0241614941458421	3	121	GO:0042734	presynaptic membrane	1
404	0	0.0271421528131196	2	33	GO:0071944	cell periphery	1
249	0	0.02972877604862	3	23	GO:0031528	microvillus membrane	1
328	0	0.0340563026599862	2	171	GO:0043197;GO:0044309	neuron spine	1
304	0	0.0342469187494282	3	24	GO:0035579	specific granule membrane	1
125	0	0.0406625652948004	2	396	GO:0005911	cell-cell junction	1
227	0	0.0414841403184257	2	75	GO:0031224	intrinsic component of membrane	1
44	0	0.0444154766211056	3	26	GO:0005595;GO:0008305;GO:0098636	integrin complex	1
229	0	0.0450487739993138	3	50	GO:0031226	intrinsic component of plasma membrane	1
372	0	0.0497425562429081	2	242	GO:0045211	postsynaptic membrane	1
291	0	0.0500667239520372	4	27	GO:0034399	nuclear periphery	1
329	0	0.0511218581254945	2	39	GO:0043198	dendritic shaft	1
