delta.rank	pval	level	nseqs	term	name	p.adj
477	0	0.00207464526789961	2	18	GO:0042165	neurotransmitter binding	0.555616056496611
536	0	0.00220478143705379	3	35	GO:0048365	Rac GTPase binding	0.555616056496611
550	0	0.00281460058660484	2	343	GO:0051020;GO:0031267;GO:0017016	GTPase binding	0.555616056496611
354	0	0.00431363399299877	2	21	GO:0017081	chloride channel regulator activity	0.555616056496611
277	0	0.00453934686680238	2	30	GO:0015464	acetylcholine receptor activity	0.555616056496611
76	0	0.00602729955427642	4	259	GO:0004175	endopeptidase activity	0.614784554536195
56	0	0.0101895927361095	4	199	GO:0003713	transcription coactivator activity	0.762355027719671
518	0	0.0117888100545346	4	274	GO:0045296	cadherin binding	0.762355027719671
349	0	0.012393853943609	2	95	GO:0017048	Rho GTPase binding	0.762355027719671
108	0	0.0147166614623712	2	38	GO:0004715	non-membrane spanning protein tyrosine kinase activity	0.762355027719671
546	0	0.0153102864185483	2	28	GO:0050997	quaternary ammonium group binding	0.762355027719671
281	0	0.016631750121647	2	19	GO:0015643	toxic substance binding	0.762355027719671
530	0	0.0166896350221545	2	389	GO:0046982	protein heterodimerization activity	0.762355027719671
576	0	0.0175291800713251	2	406	GO:0070011;GO:0008233	peptidase activity	0.762355027719671
271	0	0.0189748349353953	3	101	GO:0015291	secondary active transmembrane transporter activity	0.762355027719671
362	0	0.0199308503978999	5	20	GO:0017160	Ral GTPase binding	0.762355027719671
81	0	0.0231018776460342	2	104	GO:0004222	metalloendopeptidase activity	0.831667595257231
607	0	0.0290680781295942	3	56	GO:1901338;GO:0004941;GO:0051380;GO:0008179	adenylate cyclase binding	0.988314656406203
32	0	0.0323893284392723	4	96	GO:0001540	beta-amyloid binding	1
545	0	0.0339672790689014	2	444	GO:0050839	cell adhesion molecule binding	1
