"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 2 447 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 1
0 1 4 260 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 4 281 "GO:0000904;GO:0000902" "cell morphogenesis" 1
0 1 3 217 "GO:0001101" "response to acid" 1
0 1 3 224 "GO:0001525" "angiogenesis" 1
0 1 2 268 "GO:0001558" "regulation of cell growth" 1
0 1 2 384 "GO:0001775;GO:0045321" "cell activation" 1
0 1 4 281 "GO:0001817" "regulation of cytokine production" 1
0 1 3 717 "GO:0001932" "regulation of protein phosphorylation" 1
0 1 4 220 "GO:0001933" "negative regulation of protein phosphorylation" 1
0 1 3 468 "GO:0001934" "positive regulation of protein phosphorylation" 1
0 1 2 374 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 1 2 304 "GO:0002252" "immune effector process" 1
0 1 1 764 "GO:0002376" "immune system process" 1
0 1 3 633 "GO:0002682" "regulation of immune system process" 1
0 1 4 324 "GO:0002684" "positive regulation of immune system process" 1
0 1 4 237 "GO:0002694;GO:0050865" "regulation of cell activation" 1
0 1 4 283 "GO:0003002" "regionalization" 1
0 1 2 433 "GO:0003006" "developmental process involved in reproduction" 1
0 1 2 794 "GO:0003008" "system process" 1
0 1 2 375 "GO:0005975;GO:0044723" "carbohydrate metabolic process" 1
0 1 4 316 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 1
0 1 2 595 "GO:0006259" "DNA metabolic process" 1
0 1 5 359 "GO:0006281" "DNA repair" 1
0 1 2 469 "GO:0006325;GO:0016568" "chromatin organization" 1
0 1 3 328 "GO:0006366" "transcription from RNA polymerase II promoter" 1
0 1 2 642 "GO:0006396" "RNA processing" 1
0 1 3 208 "GO:0006417" "regulation of translation" 1
0 1 2 757 "GO:0006461" "protein complex assembly" 1
0 1 6 490 "GO:0006468" "protein phosphorylation" 1
0 1 4 734 "GO:0006508" "proteolysis" 1
0 1 6 408 "GO:0006511;GO:0019941;GO:0051603;GO:0043632" "proteolysis involved in cellular protein catabolic process" 1
0 1 2 250 "GO:0006520" "cellular amino acid metabolic process" 1
0 1 3 637 "GO:0006629;GO:0044255" "lipid metabolic process" 1
0 1 4 299 "GO:0006753;GO:0009117;GO:0055086" "nucleobase-containing small molecule metabolic process" 1
0 1 3 596 "GO:0006811" "ion transport" 1
0 1 4 420 "GO:0006812;GO:0030001" "cation transport" 1
0 1 2 225 "GO:0006820" "anion transport" 1
0 1 2 245 "GO:0006874;GO:0055074;GO:0072503;GO:0072507" "divalent inorganic cation homeostasis" 1
0 1 2 326 "GO:0006875;GO:0055065" "metal ion homeostasis" 1
0 1 2 435 "GO:0006886" "intracellular protein transport" 1
0 1 3 282 "GO:0006887" "exocytosis" 1
0 1 4 367 "GO:0006897" "endocytosis" 1
0 1 2 516 "GO:0006915;GO:0012501;GO:0008219;GO:0016265" "cell death" 1
0 1 3 457 "GO:0006952" "defense response" 1
0 1 2 329 "GO:0006955" "immune response" 1
0 1 4 528 "GO:0006974" "cellular response to DNA damage stimulus" 1
0 1 3 266 "GO:0006979" "response to oxidative stress" 1
0 1 2 208 "GO:0007005" "mitochondrion organization" 1
0 1 3 576 "GO:0007010" "cytoskeleton organization" 1
0 1 2 443 "GO:0007017" "microtubule-based process" 1
0 1 2 681 "GO:0007049" "cell cycle" 1
0 1 2 565 "GO:0007154" "cell communication" 1
0 1 2 505 "GO:0007155;GO:0022610" "biological adhesion" 1
0 1 6 388 "GO:0007169;GO:0007167" "enzyme linked receptor protein signaling pathway" 1
0 1 3 350 "GO:0007186" "G-protein coupled receptor signaling pathway" 1
0 1 3 371 "GO:0007267;GO:0044700;GO:0023052" "signaling" 1
0 1 4 207 "GO:0007268" "synaptic transmission" 1
0 1 2 322 "GO:0007283;GO:0048232;GO:0007276" "gamete generation" 1
0 1 3 426 "GO:0007346" "regulation of mitotic cell cycle" 1
0 1 2 419 "GO:0007389" "pattern specification process" 1
0 1 4 408 "GO:0007399" "nervous system development" 1
0 1 2 222 "GO:0007411;GO:0097485" "neuron projection guidance" 1
0 1 2 257 "GO:0007420" "brain development" 1
0 1 3 250 "GO:0007507" "heart development" 1
0 1 5 374 "GO:0007600" "sensory perception" 1
0 1 2 489 "GO:0007610;GO:0044708" "behavior" 1
0 1 2 241 "GO:0007611;GO:0050890" "cognition" 1
0 1 3 615 "GO:0008104;GO:0033036;GO:0051179;GO:0051641" "localization" 1
0 1 2 463 "GO:0008283" "cell proliferation" 1
0 1 3 488 "GO:0008284" "positive regulation of cell proliferation" 1
0 1 3 398 "GO:0008285" "negative regulation of cell proliferation" 1
0 1 3 286 "GO:0008380" "RNA splicing" 1
0 1 2 329 "GO:0008610" "lipid biosynthetic process" 1
0 1 3 388 "GO:0009118;GO:0033121;GO:0030811;GO:1900542;GO:0006140" "regulation of nucleotide metabolic process" 1
0 1 3 371 "GO:0009314" "response to radiation" 1
0 1 4 265 "GO:0009416" "response to light stimulus" 1
0 1 2 331 "GO:0009611" "response to wounding" 1
0 1 2 844 "GO:0009628" "response to abiotic stimulus" 1
0 1 2 538 "GO:0009725" "response to hormone" 1
0 1 4 234 "GO:0009792;GO:0009790" "embryo development" 1
0 1 3 422 "GO:0009887" "organ morphogenesis" 1
0 1 3 440 "GO:0009888" "tissue development" 1
0 1 2 203 "GO:0009896" "positive regulation of catabolic process" 1
0 1 2 868 "GO:0009967" "positive regulation of signal transduction" 1
0 1 2 816 "GO:0009968;GO:0010648;GO:0023057" "negative regulation of cell communication" 1
0 1 3 386 "GO:0010035" "response to inorganic substance" 1
0 1 4 276 "GO:0010038" "response to metal ion" 1
0 1 2 596 "GO:0010243;GO:1901698" "response to nitrogen compound" 1
0 1 2 494 "GO:0010564" "regulation of cell cycle process" 1
0 1 2 451 "GO:0010608" "posttranscriptional regulation of gene expression" 1
0 1 2 343 "GO:0010638" "positive regulation of organelle organization" 1
0 1 2 225 "GO:0010639" "negative regulation of organelle organization" 1
0 1 3 219 "GO:0010720" "positive regulation of cell development" 1
0 1 2 274 "GO:0010769" "regulation of cell morphogenesis involved in differentiation" 1
0 1 3 209 "GO:0010948" "negative regulation of cell cycle process" 1
0 1 4 559 "GO:0014070" "response to organic cyclic compound" 1
0 1 2 844 "GO:0015031" "protein transport" 1
0 1 3 209 "GO:0016050" "vesicle organization" 1
0 1 2 218 "GO:0016055" "Wnt signaling pathway" 1
0 1 2 401 "GO:0016071;GO:0006397" "mRNA metabolic process" 1
0 1 2 246 "GO:0016197" "endosomal transport" 1
0 1 5 687 "GO:0016310" "phosphorylation" 1
0 1 2 602 "GO:0016482" "cytoplasmic transport" 1
0 1 8 647 "GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 1
0 1 5 304 "GO:0016570;GO:0016569" "covalent chromatin modification" 1
0 1 3 561 "GO:0018193" "peptidyl-amino acid modification" 1
0 1 2 209 "GO:0019216" "regulation of lipid metabolic process" 1
0 1 2 271 "GO:0019439;GO:1901361;GO:0044270;GO:0046700" "organic cyclic compound catabolic process" 1
0 1 2 529 "GO:0019637" "organophosphate metabolic process" 1
0 1 2 455 "GO:0019725" "cellular homeostasis" 1
0 1 4 547 "GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 1
0 1 2 692 "GO:0022402" "cell cycle process" 1
0 1 2 247 "GO:0022412" "cellular process involved in reproduction in multicellular organism" 1
0 1 1 792 "GO:0022414;GO:0044702" "reproductive process" 1
0 1 4 689 "GO:0022603" "regulation of anatomical structure morphogenesis" 1
0 1 2 398 "GO:0022604" "regulation of cell morphogenesis" 1
0 1 6 454 "GO:0030003;GO:0006873;GO:0055080;GO:0050801;GO:0055082" "ion homeostasis" 1
0 1 2 701 "GO:0030030" "cell projection organization" 1
0 1 2 278 "GO:0030036;GO:0030029" "actin filament-based process" 1
0 1 5 244 "GO:0030111" "regulation of Wnt signaling pathway" 1
0 1 4 267 "GO:0030155" "regulation of cell adhesion" 1
0 1 3 239 "GO:0030182" "neuron differentiation" 1
0 1 2 647 "GO:0030334;GO:2000145;GO:0040012;GO:0051270" "regulation of locomotion" 1
0 1 6 349 "GO:0030335;GO:2000147;GO:0040017;GO:0051272" "positive regulation of locomotion" 1
0 1 2 239 "GO:0030855" "epithelial cell differentiation" 1
0 1 2 748 "GO:0031329;GO:0009894" "regulation of catabolic process" 1
0 1 2 267 "GO:0031346" "positive regulation of cell projection organization" 1
0 1 2 306 "GO:0031347" "regulation of defense response" 1
0 1 7 316 "GO:0031400" "negative regulation of protein modification process" 1
0 1 2 372 "GO:0031667;GO:0009991" "response to extracellular stimulus" 1
0 1 2 261 "GO:0031669;GO:0042594;GO:0031668" "cellular response to extracellular stimulus" 1
0 1 2 481 "GO:0032101" "regulation of response to external stimulus" 1
0 1 7 205 "GO:0032147" "activation of protein kinase activity" 1
0 1 3 470 "GO:0032269;GO:0051248" "negative regulation of protein metabolic process" 1
0 1 2 808 "GO:0032270;GO:0051247" "positive regulation of protein metabolic process" 1
0 1 3 315 "GO:0032386" "regulation of intracellular transport" 1
0 1 2 245 "GO:0032787" "monocarboxylic acid metabolic process" 1
