"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.384147352133795 3 578 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.661587106452647
0 0.271390184590666 3 257 "GO:0000151" "ubiquitin ligase complex" 0.542780369181332
0 0.920071388710713 2 240 "GO:0000785" "chromatin" 1
0 4.30486288722279e-05 1 818 "GO:0005576" "extracellular region" 0.00266901499007813
0 0.00473761340186434 2 503 "GO:0005615" "extracellular space" 0.106013343015152
0 0.264415077188606 2 594 "GO:0005622" "intracellular" 0.542780369181332
0 1 2 213 "GO:0005667" "transcription factor complex" 1
0 0.282843323087887 4 346 "GO:0005694" "chromosome" 0.548008938482781
0 0.780714718923542 4 623 "GO:0005730" "nucleolus" 0.989982046802897
0 0.964016685243119 2 314 "GO:0005743;GO:0019866" "organelle inner membrane" 1
0 0.213191979234199 2 231 "GO:0005765" "lysosomal membrane" 0.458599389046747
0 0.0142506078916634 3 652 "GO:0005768" "endosome" 0.176707537856626
0 0.113665411083666 5 250 "GO:0005769" "early endosome" 0.404557844272721
0 0.400328144198885 4 403 "GO:0005773;GO:0005764;GO:0000323" "vacuole" 0.670820133522456
0 0.137027656931083 4 341 "GO:0005774;GO:0044437" "vacuolar part" 0.404557844272721
0 0.987223086532701 4 592 "GO:0005789" "endoplasmic reticulum membrane" 1
0 0.767582443070287 3 386 "GO:0005813" "centrosome" 0.989982046802897
0 0.522878622008363 2 561 "GO:0005815" "microtubule organizing center" 0.821157643679066
0 0.327391207626564 2 281 "GO:0005874" "microtubule" 0.597007496260205
0 0.739138774540725 2 591 "GO:0005887" "integral component of plasma membrane" 0.989982046802897
0 0.0891784908638488 2 302 "GO:0005911" "cell-cell junction" 0.368604428903908
0 0.529779124954236 3 270 "GO:0005912;GO:0070161" "anchoring junction" 0.821157643679066
0 0.381599729458787 3 394 "GO:0005929" "cilium" 0.661587106452647
0 0.00512967788782992 3 207 "GO:0005938" "cell cortex" 0.106013343015152
0 0.0870198072386127 2 300 "GO:0009986" "cell surface" 0.368604428903908
0 0.0753823354034659 4 360 "GO:0010008;GO:0044440" "endosomal part" 0.366766616196761
0 0.0319447866477652 2 233 "GO:0014069" "postsynaptic density" 0.282939538880206
0 0.154587794289952 2 513 "GO:0016023" "cytoplasmic membrane-bounded vesicle" 0.414896866568651
0 0.299210297720396 3 269 "GO:0016324" "apical plasma membrane" 0.562152680565593
0 0.636899509523852 2 525 "GO:0016604" "nuclear body" 0.940184990249496
0 0.798372618389433 3 285 "GO:0016607" "nuclear speck" 0.989982046802897
0 0.129448605562233 1 819 "GO:0030054" "cell junction" 0.404557844272721
0 0.676633409710629 5 224 "GO:0030135" "coated vesicle" 0.943119220174059
0 0.180689203810264 2 371 "GO:0030424" "axon" 0.43087425523986
0 0.0411408596862264 2 382 "GO:0030425" "dendrite" 0.318841662568255
0 0.910446070532576 2 518 "GO:0030529" "ribonucleoprotein complex" 1
0 0.684522014642462 3 554 "GO:0030659;GO:0012506;GO:0044433" "cytoplasmic vesicle part" 0.943119220174059
0 0.0708255705964754 2 284 "GO:0031253" "cell projection membrane" 0.366766616196761
0 1 2 209 "GO:0031301" "integral component of organelle membrane" 1
0 0.0769026775896434 2 828 "GO:0031410" "cytoplasmic vesicle" 0.366766616196761
0 0.914762610413448 2 234 "GO:0031965" "nuclear membrane" 1
0 0.987808825205365 4 413 "GO:0031966" "mitochondrial membrane" 1
0 0.211028914983607 2 230 "GO:0033267" "axon part" 0.458599389046747
0 0.0558874435236937 3 788 "GO:0043005" "neuron projection" 0.366766616196761
0 0.020210380231815 2 399 "GO:0044297;GO:0043025" "cell body" 0.208840595728755
0 0.978521591745065 3 538 "GO:0044427" "chromosomal part" 1
0 0.998578148842947 2 605 "GO:0044429" "mitochondrial part" 1
0 0.971846506422118 2 800 "GO:0044432" "endoplasmic reticulum part" 1
0 0.438226444089732 2 328 "GO:0044441" "ciliary part" 0.715001040356931
0 0.603099177005533 4 809 "GO:0044451" "nucleoplasm part" 0.912003633520562
0 0.949674607658286 2 283 "GO:0044454" "nuclear chromosome part" 1
0 0.0717327701767709 1 504 "GO:0044456" "synapse part" 0.366766616196761
0 0.00714899911062138 2 887 "GO:0044463" "cell projection part" 0.110809486214631
0 0.171302793864708 2 211 "GO:0045121" "membrane raft" 0.424830928784476
0 0.160605238671736 1 518 "GO:0045202" "synapse" 0.414896866568651
0 0.132783015446352 4 494 "GO:0048471" "perinuclear region of cytoplasm" 0.404557844272721
0 0.652118025184053 3 534 "GO:0070013;GO:0043233;GO:0031974" "membrane-enclosed lumen" 0.940263199102588
0 0.0974448081317145 3 616 "GO:0070062;GO:0065010;GO:0043230" "extracellular membrane-bounded organelle" 0.377598631510394
0 0.146993511771218 2 272 "GO:0097060" "synaptic membrane" 0.414254442264342
0 0.118704206018892 2 403 "GO:0098590" "plasma membrane region" 0.404557844272721
0 0.214506165844446 2 731 "GO:1902494" "catalytic complex" 0.458599389046747
0 0.786762930769837 3 278 "GO:1990234" "transferase complex" 0.989982046802897
