GO:0005887	GO:0045121	GO:1902494	GO:0030659;GO:0012506;GO:0044433	GO:0005774;GO:0044437	GO:0005929	GO:0043005	GO:0031410	GO:0033267	GO:0005813	GO:0044456	GO:0070013;GO:0043233;GO:0031974	GO:1990234	GO:0005743;GO:0019866	GO:0031965	GO:0044463	GO:0031301	GO:0009986	GO:0044441	GO:0000785	GO:0016607	GO:0030529	GO:0005730	GO:0031966	GO:0000139;GO:0044431	GO:0005815	GO:0044429	GO:0016604	GO:0005694	GO:0044451	GO:0044297;GO:0043025	GO:0005622	GO:0045211	GO:0000151	GO:0005615	GO:0044432	GO:0005773;GO:0005764;GO:0000323	GO:0045202	GO:0030424	GO:0098590	GO:0005765	GO:0005769	GO:0030135	GO:0014069	GO:0030054	GO:0005789	GO:0031253	GO:0070062;GO:0065010;GO:0043230	GO:0016023	GO:0044427	GO:0016324	GO:0005576	GO:0048471	GO:0097060	GO:0010008;GO:0044440	GO:0005938	GO:0005768	GO:0005912;GO:0070161	GO:0005874	GO:0005667	GO:0044454	GO:0005911	GO:0030425
0	0.600	0.990	0.815	0.887	0.876	0.654	0.766	0.668	0.992	0.768	0.946	0.996	0.978	0.924	0.713	0.876	0.548	0.878	1.000	0.997	0.998	0.976	0.976	0.908	0.974	0.980	0.994	0.994	0.995	0.703	0.793	0.642	0.992	0.844	0.892	0.890	0.751	0.663	0.591	0.871	0.759	0.854	0.754	0.682	0.921	0.693	0.839	0.859	1.000	0.555	0.815	0.879	0.661	0.886	0.909	0.785	0.800	0.969	1.000	1.000	0.727	0.690
0.600	0	0.912	0.791	0.921	0.953	0.479	0.670	0.791	0.963	0.660	0.907	0.986	0.958	0.902	0.563	0.971	0.767	0.944	0.986	0.981	0.991	0.958	0.907	0.828	0.912	0.898	0.967	0.977	0.958	0.698	0.777	0.806	0.986	0.847	0.809	0.865	0.693	0.735	0.665	0.926	0.763	0.888	0.837	0.553	0.865	0.786	0.805	0.791	0.981	0.735	0.828	0.730	0.781	0.819	0.947	0.600	0.828	0.963	1.000	0.991	0.767	0.749
0.990	0.912	0	0.945	0.983	0.935	0.915	0.935	0.953	0.862	0.947	0.935	0.000	0.924	0.907	0.908	0.938	0.974	0.899	0.786	0.830	0.941	0.878	0.921	0.964	0.873	0.900	0.835	0.864	0.634	0.901	0.970	0.910	0.000	0.974	0.913	0.951	0.934	0.925	0.958	0.983	0.968	0.938	0.907	0.938	0.909	0.983	0.976	0.944	0.766	0.945	0.984	0.901	0.931	0.973	0.942	0.955	0.953	0.861	0.753	0.740	0.949	0.912
0.815	0.791	0.945	0	0.679	0.896	0.741	0.323	0.737	0.936	0.713	0.750	0.975	0.972	0.886	0.734	0.781	0.780	0.893	0.992	0.944	0.979	0.977	0.952	0.728	0.917	0.954	0.942	0.989	0.943	0.804	0.890	0.851	0.927	0.844	0.778	0.765	0.753	0.821	0.792	0.695	0.711	0.460	0.814	0.703	0.844	0.794	0.725	0.577	0.987	0.790	0.716	0.812	0.791	0.719	0.913	0.691	0.865	0.937	0.991	0.986	0.855	0.804
0.887	0.921	0.983	0.679	0	0.974	0.855	0.630	0.922	0.988	0.873	0.757	0.989	0.978	0.983	0.850	0.910	0.938	0.982	0.992	0.997	0.988	0.977	0.962	0.806	0.971	0.945	0.974	0.988	0.974	0.902	0.962	0.985	1.000	0.890	0.861	0.329	0.882	0.931	0.876	0.000	0.874	0.774	0.936	0.864	0.887	0.916	0.725	0.740	0.988	0.860	0.763	0.890	0.931	0.656	0.962	0.598	0.938	0.990	0.995	0.997	0.961	0.919
0.876	0.953	0.935	0.896	0.974	0	0.901	0.864	0.948	0.772	0.950	0.978	0.989	0.997	0.975	0.377	0.971	0.957	0.291	1.000	0.972	0.993	0.980	0.995	0.953	0.650	0.988	0.953	0.972	0.948	0.940	0.928	0.975	0.985	0.975	0.948	0.980	0.918	0.963	0.826	0.970	0.964	0.951	0.949	0.913	0.953	0.784	0.933	0.906	0.988	0.864	0.940	0.953	0.978	0.970	0.971	0.933	0.949	0.787	0.977	0.997	0.913	0.930
0.654	0.479	0.915	0.741	0.855	0.901	0	0.712	0.181	0.897	0.357	0.913	0.950	0.959	0.827	0.489	0.824	0.639	0.911	0.942	0.913	0.952	0.924	0.916	0.818	0.914	0.936	0.848	0.932	0.887	0.191	0.781	0.244	0.900	0.846	0.886	0.817	0.404	0.000	0.659	0.833	0.640	0.575	0.237	0.555	0.888	0.631	0.819	0.693	0.923	0.680	0.881	0.661	0.235	0.782	0.707	0.728	0.684	0.805	0.967	0.952	0.582	0.000
0.766	0.670	0.935	0.323	0.630	0.864	0.712	0	0.603	0.885	0.558	0.818	0.939	0.972	0.890	0.734	0.762	0.646	0.872	0.979	0.934	0.979	0.949	0.942	0.652	0.871	0.944	0.929	0.969	0.950	0.686	0.866	0.756	0.923	0.774	0.805	0.592	0.634	0.709	0.691	0.579	0.542	0.000	0.712	0.701	0.819	0.714	0.763	0.000	0.974	0.636	0.813	0.718	0.650	0.564	0.760	0.575	0.753	0.840	0.986	0.997	0.765	0.695
0.668	0.791	0.953	0.737	0.922	0.948	0.181	0.603	0	0.961	0.280	0.918	0.987	0.978	0.966	0.000	0.919	0.776	0.953	0.991	0.961	0.974	0.961	0.961	0.841	0.961	0.957	0.931	0.961	0.927	0.534	0.841	0.642	0.978	0.888	0.875	0.849	0.414	0.474	0.737	0.935	0.892	0.814	0.733	0.474	0.901	0.724	0.797	0.737	0.935	0.849	0.875	0.776	0.526	0.897	0.885	0.772	0.909	0.918	1.000	0.974	0.832	0.504
0.992	0.963	0.862	0.936	0.988	0.772	0.897	0.885	0.961	0	0.951	0.972	0.968	0.994	0.903	0.715	1.000	0.984	0.727	0.942	0.958	0.982	0.926	0.992	0.964	0.000	0.977	0.936	0.898	0.910	0.926	0.931	0.980	0.923	0.979	0.977	0.969	0.938	0.949	0.949	0.991	0.953	0.956	0.953	0.872	0.979	0.941	0.938	0.944	0.836	0.960	0.979	0.890	0.978	0.965	0.889	0.913	0.916	0.721	0.963	0.924	0.891	0.948
