delta.rank	pval	level	nseqs	term	name	p.adj
4	0	8.43787176133145e-07	1	833	GO:0005576	extracellular region	5.31585920963881e-05
59	0	2.60097089001522e-06	3	625	GO:0070062;GO:0065010;GO:0043230	extracellular membrane-bounded organelle	8.19305830354794e-05
24	0	0.000685488944520214	4	208	GO:0005938	cell cortex	0.0143952678349245
27	0	0.00643972372526969	3	236	GO:0014069	postsynaptic density	0.0912434345372327
5	0	0.0072415424235899	2	508	GO:0005615	extracellular space	0.0912434345372327
60	0	0.0148184371194819	2	277	GO:0097060	synaptic membrane	0.137506733808354
54	0	0.015278525978706	2	215	GO:0045121	membrane raft	0.137506733808354
32	0	0.0213668746050433	1	835	GO:0030054	cell junction	0.166923993551358
25	0	0.0238462847930511	2	305	GO:0009986	cell surface	0.166923993551358
61	0	0.0366290888954544	3	408	GO:0098590	plasma membrane region	0.230735378581747
56	0	0.0402871295936384	2	201	GO:0045211	postsynaptic membrane	0.230735378581747
20	0	0.0502019160622442	3	595	GO:0005887	integral component of plasma membrane	0.263560059326782
34	0	0.0608143469633706	2	374	GO:0030424	axon	0.284440710834595
43	0	0.0667393267147444	2	232	GO:0033267	axon part	0.284440710834595
11	0	0.0677239787701417	2	233	GO:0005765	lysosomal membrane	0.284440710834595
45	0	0.0842580066271274	2	404	GO:0044297;GO:0043025	cell body	0.331765901094314
52	0	0.107288832593915	1	513	GO:0044456	synapse part	0.38560445981324
29	0	0.112372497439746	2	272	GO:0016324	apical plasma membrane	0.38560445981324
22	0	0.116293408515104	3	275	GO:0005912;GO:0070161	anchoring junction	0.38560445981324
58	0	0.132103683296578	2	539	GO:0070013;GO:0043233;GO:0031974	membrane-enclosed lumen	0.397881430210608
