delta.rank	pval	level	nseqs	term	name	p.adj
14	0	0.0602267707259608	3	409	GO:0005773;GO:0005764;GO:0000323	vacuole	1
5	0	0.0748048888234428	2	508	GO:0005615	extracellular space	1
4	0	0.122662347224267	1	833	GO:0005576	extracellular region	1
1	0	1	2	587	GO:0000139;GO:0044431	Golgi apparatus part	1
2	0	1	3	259	GO:0000151	ubiquitin ligase complex	1
3	0	1	2	243	GO:0000785	chromatin	1
6	0	1	2	598	GO:0005622	intracellular	1
7	0	1	2	215	GO:0005667	transcription factor complex	1
8	0	1	4	353	GO:0005694	chromosome	1
9	0	1	3	630	GO:0005730	nucleolus	1
10	0	1	3	316	GO:0005743;GO:0019866	organelle inner membrane	1
11	0	1	2	233	GO:0005765	lysosomal membrane	1
12	0	1	3	661	GO:0005768	endosome	1
13	0	1	2	253	GO:0005769	early endosome	1
15	0	1	3	346	GO:0005774;GO:0044437	vacuolar part	1
16	0	1	4	596	GO:0005789	endoplasmic reticulum membrane	1
17	0	1	3	390	GO:0005813	centrosome	1
18	0	1	2	568	GO:0005815	microtubule organizing center	1
19	0	1	2	287	GO:0005874	microtubule	1
20	0	1	2	595	GO:0005887	integral component of plasma membrane	1
