"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 5 447 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 1
0 1 3 260 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.0684323545848283 5 281 "GO:0000904;GO:0000902" "cell morphogenesis" 0.969289958595117
0 1 2 217 "GO:0001101" "response to acid" 1
0 1 2 224 "GO:0001525" "angiogenesis" 1
0 1 2 268 "GO:0001558" "regulation of cell growth" 1
0 1 3 384 "GO:0001775;GO:0045321" "cell activation" 1
0 1 3 281 "GO:0001817" "regulation of cytokine production" 1
0 0.169811306846479 2 717 "GO:0001932" "regulation of protein phosphorylation" 0.970495532650849
0 1 4 220 "GO:0001933" "negative regulation of protein phosphorylation" 1
0 0.112628762794503 2 468 "GO:0001934" "positive regulation of protein phosphorylation" 0.969289958595117
0 1 2 374 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 1 2 304 "GO:0002252" "immune effector process" 1
0 1 1 764 "GO:0002376" "immune system process" 1
0 1 2 633 "GO:0002682" "regulation of immune system process" 1
0 1 2 324 "GO:0002684" "positive regulation of immune system process" 1
0 1 3 237 "GO:0002694;GO:0050865" "regulation of cell activation" 1
0 1 2 283 "GO:0003002" "regionalization" 1
0 0.104438407090763 2 433 "GO:0003006" "developmental process involved in reproduction" 0.969289958595117
0 1 3 794 "GO:0003008" "system process" 1
0 1 2 375 "GO:0005975;GO:0044723" "carbohydrate metabolic process" 1
0 1 3 316 "GO:0006066;GO:1901615" "organic hydroxy compound metabolic process" 1
0 1 3 595 "GO:0006259" "DNA metabolic process" 1
0 1 5 359 "GO:0006281" "DNA repair" 1
0 1 4 469 "GO:0006325;GO:0016568" "chromatin organization" 1
0 0.0796415918895315 5 328 "GO:0006366" "transcription from RNA polymerase II promoter" 0.969289958595117
0 0.15278805801818 5 642 "GO:0006396" "RNA processing" 0.970495532650849
0 1 2 208 "GO:0006417" "regulation of translation" 1
0 1 2 757 "GO:0006461" "protein complex assembly" 1
0 1 2 490 "GO:0006468" "protein phosphorylation" 1
0 1 2 734 "GO:0006508" "proteolysis" 1
0 1 6 408 "GO:0006511;GO:0019941;GO:0051603;GO:0043632" "proteolysis involved in cellular protein catabolic process" 1
0 1 2 250 "GO:0006520" "cellular amino acid metabolic process" 1
0 0.151647031957791 2 637 "GO:0006629;GO:0044255" "lipid metabolic process" 0.970495532650849
0 1 2 299 "GO:0006753;GO:0055086;GO:0009117" "nucleobase-containing small molecule metabolic process" 1
0 1 2 596 "GO:0006811" "ion transport" 1
0 1 2 420 "GO:0006812;GO:0030001" "cation transport" 1
0 1 3 225 "GO:0006820" "anion transport" 1
0 1 2 245 "GO:0006874;GO:0055074;GO:0072503;GO:0072507" "divalent inorganic cation homeostasis" 1
0 1 3 326 "GO:0006875;GO:0055065" "metal ion homeostasis" 1
0 1 3 435 "GO:0006886" "intracellular protein transport" 1
0 1 2 282 "GO:0006887" "exocytosis" 1
0 0.0888913664869743 2 367 "GO:0006897" "endocytosis" 0.969289958595117
0 0.123800068277279 2 516 "GO:0006915;GO:0012501;GO:0008219;GO:0016265" "cell death" 0.970495532650849
0 0.110058705253312 3 457 "GO:0006952" "defense response" 0.969289958595117
0 1 2 329 "GO:0006955" "immune response" 1
0 1 4 528 "GO:0006974" "cellular response to DNA damage stimulus" 1
0 0.0648406564017321 3 266 "GO:0006979" "response to oxidative stress" 0.969289958595117
0 1 3 208 "GO:0007005" "mitochondrion organization" 1
0 1 2 576 "GO:0007010" "cytoskeleton organization" 1
