GO:0044451	GO:0045121	GO:0044297;GO:0043025	GO:0030425	GO:0016604	GO:0031410	GO:0005765	GO:0070062;GO:0065010;GO:0043230	GO:0005874	GO:0000151	GO:0016023	GO:0044456	GO:0005929	GO:0044432	GO:0043005	GO:0005774;GO:0044437	GO:0005912;GO:0070161	GO:0030659;GO:0012506;GO:0044433	GO:0031965	GO:0005887	GO:0005938	GO:0016607	GO:0005615	GO:0000139;GO:0044431	GO:0030424	GO:0010008;GO:0044440	GO:0031966	GO:0005789	GO:0044441	GO:0070013;GO:0043233;GO:0031974	GO:1902494	GO:0005769	GO:0030054	GO:0005743;GO:0019866	GO:0005622	GO:0009986	GO:0005694	GO:0045202	GO:0098590	GO:0031253	GO:0005813	GO:0005768	GO:0005667	GO:0000785	GO:0005730	GO:0044463	GO:0005911	GO:1990234	GO:0005815	GO:0048471	GO:0005576	GO:0030135	GO:0044427	GO:0044454	GO:0016324	GO:0044429	GO:0045211	GO:0031301	GO:0033267	GO:0097060	GO:0014069	GO:0005773;GO:0005764;GO:0000323	GO:0030529
0	0.958	0.908	0.879	0.000	0.950	0.987	0.958	0.937	0.788	0.950	0.914	0.948	0.976	0.887	0.974	0.927	0.943	0.827	0.995	0.933	0.000	0.969	0.956	0.888	0.967	0.966	0.975	0.947	0.972	0.634	0.980	0.930	0.972	0.943	0.977	0.717	0.928	0.978	0.969	0.910	0.961	0.637	0.658	0.838	0.918	0.920	0.348	0.912	0.857	0.979	0.903	0.676	0.630	0.974	0.970	0.900	0.986	0.927	0.921	0.898	0.968	0.803
0.958	0	0.698	0.749	0.967	0.670	0.926	0.805	0.963	0.986	0.791	0.660	0.953	0.809	0.479	0.921	0.828	0.791	0.902	0.600	0.947	0.981	0.847	0.828	0.735	0.819	0.907	0.865	0.944	0.907	0.912	0.763	0.553	0.958	0.777	0.767	0.977	0.693	0.665	0.786	0.963	0.600	1.000	0.986	0.958	0.563	0.767	0.986	0.912	0.730	0.828	0.888	0.981	0.991	0.735	0.898	0.806	0.971	0.791	0.781	0.837	0.865	0.991
0.908	0.698	0	0.447	0.923	0.686	0.884	0.854	0.878	0.923	0.780	0.589	0.940	0.869	0.191	0.902	0.869	0.804	0.958	0.703	0.856	0.969	0.884	0.879	0.583	0.902	0.933	0.891	0.935	0.946	0.901	0.798	0.606	0.965	0.864	0.780	0.975	0.614	0.809	0.777	0.926	0.772	0.991	0.971	0.950	0.475	0.862	0.978	0.916	0.765	0.911	0.748	0.953	0.983	0.801	0.928	0.607	0.895	0.534	0.585	0.559	0.903	0.963
0.879	0.749	0.447	0	0.897	0.695	0.897	0.863	0.895	0.923	0.809	0.499	0.930	0.884	0.000	0.919	0.865	0.804	0.920	0.690	0.885	0.958	0.897	0.873	0.495	0.880	0.969	0.904	0.947	0.951	0.912	0.810	0.491	0.981	0.817	0.784	0.972	0.496	0.783	0.798	0.948	0.752	0.991	0.979	0.938	0.455	0.807	0.975	0.938	0.752	0.897	0.770	0.953	0.976	0.787	0.964	0.478	0.929	0.504	0.491	0.517	0.897	0.948
0.000	0.967	0.923	0.897	0	0.929	0.987	0.957	0.958	0.849	0.956	0.920	0.953	0.968	0.848	0.974	0.931	0.942	0.857	0.994	0.957	0.000	0.969	0.953	0.896	0.970	0.969	0.972	0.955	0.976	0.835	0.980	0.898	0.972	0.951	0.977	0.796	0.936	0.978	0.972	0.936	0.955	0.874	0.802	0.872	0.885	0.920	0.864	0.930	0.877	0.968	0.907	0.803	0.806	0.974	0.968	0.905	0.990	0.931	0.924	0.907	0.968	0.818
0.950	0.670	0.686	0.695	0.929	0	0.579	0.763	0.840	0.923	0.000	0.558	0.864	0.805	0.712	0.630	0.753	0.323	0.890	0.766	0.760	0.934	0.774	0.652	0.709	0.564	0.942	0.819	0.872	0.818	0.935	0.542	0.701	0.972	0.866	0.646	0.969	0.634	0.691	0.714	0.885	0.575	0.986	0.979	0.949	0.734	0.765	0.939	0.871	0.718	0.813	0.000	0.974	0.997	0.636	0.944	0.756	0.762	0.603	0.650	0.712	0.592	0.979
0.987	0.926	0.884	0.897	0.987	0.579	0	0.785	1.000	1.000	0.678	0.863	0.970	0.867	0.833	0.000	0.953	0.695	0.983	0.871	0.971	1.000	0.927	0.798	0.940	0.567	0.957	0.884	0.991	0.863	0.983	0.880	0.863	0.970	0.961	0.944	0.996	0.876	0.841	0.906	0.991	0.511	1.000	0.991	0.983	0.833	0.974	0.996	0.970	0.867	0.854	0.819	0.987	1.000	0.858	0.940	0.985	0.924	0.935	0.936	0.961	0.240	0.991
0.958	0.805	0.854	0.863	0.957	0.763	0.785	0	0.906	0.981	0.803	0.828	0.933	0.872	0.819	0.725	0.753	0.725	0.937	0.839	0.764	0.969	0.685	0.852	0.845	0.782	0.957	0.953	0.941	0.727	0.976	0.854	0.725	0.962	0.881	0.777	0.941	0.823	0.767	0.819	0.938	0.818	0.981	0.975	0.960	0.800	0.762	0.975	0.921	0.843	0.627	0.827	0.982	0.993	0.739	0.952	0.856	0.910	0.797	0.819	0.801	0.829	0.958
0.937	0.963	0.878	0.895	0.958	0.840	1.000	0.906	0	0.985	0.920	0.941	0.787	0.958	0.805	0.990	0.927	0.937	0.966	0.969	0.928	0.990	0.986	0.955	0.854	0.958	0.983	0.958	0.836	0.997	0.861	0.968	0.882	0.990	0.983	0.983	0.906	0.951	0.976	0.951	0.721	0.934	0.981	0.963	0.948	0.662	0.920	0.989	0.638	0.909	0.990	0.969	0.861	0.958	0.982	0.976	0.995	0.986	0.918	0.986	0.962	0.979	0.986
0.788	0.986	0.923	0.923	0.849	0.923	1.000	0.981	0.985	0	0.954	0.934	0.985	0.931	0.900	1.000	0.985	0.927	0.979	0.992	0.966	0.934	0.969	0.927	0.934	0.988	0.992	0.950	1.000	0.985	0.000	0.984	0.907	1.000	0.981	0.992	0.961	0.907	0.988	1.000	0.923	0.954	0.972	0.951	0.907	0.931	0.988	0.977	0.884	0.876	0.988	0.947	0.900	0.954	0.992	0.988	0.920	0.981	0.978	0.938	0.928	0.992	0.954
