delta.rank	pval	level	nseqs	term	name	p.adj
35	0	0.00323398121392485	3	382	GO:0030425	dendrite	0.109387278082921
45	0	0.00352862187364262	2	399	GO:0044297;GO:0043025	cell body	0.109387278082921
12	0	0.00943143418540924	2	652	GO:0005768	endosome	0.194916306498458
44	0	0.0137800281272951	2	788	GO:0043005	neuron projection	0.213590435973074
24	0	0.0607606368611198	2	207	GO:0005938	cell cortex	0.602109453805545
27	0	0.0682577973339775	2	233	GO:0014069	postsynaptic density	0.602109453805545
13	0	0.073143543863195	3	250	GO:0005769	early endosome	0.602109453805545
29	0	0.0785888854432671	4	269	GO:0016324	apical plasma membrane	0.602109453805545
21	0	0.0880084540093489	2	302	GO:0005911	cell-cell junction	0.602109453805545
34	0	0.107547529360297	4	371	GO:0030424	axon	0.602109453805545
17	0	0.111767156907839	3	386	GO:0005813	centrosome	0.602109453805545
60	0	0.116537313639783	2	403	GO:0098590	plasma membrane region	0.602109453805545
52	0	0.144612835507052	1	504	GO:0044456	synapse part	0.620997119987547
28	0	0.147092616625039	2	513	GO:0016023	cytoplasmic membrane-bounded vesicle	0.620997119987547
37	0	0.158343845738772	2	554	GO:0030659;GO:0012506;GO:0044433	cytoplasmic vesicle part	0.620997119987547
18	0	0.160257321287109	2	561	GO:0005815	microtubule organizing center	0.620997119987547
32	0	0.229263363687099	1	819	GO:0030054	cell junction	0.797792425966314
40	0	0.231617155925704	3	828	GO:0031410	cytoplasmic vesicle	0.797792425966314
53	0	0.246958424025328	2	887	GO:0044463	cell projection part	0.805864331030018
1	0	1	2	578	GO:0000139;GO:0044431	Golgi apparatus part	1
