delta.rank	pval	level	nseqs	term	name	p.adj
1	0	1	4	578	GO:0000139;GO:0044431	Golgi apparatus part	1
2	0	1	3	257	GO:0000151	ubiquitin ligase complex	1
3	0	1	2	240	GO:0000785	chromatin	1
4	0	1	1	818	GO:0005576	extracellular region	1
5	0	1	2	503	GO:0005615	extracellular space	1
6	0	1	2	594	GO:0005622	intracellular	1
7	0	1	3	213	GO:0005667	transcription factor complex	1
8	0	1	3	346	GO:0005694	chromosome	1
9	0	1	3	623	GO:0005730	nucleolus	1
10	0	1	2	314	GO:0005743;GO:0019866	organelle inner membrane	1
11	0	1	2	231	GO:0005765	lysosomal membrane	1
12	0	1	3	652	GO:0005768	endosome	1
13	0	1	2	250	GO:0005769	early endosome	1
14	0	1	3	403	GO:0005773;GO:0005764;GO:0000323	vacuole	1
15	0	1	4	341	GO:0005774;GO:0044437	vacuolar part	1
16	0	1	2	592	GO:0005789	endoplasmic reticulum membrane	1
17	0	1	4	386	GO:0005813	centrosome	1
18	0	1	2	561	GO:0005815	microtubule organizing center	1
19	0	1	4	281	GO:0005874	microtubule	1
20	0	1	3	591	GO:0005887	integral component of plasma membrane	1
