delta.rank	pval	level	nseqs	term	name	p.adj
43	0	5.62472158853612e-05	2	590	GO:0038023;GO:0004871;GO:0004872;GO:0060089	receptor activity	0.0014016640052426
10	0	6.46054225460178e-05	3	408	GO:0004888	transmembrane signaling receptor activity	0.0014016640052426
16	0	7.93394719948643e-05	2	541	GO:0005509	calcium ion binding	0.0014016640052426
12	0	0.0100431578062395	1	201	GO:0005085	guanyl-nucleotide exchange factor activity	0.126888407149565
14	0	0.0119706044480722	1	410	GO:0005198	structural molecule activity	0.126888407149565
45	0	0.017624163624462	4	591	GO:0042803	protein homodimerization activity	0.155680112016081
29	0	0.0217289687535963	2	691	GO:0016772	transferase activity, transferring phosphorus-containing groups	0.164519334848658
13	0	0.0372154781049293	2	747	GO:0005102	receptor binding	0.242128869435256
6	0	0.0411162231116473	2	277	GO:0003779	actin binding	0.242128869435256
11	0	0.0528243652267552	4	222	GO:0004930	G-protein coupled receptor activity	0.268109324096562
30	0	0.0556453314162675	2	455	GO:0016788	hydrolase activity, acting on ester bonds	0.268109324096562
27	0	0.072746483374121	2	566	GO:0016301;GO:0004672;GO:0016773	kinase activity	0.321296968235701
50	0	0.0817704687000986	2	846	GO:0046983	protein dimerization activity	0.333371910854248
20	0	0.0905539278673199	3	680	GO:0008092	cytoskeletal protein binding	0.342811298354854
52	0	0.109380035599771	3	276	GO:0050839	cell adhesion molecule binding	0.386476125785857
7	0	0.15420277349927	2	226	GO:0004175	endopeptidase activity	0.493118023030415
41	0	0.158169931915416	2	577	GO:0032403	protein complex binding	0.493118023030415
8	0	0.177127323241035	6	324	GO:0004674	protein serine/threonine kinase activity	0.521541562876381
32	0	0.227076208483352	3	265	GO:0016887	ATPase activity	0.633423107874613
53	0	0.269766031673525	2	379	GO:0070011;GO:0008233	peptidase activity	0.711724282955833
