gene,score
ORTHOMCL10000,FALSE
ORTHOMCL10002,FALSE
ORTHOMCL10003,FALSE
ORTHOMCL10005,FALSE
ORTHOMCL10007,FALSE
ORTHOMCL10008,FALSE
ORTHOMCL10009,FALSE
ORTHOMCL1001,FALSE
ORTHOMCL10012,FALSE
ORTHOMCL10013,FALSE
ORTHOMCL10014,FALSE
ORTHOMCL10019,FALSE
ORTHOMCL10021,FALSE
ORTHOMCL10022,FALSE
ORTHOMCL10024,FALSE
ORTHOMCL10025,FALSE
ORTHOMCL10026,FALSE
ORTHOMCL10028,FALSE
ORTHOMCL10029,FALSE
ORTHOMCL10030,FALSE
ORTHOMCL10034,FALSE
ORTHOMCL10035,FALSE
ORTHOMCL10040,FALSE
ORTHOMCL10047,FALSE
ORTHOMCL10050,FALSE
ORTHOMCL10058,FALSE
ORTHOMCL1006,FALSE
ORTHOMCL10066,FALSE
ORTHOMCL10068,FALSE
ORTHOMCL10069,FALSE
ORTHOMCL10070,TRUE
ORTHOMCL10076,FALSE
ORTHOMCL10078,FALSE
ORTHOMCL1008,FALSE
ORTHOMCL10083,FALSE
ORTHOMCL10086,FALSE
ORTHOMCL10097,FALSE
ORTHOMCL10099,FALSE
ORTHOMCL10102,FALSE
ORTHOMCL10103,FALSE
ORTHOMCL10105,FALSE
ORTHOMCL10108,TRUE
ORTHOMCL10110,FALSE
ORTHOMCL10111,FALSE
ORTHOMCL10113,FALSE
ORTHOMCL10124,FALSE
ORTHOMCL10127,FALSE
ORTHOMCL1013,FALSE
ORTHOMCL10140,FALSE
ORTHOMCL10141,FALSE
ORTHOMCL10146,FALSE
ORTHOMCL10147,TRUE
ORTHOMCL10148,FALSE
ORTHOMCL10150,FALSE
ORTHOMCL10152,FALSE
ORTHOMCL10154,FALSE
ORTHOMCL10158,FALSE
ORTHOMCL1016,FALSE
ORTHOMCL10160,FALSE
ORTHOMCL10169,FALSE
ORTHOMCL10170,FALSE
ORTHOMCL10176,FALSE
ORTHOMCL10192,FALSE
ORTHOMCL10193,TRUE
ORTHOMCL10194,FALSE
ORTHOMCL10198,FALSE
ORTHOMCL10199,FALSE
ORTHOMCL10203,FALSE
ORTHOMCL10205,FALSE
ORTHOMCL10206,FALSE
ORTHOMCL10209,TRUE
ORTHOMCL10210,FALSE
ORTHOMCL10212,TRUE
ORTHOMCL10214,FALSE
ORTHOMCL10217,FALSE
ORTHOMCL10219,TRUE
ORTHOMCL10220,FALSE
ORTHOMCL10221,FALSE
ORTHOMCL10223,FALSE
ORTHOMCL10224,FALSE
ORTHOMCL10225,FALSE
ORTHOMCL10226,FALSE
ORTHOMCL10227,FALSE
ORTHOMCL10228,FALSE
ORTHOMCL10229,FALSE
ORTHOMCL10230,FALSE
ORTHOMCL10231,FALSE
ORTHOMCL10232,FALSE
ORTHOMCL10233,TRUE
ORTHOMCL10234,FALSE
ORTHOMCL10236,FALSE
ORTHOMCL10237,FALSE
ORTHOMCL10238,FALSE
ORTHOMCL1024,FALSE
ORTHOMCL10240,FALSE
ORTHOMCL10241,FALSE
ORTHOMCL10242,FALSE
ORTHOMCL10243,FALSE
ORTHOMCL10244,FALSE
ORTHOMCL10245,FALSE
ORTHOMCL10247,FALSE
ORTHOMCL10248,FALSE
ORTHOMCL10249,FALSE
ORTHOMCL1025,FALSE
ORTHOMCL10252,FALSE
ORTHOMCL10253,FALSE
ORTHOMCL10254,FALSE
ORTHOMCL10256,FALSE
ORTHOMCL10259,FALSE
ORTHOMCL1026,FALSE
ORTHOMCL10265,FALSE
ORTHOMCL10267,FALSE
ORTHOMCL10268,FALSE
ORTHOMCL10269,FALSE
ORTHOMCL10270,FALSE
ORTHOMCL10271,FALSE
ORTHOMCL10273,FALSE
ORTHOMCL10275,FALSE
ORTHOMCL10277,FALSE
ORTHOMCL10278,TRUE
ORTHOMCL10279,FALSE
ORTHOMCL10280,FALSE
ORTHOMCL10283,FALSE
ORTHOMCL10285,FALSE
ORTHOMCL10287,TRUE
ORTHOMCL10288,FALSE
ORTHOMCL10289,FALSE
ORTHOMCL10292,FALSE
ORTHOMCL10293,FALSE
ORTHOMCL10295,FALSE
ORTHOMCL10296,FALSE
ORTHOMCL10297,FALSE
ORTHOMCL10298,FALSE
ORTHOMCL10299,FALSE
ORTHOMCL10300,FALSE
ORTHOMCL10301,FALSE
ORTHOMCL10302,FALSE
ORTHOMCL10304,FALSE
ORTHOMCL10305,FALSE
ORTHOMCL10306,FALSE
ORTHOMCL10308,FALSE
ORTHOMCL10309,FALSE
ORTHOMCL10310,FALSE
ORTHOMCL10311,FALSE
ORTHOMCL10313,FALSE
ORTHOMCL10315,FALSE
ORTHOMCL10318,FALSE
ORTHOMCL10319,FALSE
ORTHOMCL10320,FALSE
ORTHOMCL10321,FALSE
ORTHOMCL10323,FALSE
