ortho	swissProt	name	egn	db	description
ORTHOMCL13400	Q93063	EXT2_HUMAN	EXT2	HUMAN	exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513]
ORTHOMCL13563	Q08431	MFGM_HUMAN	MFGM	HUMAN	milk fat globule-EGF factor 8 protein [Source:HGNC Symbol;Acc:HGNC:7036]
ORTHOMCL13578	Q08J23	NSUN2_HUMAN	NSUN2	HUMAN	NOP2/Sun RNA methyltransferase family member 2 [Source:HGNC Symbol;Acc:HGNC:25994]
ORTHOMCL14534	Q7L5Y6	DET1_HUMAN	DET1	HUMAN	DET1, COP1 ubiquitin ligase partner [Source:HGNC Symbol;Acc:HGNC:25477]
ORTHOMCL14991	Q9H9Y6	RPA2_HUMAN	RPA2	HUMAN	RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:20454]
ORTHOMCL15223	O75478	TAD2A_HUMAN	TAD2A	HUMAN	transcriptional adaptor 2A [Source:HGNC Symbol;Acc:HGNC:11531]
ORTHOMCL16182	Q9Y4D2	DGLA_HUMAN	DGLA	HUMAN	diacylglycerol lipase alpha [Source:HGNC Symbol;Acc:HGNC:1165]
ORTHOMCL17770	Q9P2H3	IFT80_HUMAN	IFT80	HUMAN	intraflagellar transport 80 [Source:HGNC Symbol;Acc:HGNC:29262]
ORTHOMCL18562	Q8N6Q8	MET25_HUMAN	MET25	HUMAN	methyltransferase like 25 [Source:HGNC Symbol;Acc:HGNC:26228]
ORTHOMCL22232	Q8WXW3	PIBF1_HUMAN	PIBF1	HUMAN	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]
ORTHOMCL2429	P42765	THIM_HUMAN	THIM	HUMAN	acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
ORTHOMCL3616	Q9NZJ6	COQ3_HUMAN	COQ3	HUMAN	coenzyme Q3, methyltransferase [Source:HGNC Symbol;Acc:HGNC:18175]
ORTHOMCL4642	Q9Y2U9	KLDC2_HUMAN	KLDC2	HUMAN	kelch domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20231]
ORTHOMCL5016	Q6URK8	TEPP_HUMAN	TEPP	HUMAN	testis, prostate and placenta expressed [Source:HGNC Symbol;Acc:HGNC:33745]
ORTHOMCL8423	O76095	JTB_HUMAN	JTB	HUMAN	jumping translocation breakpoint [Source:HGNC Symbol;Acc:HGNC:6201]
ORTHOMCL9113	Q8NCA5	FA98A_HUMAN	FA98A	HUMAN	family with sequence similarity 98 member A [Source:HGNC Symbol;Acc:HGNC:24520]
ORTHOMCL9515	O43347	MSI1H_HUMAN	MSI1H	HUMAN	musashi RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7330]
ORTHOMCL4033	A6NFN3	RFOX3_HUMAN	RFOX3	HUMAN	RNA binding fox-1 homolog 3 [Source:HGNC Symbol;Acc:HGNC:27097]
ORTHOMCL14219	Q3MHG0	COG4_BOVIN	COG4	BOVIN	component of oligomeric golgi complex 4 [Source:VGNC Symbol;Acc:VGNC:27549]
ORTHOMCL17368	P83095	LACTB_BOVIN	LACTB	BOVIN	lactamase beta [Source:VGNC Symbol;Acc:VGNC:30764]
ORTHOMCL19316	Q0VC81	AA3R_BOVIN	AA3R	BOVIN	Adenosine receptor A3  [Source:UniProtKB/Swiss-Prot;Acc:Q0VC81]
ORTHOMCL6750	P18519	TNR16_CHICK	TNR16	CHICK	Tumor necrosis factor receptor superfamily member 16  [Source:UniProtKB/Swiss-Prot;Acc:P18519]
ORTHOMCL2827	O61443	MK38B_DROME	MK38B	DROME	p38b MAP kinase [Source:FlyBase;Acc:FBgn0024846]
ORTHOMCL10868	Q62371	DDR2_MOUSE	DDR2	MOUSE	none
ORTHOMCL10961	Q5SWD9	TSR1_MOUSE	TSR1	MOUSE	none
ORTHOMCL12791	A3E4D8	CALM_PROMN	CALM	PROMN	none
ORTHOMCL17162	B4GD14	LPHN_DROPE	LPHN	DROPE	none
ORTHOMCL18824	P10401	POLY_DROME	POLY	DROME	none
ORTHOMCL5131	none	NA	NA	NA	none
ORTHOMCL7362	Q5EY87	GRHL1_XENLA	GRHL1	XENLA	none
ORTHOMCL7697	Q5PQN4	MDM1_RAT	MDM1	RAT	none
ORTHOMCL11254	P0CF65	CRBN_CHICK	CRBN	CHICK	none
ORTHOMCL8172	none	NA	NA	NA	none
ORTHOMCL8286	none	NA	NA	NA	none
ORTHOMCL9844	P37693	HETM_NOSS1	HETM	NOSS1	none
