ortho	swissProt	name	egn	db	description
ORTHOMCL10277	Q86VQ0	LCA5_HUMAN	LCA5	HUMAN	LCA5, lebercilin [Source:HGNC Symbol;Acc:HGNC:31923]
ORTHOMCL10715	Q8N6U8	GP161_HUMAN	GP161	HUMAN	G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]
ORTHOMCL10833	Q8WXA3	RUFY2_HUMAN	RUFY2	HUMAN	RUN and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19761]
ORTHOMCL10906	P51957	NEK4_HUMAN	NEK4	HUMAN	NIMA related kinase 4 [Source:HGNC Symbol;Acc:HGNC:11399]
ORTHOMCL11334	Q9Y4R7	TTLL3_HUMAN	TTLL3	HUMAN	tubulin tyrosine ligase like 3 [Source:HGNC Symbol;Acc:HGNC:24483]
ORTHOMCL11535	O43663	PRC1_HUMAN	PRC1	HUMAN	protein regulator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:9341]
ORTHOMCL11913	Q9BYW2	SETD2_HUMAN	SETD2	HUMAN	SET domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18420]
ORTHOMCL12108	Q4G0U5	PCDP1_HUMAN	PCDP1	HUMAN	cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720]
ORTHOMCL12716	A6NEN9	CX065_HUMAN	CX065	HUMAN	chromosome X open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:33713]
ORTHOMCL13047	P29120	NEC1_HUMAN	NEC1	HUMAN	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]
ORTHOMCL13649	Q14980	NUMA1_HUMAN	NUMA1	HUMAN	nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]
ORTHOMCL14049	Q9P2G1	AKIB1_HUMAN	AKIB1	HUMAN	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
ORTHOMCL18952	O60704	TPST2_HUMAN	TPST2	HUMAN	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]
ORTHOMCL20457	P78504	JAG1_HUMAN	JAG1	HUMAN	jagged 1 [Source:HGNC Symbol;Acc:HGNC:6188]
ORTHOMCL3579	Q7Z6J6	FRMD5_HUMAN	FRMD5	HUMAN	FERM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28214]
ORTHOMCL4125	P48426	PI42A_HUMAN	PI42A	HUMAN	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997]
ORTHOMCL4893	P50416	CPT1A_HUMAN	CPT1A	HUMAN	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]
ORTHOMCL5149	P40939	ECHA_HUMAN	ECHA	HUMAN	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]
