ortho	swissProt	name	egn	db	description
1	ORTHOMCL10425	Q96KR1	ZFR_HUMAN	ZFR	HUMAN	zinc finger RNA binding protein [Source:HGNC Symbol;Acc:HGNC:17277]
2	ORTHOMCL10871	O15394	NCAM2_HUMAN	NCAM2	HUMAN	neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]
3	ORTHOMCL11127	P98095	FBLN2_HUMAN	FBLN2	HUMAN	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]
4	ORTHOMCL11802	Q7Z407	CSMD3_HUMAN	CSMD3	HUMAN	CUB and Sushi multiple domains 3 [Source:HGNC Symbol;Acc:HGNC:19291]
5	ORTHOMCL11809	Q16667	CDKN3_HUMAN	CDKN3	HUMAN	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]
6	ORTHOMCL11821	Q0VFZ6	CC173_HUMAN	CC173	HUMAN	coiled-coil domain containing 173 [Source:HGNC Symbol;Acc:HGNC:25064]
7	ORTHOMCL13203	Q13332	PTPRS_HUMAN	PTPRS	HUMAN	protein tyrosine phosphatase, receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]
8	ORTHOMCL13329	Q6UXG2	K1324_HUMAN	K1324	HUMAN	KIAA1324 [Source:HGNC Symbol;Acc:HGNC:29618]
9	ORTHOMCL13636	P11047	LAMC1_HUMAN	LAMC1	HUMAN	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]
10	ORTHOMCL14385	Q8NDA2	HMCN2_HUMAN	HMCN2	HUMAN	hemicentin 2 [Source:HGNC Symbol;Acc:HGNC:21293]
11	ORTHOMCL14815	Q8IVF7	FMNL3_HUMAN	FMNL3	HUMAN	formin like 3 [Source:HGNC Symbol;Acc:HGNC:23698]
12	ORTHOMCL15448	Q8NDG6	TDRD9_HUMAN	TDRD9	HUMAN	tudor domain containing 9 [Source:HGNC Symbol;Acc:HGNC:20122]
13	ORTHOMCL15828	Q9Y6L7	TLL2_HUMAN	TLL2	HUMAN	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
14	ORTHOMCL15942	P00734	THRB_HUMAN	THRB	HUMAN	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]
15	ORTHOMCL15985	P17844	DDX5_HUMAN	DDX5	HUMAN	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]
16	ORTHOMCL16198	Q9BSV6	SEN34_HUMAN	SEN34	HUMAN	tRNA splicing endonuclease subunit 34 [Source:HGNC Symbol;Acc:HGNC:15506]
17	ORTHOMCL16716	O75096	LRP4_HUMAN	LRP4	HUMAN	LDL receptor related protein 4 [Source:HGNC Symbol;Acc:HGNC:6696]
18	ORTHOMCL17165	P11362	FGFR1_HUMAN	FGFR1	HUMAN	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]
19	ORTHOMCL17686	Q8IUC4	RHPN2_HUMAN	RHPN2	HUMAN	rhophilin Rho GTPase binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19974]
20	ORTHOMCL18562	Q8N6Q8	MET25_HUMAN	MET25	HUMAN	methyltransferase like 25 [Source:HGNC Symbol;Acc:HGNC:26228]
21	ORTHOMCL18576	Q96RW7	HMCN1_HUMAN	HMCN1	HUMAN	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]
22	ORTHOMCL18630	Q9C091	GRB1L_HUMAN	GRB1L	HUMAN	growth regulation by estrogen in breast cancer 1 like [Source:HGNC Symbol;Acc:HGNC:31042]
23	ORTHOMCL19558	Q8WZ42	TITIN_HUMAN	TITIN	HUMAN	titin [Source:HGNC Symbol;Acc:HGNC:12403]
24	ORTHOMCL20369	Q8WWN9	ICEF1_HUMAN	ICEF1	HUMAN	interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:HGNC:21204]
25	ORTHOMCL20435	Q99549	MPP8_HUMAN	MPP8	HUMAN	M-phase phosphoprotein 8 [Source:HGNC Symbol;Acc:HGNC:29810]
26	ORTHOMCL20491	Q641Q2	WAC2A_HUMAN	WAC2A	HUMAN	WASH complex subunit 2A [Source:HGNC Symbol;Acc:HGNC:23416]
27	ORTHOMCL21143	Q6QNK2	AGRD1_HUMAN	AGRD1	HUMAN	adhesion G protein-coupled receptor D1 [Source:HGNC Symbol;Acc:HGNC:19893]
28	ORTHOMCL21626	O00571	DDX3X_HUMAN	DDX3X	HUMAN	DEAD-box helicase 3, X-linked [Source:HGNC Symbol;Acc:HGNC:2745]
29	ORTHOMCL21765	Q8TCS8	PNPT1_HUMAN	PNPT1	HUMAN	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]
30	ORTHOMCL21814	Q8WV16	DCAF4_HUMAN	DCAF4	HUMAN	DDB1 and CUL4 associated factor 4 [Source:HGNC Symbol;Acc:HGNC:20229]
31	ORTHOMCL4387	Q9HD33	RM47_HUMAN	RM47	HUMAN	mitochondrial ribosomal protein L47 [Source:HGNC Symbol;Acc:HGNC:16652]
32	ORTHOMCL6604	Q8WUM4	PDC6I_HUMAN	PDC6I	HUMAN	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]
33	ORTHOMCL8112	Q17RW2	COOA1_HUMAN	COOA1	HUMAN	collagen type XXIV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:20821]
34	ORTHOMCL8207	Q08174	PCDH1_HUMAN	PCDH1	HUMAN	protocadherin 1 [Source:HGNC Symbol;Acc:HGNC:8655]
35	ORTHOMCL8256	Q96GD3	SCMH1_HUMAN	SCMH1	HUMAN	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]
36	ORTHOMCL9115	P0CAP2	GRL1A_HUMAN	GRL1A	HUMAN	RNA polymerase II subunit M [Source:HGNC Symbol;Acc:HGNC:14862]
